source_database,source_schema,source_table,target_database,target_schema,target_table,excluded_columns
RGVA_ADS002_C3_SHADOW,RGVA_ADMIN,DS1_BSM_OBJ_CLASS,edr_poc,rgva_admin,ds1_bsm_obj_class,
RGVA_ADS002_C3_SHADOW,RGVA_ADMIN,DS1_BSM_OBJ_NAME,edr_poc,rgva_admin,ds1_bsm_obj_name,
RGVA_ADS002_C3_SHADOW,RGVA_ADMIN,DS1_BSM_PFM_AA,edr_poc,rgva_admin,ds1_bsm_pfm_aa,
RGVA_ADS002_C3_SHADOW,RGVA_ADMIN,DS1_BSM_PFM_IPS,edr_poc,rgva_admin,ds1_bsm_pfm_ips,
RGVA_ADS002_C3_SHADOW,RGVA_ADMIN,DS1_BSM_PFM_IPS_CONT,edr_poc,rgva_admin,ds1_bsm_pfm_ips_cont,
RGVA_ADS002_C3_SHADOW,RGVA_ADMIN,DS1_BSM_PFM_RESTR_EVAL_RES,edr_poc,rgva_admin,ds1_bsm_pfm_restr_eval_res,
RGVA_ADS002_C3_SHADOW,RGVA_ADMIN,DS1_BSM_POSITIONS_EOM,edr_poc,rgva_admin,ds1_bsm_positions_eom,
RGVA_ADS002_C3_SHADOW,RGVA_ADMIN,DS1_BSM_XRATE,edr_poc,rgva_admin,ds1_bsm_xrate,
RGVA_ADS002_C3_SHADOW,RGVA_ADMIN,DS1_BSM_XRATE_EOM,edr_poc,rgva_admin,ds1_bsm_xrate_eom,
RGVA_ADS002_C3_SHADOW,RGVA_ADMIN,DS1_ERM_CALENDAR,edr_poc,rgva_admin,ds1_erm_calendar,
RGVA_ADS002_C3_SHADOW,RGVA_ADMIN,DSF_BSM_OPERATIONS,edr_poc,rgva_admin,dsf_bsm_operations,
RGVA_ADS002_C3_SHADOW,RGVA_ADMIN,DSF_BSM_XRATE,edr_poc,rgva_admin,dsf_bsm_xrate,
RGVA_ADS002_C3_SHADOW,RGVA_ADMIN,DSF_BSM_XRATE_EOM,edr_poc,rgva_admin,dsf_bsm_xrate_eom,
RGVA_ADS002_C3_SHADOW,RGVA_ADMIN,MET_PFM_ASSET,edr_poc,rgva_admin,met_pfm_asset,
RGVA_ADS002_C3_SHADOW,RGVA_ADMIN,MET_PFM_CONSTR_EVAL,edr_poc,rgva_admin,met_pfm_constr_eval,
RGVA_ADS002_C3_SHADOW,RGVA_ADMIN,MET_PFM_CONT,edr_poc,rgva_admin,met_pfm_cont,
RGVA_ADS002_C3_SHADOW,RGVA_ADMIN,MET_PFM_DASHBOARD_TER,edr_poc,rgva_admin,met_pfm_dashboard_ter,
RGVA_ADS002_C3_SHADOW,RGVA_ADMIN,MET_PFM_OBJECTIVE_EVAL,edr_poc,rgva_admin,met_pfm_objective_eval,
RGVA_ADS002_C3_SHADOW,RGVA_ADMIN,MET_PFM_PERF_AVQ,edr_poc,rgva_admin,met_pfm_perf_avq,
RGVA_ADS002_C3_SHADOW,RGVA_ADMIN,MET_PFM_POS,edr_poc,rgva_admin,met_pfm_pos,
RGVA_DWH002_C3_SHADOW,RGVA_ADMIN,MAT_TEST_TABLE,edr_poc,rgva_admin,mat_test_table,
RGVA_PFM002_C3_SHADOW,RGVA_ADMIN,MET_PFM_PERF_CALC_ASSET,edr_poc,rgva_admin,met_pfm_perf_calc_asset,
RGVA_PFM002_C3_SHADOW,RGVA_ADMIN,MET_PFM_PERF_CALC_CONT,edr_poc,rgva_admin,met_pfm_perf_calc_cont,
RGVA_PFM002_C3_SHADOW,RGVA_ADMIN,MET_PFM_PERF_CALC_FIGURES,edr_poc,rgva_admin,met_pfm_perf_calc_figures,
RGVA_PFM002_C3_SHADOW,RGVA_ADMIN,MET_PFM_PERF_POS_CALC,edr_poc,rgva_admin,met_pfm_perf_pos_calc,
RGVA_PFM002_C3_SHADOW,RGVA_ADMIN,MET_PFM_POS_CALC_FULL,edr_poc,rgva_admin,met_pfm_pos_calc_full,
RLUX_ADS002_C3_SHADOW,RLUX_ADMIN,DS1_BSM_POSITIONS_EOM,edr_poc,rlux_admin,ds1_bsm_positions_eom,
RLUX_ADS002_C3_SHADOW,RLUX_ADMIN,TEC_DSF_EOM_VRS,edr_poc,rlux_admin,tec_dsf_eom_vrs,
