dh_sys,id_ds_vrs,cd_evn,dh_evn,no_seq,bu_code,cd_position_mf,lb_position_mf,cd_type_asset_mf,lb_type_asset_mf,yn_resultat_change,yn_volume_change,yn_volume_interco,cd_cat_pos_change_mf_lvl1,lb_cat_pos_change_mf_lvl1,cd_cat_pos_change_mf_lvl2,lb_cat_pos_change_mf_lvl2,cd_cat_pos_change_mf_lvl3,lb_cat_pos_change_mf_lvl3,dh_uti_cre,lb_uti_cre,lb_wkf_cre,lb_ses_cre,dh_uti_upd,lb_uti_upd,lb_wkf_upd,lb_ses_upd
2005-04-13 21:17:52.000000,42,42,2013-01-05 13:04:26.000000,42,D,I,M,K,L,N,E,N,B,T,C,P,R,K,2009-03-26 12:12:48.000000,M,I,S,1979-06-16 05:23:17.000000,H,C,K
2007-01-14 14:34:43.000000,43,43,1977-12-01 00:33:42.000000,43,M,M,P,B,C,B,A,K,P,Z,M,Z,L,T,1982-09-16 11:14:37.000000,K,M,C,2021-07-23 03:37:51.000000,D,M,I
2015-04-03 01:35:14.000000,44,44,2003-10-02 10:52:49.000000,44,P,C,I,P,M,P,M,T,Z,A,Z,L,C,M,2022-08-28 08:31:44.000000,T,H,U,2003-03-11 15:30:40.000000,S,E,A
2009-07-13 18:43:33.000000,45,45,1979-09-20 13:56:55.000000,45,O,G,P,M,P,B,S,N,A,G,A,G,K,K,2002-02-20 09:19:30.000000,E,M,S,1988-07-29 19:24:41.000000,I,U,V
1978-04-11 06:15:26.000000,46,46,1990-09-05 10:23:51.000000,46,B,L,P,C,G,B,K,L,I,G,M,B,P,V,2005-11-12 20:08:39.000000,C,G,U,1995-08-26 22:38:43.000000,M,E,L
2003-03-30 13:58:13.000000,47,47,2010-04-05 10:05:46.000000,47,A,T,B,A,F,D,G,L,C,V,B,S,M,E,1983-05-20 15:03:15.000000,N,L,C,1976-01-30 09:03:24.000000,Q,L,L
1986-05-24 10:28:33.000000,48,48,1981-09-03 06:51:50.000000,48,N,S,M,J,B,K,M,T,E,T,B,M,M,G,1974-02-07 07:12:52.000000,H,G,B,1984-02-16 23:43:40.000000,I,G,T
2018-03-12 15:01:47.000000,49,49,1984-09-06 03:22:59.000000,49,A,B,M,K,M,K,S,B,F,B,S,B,B,H,2019-12-23 00:44:07.000000,L,E,K,2018-04-10 21:18:50.000000,B,C,V
2010-11-09 08:12:29.000000,50,50,1975-09-06 00:23:55.000000,50,E,E,D,M,A,M,C,B,B,N,P,B,G,D,1978-05-22 15:28:24.000000,S,B,G,2012-11-28 13:38:26.000000,T,V,G
1995-12-17 22:41:35.000000,51,51,1983-12-30 13:38:42.000000,51,V,A,I,P,Z,Z,N,K,D,S,T,F,A,Z,2019-10-18 09:05:03.000000,K,M,L,2017-02-19 15:45:40.000000,K,S,I
2016-03-05 08:55:42.000000,52,52,2003-09-30 23:01:09.000000,52,Z,O,A,L,T,Z,N,S,D,K,K,T,B,G,1983-09-24 04:28:18.000000,B,M,T,2008-10-30 20:10:02.000000,A,C,L
1996-03-26 21:34:53.000000,53,53,2010-08-11 12:55:15.000000,53,M,C,V,A,I,M,S,L,G,N,E,C,M,I,1980-11-16 04:32:15.000000,H,B,W,1996-05-18 22:20:08.000000,E,T,L
1981-06-12 21:56:33.000000,54,54,2003-03-11 01:40:43.000000,54,N,K,B,T,Z,G,T,T,R,T,N,P,E,L,2019-07-08 07:52:15.000000,L,K,C,2015-06-20 00:56:44.000000,F,P,G
2001-04-16 21:02:39.000000,55,55,2004-04-10 13:47:59.000000,55,A,L,G,B,U,K,T,L,M,C,U,C,G,R,1974-11-29 21:25:32.000000,F,A,V,1998-10-31 10:19:10.000000,B,P,H
2014-07-10 23:12:12.000000,56,56,1981-09-11 15:52:05.000000,56,U,T,H,N,T,Z,A,N,T,I,R,V,T,F,1995-05-17 13:44:20.000000,P,N,N,2001-01-29 14:27:34.000000,P,J,N
2004-10-23 07:48:20.000000,57,57,1982-06-14 11:44:29.000000,57,K,F,S,C,S,F,C,O,R,G,R,P,D,G,1999-12-12 18:46:31.000000,C,A,E,1994-04-15 16:34:31.000000,D,K,N
2008-09-09 15:18:15.000000,58,58,1997-08-18 15:12:30.000000,58,C,Z,M,E,S,S,C,L,M,M,G,G,J,M,1982-03-02 14:37:31.000000,K,B,P,1994-11-12 14:46:57.000000,S,K,B
2022-03-18 02:01:53.000000,59,59,1973-10-07 02:24:26.000000,59,G,T,B,G,M,E,A,T,W,N,L,J,B,S,1987-01-23 10:44:28.000000,S,M,M,1975-09-22 20:52:37.000000,S,L,P
1989-05-26 21:33:51.000000,60,60,2000-04-03 14:31:07.000000,60,T,G,M,N,N,M,E,T,G,V,A,K,D,P,1993-11-20 05:29:16.000000,L,T,L,1988-08-17 12:54:59.000000,Z,A,M
1970-03-12 20:59:56.000000,61,61,2015-11-06 14:33:17.000000,61,R,K,G,B,B,S,M,S,U,Y,E,N,N,A,2021-01-31 06:53:40.000000,C,M,C,1991-12-15 11:17:04.000000,B,B,M
2002-11-25 11:10:50.000000,62,62,1990-02-05 00:25:54.000000,62,P,D,Y,T,K,W,I,V,G,L,G,P,L,S,2010-10-08 19:32:42.000000,M,D,G,1992-03-27 13:23:27.000000,S,K,S
2017-02-24 02:21:49.000000,63,63,1970-12-12 20:55:41.000000,63,D,Z,P,T,A,K,T,D,S,U,Y,J,T,A,1992-10-15 11:53:55.000000,G,T,M,2017-01-09 09:44:16.000000,G,S,N
1997-10-30 08:48:17.000000,64,64,1989-04-04 07:16:47.000000,64,L,S,L,U,N,R,B,N,E,T,C,T,V,K,1982-01-06 05:47:52.000000,I,K,G,2010-07-08 14:52:31.000000,B,B,C
1984-09-15 18:19:57.000000,65,65,1990-10-17 00:35:01.000000,65,Z,P,Z,E,S,B,N,D,S,M,C,G,L,U,1994-09-03 03:40:26.000000,M,M,B,2018-05-28 05:04:38.000000,F,I,U
2011-04-29 17:26:08.000000,66,66,2022-05-22 03:47:08.000000,66,C,L,P,M,O,M,T,R,B,C,S,S,C,T,2002-01-04 17:17:44.000000,R,G,V,2004-05-27 19:25:25.000000,W,N,G
2020-09-25 18:36:29.000000,67,67,1983-02-26 01:11:09.000000,67,K,A,D,A,G,N,N,N,B,C,L,F,P,L,1987-05-31 11:30:23.000000,B,O,K,1992-01-18 11:27:04.000000,A,B,M
2009-04-25 18:55:15.000000,68,68,2015-09-11 23:47:38.000000,68,M,V,V,S,C,I,B,C,O,C,J,A,S,K,2020-05-09 14:45:33.000000,Q,P,A,1994-06-02 13:56:49.000000,L,H,P
2015-02-02 07:12:31.000000,69,69,1971-04-11 16:21:32.000000,69,B,C,D,S,B,Y,M,J,I,I,R,M,G,B,2006-11-08 11:19:05.000000,N,A,A,2014-02-01 19:10:46.000000,B,G,B
1972-05-10 05:36:09.000000,70,70,2011-12-28 13:23:31.000000,70,B,B,E,C,A,C,N,S,G,S,K,A,B,C,1982-07-18 15:03:21.000000,S,G,P,2018-05-02 05:09:31.000000,K,R,P
1982-12-28 12:10:45.000000,71,71,1992-09-15 01:48:32.000000,71,C,G,T,C,N,E,F,A,P,C,T,K,S,I,1997-11-28 06:21:35.000000,E,B,E,1990-10-24 04:25:58.000000,I,B,S
2005-12-28 03:43:33.000000,72,72,2014-10-06 12:30:54.000000,72,B,U,M,B,V,P,V,N,D,U,C,E,G,P,1990-11-25 15:16:15.000000,M,J,E,1991-09-06 17:23:39.000000,L,G,H
2006-02-24 21:56:10.000000,73,73,1999-10-01 14:30:16.000000,73,G,G,M,K,L,R,S,E,S,S,K,P,N,G,1976-03-17 13:03:17.000000,I,T,A,1987-11-09 13:35:30.000000,A,J,M
1992-11-28 19:57:02.000000,74,74,1985-08-08 07:10:23.000000,74,S,N,C,S,M,S,T,G,N,D,T,K,N,T,1996-07-19 09:06:30.000000,C,P,N,2008-05-29 09:55:16.000000,S,M,D
1993-11-14 02:19:10.000000,75,75,2005-05-21 16:37:15.000000,75,V,N,B,R,S,C,R,M,K,V,E,B,J,H,1970-07-12 14:56:49.000000,N,D,S,1981-04-12 03:23:41.000000,M,B,T
1976-12-18 22:54:42.000000,76,76,1991-10-30 16:34:23.000000,76,R,T,G,D,E,T,G,F,T,S,R,S,M,S,1996-10-17 20:45:55.000000,M,K,A,1987-05-05 20:06:24.000000,G,F,A
1980-07-26 17:25:59.000000,77,77,1990-12-17 03:08:07.000000,77,S,I,M,A,S,M,N,B,B,L,H,A,V,S,1997-07-27 08:39:33.000000,A,B,E,1980-02-22 23:10:02.000000,S,G,P
1983-08-10 07:27:24.000000,78,78,1974-02-15 18:42:40.000000,78,G,W,I,J,C,V,C,D,N,A,B,A,C,D,2020-10-03 00:39:26.000000,E,A,S,1970-09-27 09:25:48.000000,V,C,B
2012-02-24 02:19:36.000000,79,79,2000-05-01 07:17:51.000000,79,P,T,B,R,M,D,I,Z,S,A,O,B,J,B,1990-05-22 19:58:00.000000,U,T,G,1994-07-17 10:26:11.000000,L,U,B
1995-07-12 21:02:14.000000,80,80,1986-06-01 04:48:16.000000,80,L,B,C,I,G,G,G,Z,A,G,S,U,S,N,2006-06-01 10:51:38.000000,M,K,S,2012-01-16 22:41:29.000000,V,M,L
2020-05-06 07:42:35.000000,81,81,2015-06-15 20:52:01.000000,81,L,K,T,I,B,A,N,S,S,N,R,L,S,I,1993-03-11 00:13:15.000000,K,F,P,2015-01-07 21:48:39.000000,D,P,L
2008-11-16 12:41:48.000000,82,82,1986-07-18 14:36:15.000000,82,P,B,G,Y,A,B,C,Y,D,K,B,S,F,V,2011-07-28 00:56:44.000000,A,M,C,2018-03-18 20:40:07.000000,C,U,L
1977-02-18 04:50:40.000000,83,83,2011-03-02 18:15:08.000000,83,G,T,C,U,G,T,M,H,V,R,D,M,E,U,1971-01-03 16:43:31.000000,N,Z,B,1991-04-08 14:36:59.000000,D,M,L
1977-01-01 11:15:21.000000,84,84,2002-07-10 21:26:33.000000,84,W,Y,A,L,K,T,M,P,P,M,L,F,M,F,1983-07-06 02:31:01.000000,B,M,S,1977-05-17 16:51:51.000000,S,I,M
2007-04-13 15:47:27.000000,85,85,2020-11-01 02:52:06.000000,85,S,B,C,A,E,A,E,L,S,E,D,N,Y,S,2000-03-11 11:08:58.000000,V,K,B,2017-01-22 20:01:10.000000,I,L,I
1980-02-28 09:03:58.000000,86,86,2017-04-29 03:49:24.000000,86,F,V,B,J,Z,M,N,V,B,P,D,K,S,G,1979-03-24 07:02:27.000000,T,L,C,2015-08-28 04:45:05.000000,T,U,B
1996-01-01 09:50:36.000000,87,87,2007-08-14 04:23:41.000000,87,T,B,V,M,D,B,A,P,G,T,C,G,Q,M,1979-10-21 01:37:00.000000,B,I,A,1985-04-25 16:56:03.000000,A,K,M
2008-08-29 07:23:25.000000,88,88,1989-06-25 10:32:40.000000,88,H,D,I,L,A,N,L,M,G,H,A,L,D,E,1984-11-01 10:08:38.000000,A,L,G,1972-01-25 02:36:06.000000,P,L,M
2009-10-04 16:18:19.000000,89,89,1970-11-15 01:43:07.000000,89,M,M,A,M,G,U,F,U,T,A,G,A,C,L,1994-01-05 18:33:38.000000,S,S,S,2000-09-10 20:29:47.000000,D,C,Y
2019-12-31 15:59:59.000000,90,90,1972-01-17 17:22:51.000000,90,A,I,N,M,T,C,G,S,S,D,B,A,F,F,2012-08-01 12:32:26.000000,T,B,W,1998-12-14 16:46:48.000000,P,M,C
2011-06-12 23:17:28.000000,91,91,2005-09-19 21:56:34.000000,91,C,I,C,E,S,T,L,C,A,C,S,S,R,H,1972-09-18 01:05:52.000000,G,B,K,1971-10-21 07:43:37.000000,S,S,B
2021-04-06 02:35:52.000000,92,92,1982-03-21 01:34:20.000000,92,G,A,G,S,A,S,L,U,P,S,C,L,E,S,1998-01-13 21:31:31.000000,B,B,M,1989-10-31 17:45:01.000000,M,S,B
2013-04-26 03:38:34.000000,93,93,2011-05-22 20:03:34.000000,93,L,K,L,L,R,V,M,L,N,I,P,B,T,G,1981-04-17 18:04:10.000000,K,T,M,2015-07-29 19:11:03.000000,K,B,E
1993-10-03 16:26:58.000000,94,94,1993-04-20 04:19:12.000000,94,M,F,C,P,I,M,K,P,D,T,T,U,M,G,2011-12-31 01:30:26.000000,M,J,M,1977-08-06 10:51:25.000000,S,T,T
1996-04-20 21:40:55.000000,95,95,1971-10-27 12:11:18.000000,95,G,T,Z,F,S,I,F,R,S,D,M,S,B,M,1979-01-29 14:14:46.000000,S,K,M,2020-08-14 13:42:56.000000,E,V,M
1987-10-21 02:39:27.000000,96,96,2002-06-07 13:12:48.000000,96,B,T,C,M,C,C,G,S,P,M,G,A,N,C,1987-06-18 10:55:04.000000,V,C,J,1996-08-15 00:22:56.000000,D,M,S
1995-05-21 18:39:26.000000,97,97,1977-07-15 06:11:09.000000,97,N,M,G,M,T,Z,G,U,G,G,S,S,C,W,1977-05-25 17:33:37.000000,G,B,A,1980-01-07 08:52:34.000000,V,U,P
2017-10-09 07:18:41.000000,98,98,2010-01-04 20:45:09.000000,98,P,V,D,S,D,M,T,N,L,Z,Z,S,G,M,1971-05-13 08:41:57.000000,C,M,L,1987-01-29 01:24:10.000000,S,J,M
2010-10-25 04:07:18.000000,99,99,2020-04-08 23:09:18.000000,99,H,L,S,C,B,M,S,V,S,P,Z,K,R,L,1982-07-22 03:19:22.000000,F,P,N,1999-11-20 16:04:20.000000,O,C,A
2008-02-11 08:42:42.000000,358,-998,1972-03-20 23:40:15.000000,446,Choice avoid card town off husband. Able imagine m,Require agent second particularly second former. T,"Full ready small fill foreign enjoy public the. Protect strong continue worker skill teacher realize thank.
Method these forget. Stop rest fast floor heavy.
Military federal fact office.","Level operation in share us job growth school.
Dev",Eye wall purpose. Stop agency alone despite proper,N,S,S,Person deep anyone c,Whole tough interesting accept turn than. Company ,Heavy world dinner a,Able cell media while important leader quality eno,Note must training d,Fact clear low run friend more read. Tell nothing ,1986-05-20 11:35:15.000000,Believe few challenge available nearly ago militar,Tend herself million. Certain executive grow acros,Source administration they be white sister. Music ,1994-05-22 19:07:49.000000,Year scene perform house low. Program religious ye,Share Congress get what clear. Herself fire girl i,Plan stand clear ever. Story music best audience s
2022-07-12 13:27:20.000000,40,-48,2018-09-17 11:49:14.000000,413,Girl consider until subject rise event. Born liste,Father continue approach who may animal wrong. Sec,"Education wonder recognize key face career. Author from past alone. The investment soon realize walk boy job.
Any push practice entire house while.",Analysis level way especially control second. Rese,"Send student center generation budget science.
Pla",B,H,B,Car occur fear rathe,Thousand sort he news direction computer. Individu,Cause product nothin,Major receive phone loss. Food president onto off ,Order thus professor,Up Congress add surface. Exist food case public ki,2010-11-28 04:45:11.000000,Which specific fall these structure campaign never,Best Republican cover mean affect partner recogniz,With character say. Decade next pressure rich. Foc,2017-01-23 13:47:15.000000,Use pretty hundred fast wide cell. National only u,Body natural strategy himself population key page.,Project build single election our. Main how realiz
1975-11-29 20:13:20.000000,460,-887,1990-02-21 16:01:24.000000,-202,Person play top between partner. Tonight trouble t,Information month oil prepare may. Whatever clearl,"Natural southern report owner unit situation else good. Summer subject they hand town. I reason statement also.
Audience they case north provide leave. Actually success item bed.","Long message within today democratic coach.
Includ",Inside social hope. Right owner score so level red,S,S,I,Western soon relatio,Teacher environmental must again deal. Audience ma,Million under strong,Memory be house group rich. Pretty generation high,Interview his out ma,Small agreement citizen both Mr. Member skill woul,1976-03-24 07:44:39.000000,Building through research service who young live a,Happen agreement scientist institution decision op,Quality others hour color peace. Until full mind m,2001-08-30 16:12:09.000000,Few cultural way human. Value herself store short ,"Attorney lot budget position within.
Quite hotel a",Much line everything because determine relationshi
1975-12-25 02:57:44.000000,582,-707,1991-11-07 04:03:48.000000,-7,Their discuss nearly myself wind service leave. Th,"Write drug politics eye Mrs.
Away believe skill oi","Set direction question meeting across. Here toward international group certainly own voice.
Tv modern door according standard figure lose. Land baby relate buy word.",Week wait head give. Behavior north south national,"After identify blood low get rise physical.
Skin p",M,P,R,Soon tell Democrat c,Arrive our arrive opportunity politics. Concern Co,Guess help be wester,Describe before model. Drop parent enjoy. Wide ret,Strong lay clear. Co,Hospital year letter memory full foreign market th,1999-09-22 04:20:06.000000,Side appear factor lead gun about change company. ,Can nearly theory future friend street. Have fall ,Role always off sport worry ball. Sell member bad ,1972-08-19 08:20:10.000000,Pull partner drug successful individual. My condit,Cover whether effort wish area meeting. Cut agreem,Future possible yeah raise. Collection science sci
1988-01-10 12:40:17.000000,-538,-76,1995-04-07 08:18:13.000000,-773,Early sing light collection. Than mission left mod,Station season church spend art cell sell attentio,Situation network animal there positive son. Rest its specific describe remember. Week represent least buy.,Watch happy senior scientist action line. Room pro,Fine account claim someone. Play player certainly ,K,F,M,Stop although floor ,"Indeed music per sort you us. My himself by be.
Po",Almost nice third he,Learn light agency state response including law pl,Red alone plant no f,"Central image trouble.
Place break spend amount un",1993-04-17 00:36:47.000000,Name half between term phone community. Less name ,Quite consumer kid expect continue exactly talk. W,Ten require section guess few bring. Require prese,1996-01-12 06:14:37.000000,Economic cause look again these theory nearly. Tod,Appear site Democrat. Director each term history s,Yourself help white attention meeting. Agreement y
2010-11-18 00:41:48.000000,553,39,1971-06-10 14:12:23.000000,57,What democratic color skill environmental detail t,Success increase manager magazine. Its late two kn,"Page argue sell step foot cut happy. Inside road card page weight. If feeling thank east century read.
Music trouble listen interest. Enter wish week method scene.",A off clear order. Window far news term. House kee,Run international people drop popular window numbe,P,A,A,Network food quickly,Effort opportunity sing professor party leader too,Feeling impact first,"Agent money yourself parent finish identify.
Becau",Several say book nat,Once into be space firm cause capital. Car window ,1987-11-15 13:42:08.000000,Under skin center edge no since friend. House deep,"Tonight level audience. Cause wind yet make.
Telev",Brother outside actually example hundred take nor.,2013-02-17 09:33:48.000000,Age save artist trip bad hospital. Back power trai,Today alone television want role different politic,Or often us politics upon. Cup fall try back indic
