dh_sys,id_ds_vrs,cd_evn,dh_evn,bu_id,extraction_date,meta_code_tab_name,naming_prefix,id,intl_id,user_id,name,text_xx,text,text_ge,text_fr,text_it,time_id,ref_date,dh_uti_cre,lb_uti_cre,lb_wkf_cre,lb_ses_cre,dh_uti_upd,lb_uti_upd,lb_wkf_upd,lb_ses_upd
1992-12-08 04:33:33.000000,12,12,1976-10-11 20:50:20.000000,12,2017-12-14 02:41:25.000000,C,L,12,I,J,H,A,N,I,I,S,R,1987-01-22 04:09:10.000000,1987-11-01 08:10:35.000000,S,W,U,2003-02-04 22:23:02.000000,G,P,Z
2023-03-17 18:46:35.000000,13,13,2010-09-08 10:39:15.000000,13,2014-03-24 00:52:15.000000,V,L,13,A,C,G,H,N,M,B,W,V,1988-08-12 11:35:50.000000,1990-09-23 20:42:14.000000,A,T,T,1971-02-01 05:14:34.000000,T,B,K
2015-11-22 07:14:30.000000,14,14,2022-09-28 00:10:45.000000,14,1972-08-04 08:48:48.000000,B,K,14,C,M,J,F,C,D,I,C,P,1993-02-18 22:12:31.000000,1974-05-21 10:47:55.000000,E,I,P,2012-03-05 20:49:30.000000,N,S,P
1982-08-08 08:24:00.000000,15,15,2000-08-30 21:49:49.000000,15,1976-08-31 13:03:04.000000,K,P,15,B,O,F,S,M,G,M,H,F,1999-11-16 02:58:11.000000,2015-01-30 14:11:34.000000,L,T,S,1992-07-09 21:57:11.000000,A,N,A
2002-04-19 01:02:51.000000,16,16,1979-10-13 15:07:21.000000,16,1998-03-05 12:16:13.000000,N,S,16,M,S,U,L,M,T,M,O,T,2005-11-08 06:37:57.000000,1973-03-27 11:47:01.000000,B,N,I,1990-05-15 23:25:39.000000,S,H,A
1980-10-19 20:01:07.000000,17,17,1980-11-15 00:09:21.000000,17,2010-09-09 09:12:59.000000,E,N,17,S,L,P,D,I,N,D,M,P,2002-02-11 15:05:57.000000,1981-07-02 11:21:26.000000,I,D,D,1989-09-03 02:04:18.000000,G,L,M
2003-09-14 22:50:23.000000,18,18,1979-07-21 18:01:57.000000,18,2014-01-04 13:46:20.000000,G,S,18,V,M,M,G,C,C,C,S,B,1991-10-14 21:23:32.000000,1992-08-25 01:52:48.000000,Z,V,F,1982-09-02 14:16:06.000000,C,S,G
2003-12-24 16:24:02.000000,19,19,1983-12-20 07:18:01.000000,19,1983-04-02 04:49:33.000000,L,R,19,A,I,K,F,M,P,C,K,M,2007-06-02 17:33:42.000000,2004-09-06 23:20:57.000000,M,M,J,2006-11-21 10:26:17.000000,T,G,I
2015-11-24 13:01:34.000000,20,20,1997-10-29 16:25:47.000000,20,2002-12-24 00:14:37.000000,B,Q,20,J,A,B,N,S,I,S,K,B,2008-07-16 14:59:54.000000,2010-03-03 01:41:30.000000,S,P,U,2016-12-27 07:28:03.000000,N,T,M
2017-01-10 09:20:58.000000,21,21,1986-09-10 12:20:26.000000,21,2001-12-29 22:25:41.000000,A,S,21,P,T,T,A,B,G,I,V,B,1993-03-19 05:55:26.000000,2005-08-22 23:44:12.000000,T,J,S,1982-08-30 14:32:30.000000,L,N,C
1976-07-16 23:26:54.000000,22,22,2022-10-17 18:16:03.000000,22,2004-02-17 07:05:32.000000,T,P,22,M,C,G,K,C,M,C,R,R,2020-09-12 10:45:49.000000,2015-05-26 13:10:59.000000,P,D,S,1975-01-18 08:33:42.000000,T,M,A
2009-08-06 22:02:55.000000,23,23,1979-07-28 11:03:16.000000,23,1989-12-20 00:33:00.000000,T,T,23,D,V,A,N,V,S,M,P,B,1984-09-21 23:48:09.000000,2016-03-26 13:04:31.000000,M,A,M,1970-06-05 02:32:56.000000,P,B,L
2020-05-25 21:13:22.000000,24,24,1991-09-15 02:28:23.000000,24,1990-11-06 03:54:07.000000,K,P,24,S,S,S,T,P,R,A,A,G,1990-07-25 17:04:29.000000,1982-03-09 09:15:09.000000,P,S,H,2009-11-13 04:07:29.000000,A,C,O
1996-05-25 09:26:55.000000,25,25,1973-03-21 16:15:51.000000,25,1979-07-13 05:18:55.000000,P,S,25,E,D,N,W,M,L,M,C,L,1972-06-27 08:41:56.000000,1977-01-02 12:47:53.000000,U,G,L,1998-07-20 04:04:52.000000,M,N,M
2021-06-28 12:01:56.000000,26,26,1990-08-03 20:54:50.000000,26,1973-12-24 20:29:41.000000,L,E,26,W,B,K,H,N,T,S,L,B,1978-12-27 12:00:52.000000,2022-02-15 14:16:18.000000,A,K,H,2005-09-29 02:42:44.000000,C,P,L
1989-12-06 15:53:00.000000,27,27,2019-02-14 04:00:26.000000,27,2009-02-07 18:12:39.000000,S,E,27,U,S,P,B,P,C,A,G,C,2016-03-05 14:22:05.000000,1973-10-12 03:50:17.000000,U,A,I,2011-06-08 18:17:14.000000,V,B,H
2014-08-22 19:02:31.000000,28,28,2019-02-27 12:26:13.000000,28,1975-10-18 11:45:47.000000,I,G,28,S,M,T,M,P,H,H,S,S,2009-06-16 07:55:51.000000,1985-08-27 19:27:36.000000,M,N,M,1998-10-02 16:35:31.000000,M,L,A
1997-11-01 20:42:34.000000,29,29,1970-08-09 00:57:55.000000,29,2021-08-01 06:23:15.000000,M,S,29,W,T,S,R,S,B,I,H,Z,1970-03-03 16:56:43.000000,2011-05-01 23:20:22.000000,T,P,H,2003-08-04 04:45:36.000000,S,J,I
1981-01-24 16:46:53.000000,30,30,1993-07-03 03:40:04.000000,30,1980-07-14 20:22:57.000000,I,A,30,Z,Z,S,S,E,Q,A,O,A,1995-02-22 06:03:26.000000,2010-02-18 04:18:26.000000,T,M,M,1973-03-19 14:24:35.000000,A,S,V
1980-04-03 21:19:32.000000,31,31,1976-11-19 23:07:54.000000,31,1980-11-09 06:20:39.000000,D,S,31,M,T,K,R,B,P,U,V,A,1992-10-24 13:05:54.000000,1987-10-12 10:25:02.000000,H,L,A,1986-05-25 10:48:01.000000,F,L,T
2016-05-20 11:56:49.000000,32,32,2007-01-06 21:21:32.000000,32,1978-08-19 02:02:30.000000,C,E,32,A,A,M,M,D,E,R,B,H,1970-07-26 06:15:40.000000,1972-11-21 15:51:50.000000,L,S,T,1990-01-17 03:07:53.000000,I,N,G
1996-04-10 21:36:30.000000,33,33,1974-07-14 08:32:02.000000,33,1995-11-12 21:03:54.000000,P,S,33,S,T,T,G,S,E,S,S,I,1977-11-10 18:22:36.000000,2014-03-19 12:37:09.000000,K,B,D,2000-12-28 15:43:00.000000,D,J,G
1979-11-15 01:43:27.000000,34,34,1976-11-14 18:24:49.000000,34,1973-07-17 06:45:09.000000,P,J,34,S,Z,S,S,K,T,N,J,S,1989-05-09 09:17:47.000000,2004-07-24 12:23:53.000000,T,O,A,1997-10-10 15:58:03.000000,A,I,P
2009-08-16 16:36:57.000000,35,35,2014-08-01 20:46:51.000000,35,2015-12-20 20:32:09.000000,B,F,35,K,F,C,Z,K,G,C,B,O,1991-02-23 00:38:39.000000,2019-05-06 03:02:26.000000,S,A,L,1977-05-01 15:26:04.000000,K,D,P
1990-09-27 08:37:24.000000,36,36,2015-07-07 13:54:24.000000,36,1998-07-26 07:21:44.000000,N,S,36,R,A,V,L,D,G,S,M,Q,2010-09-14 16:53:11.000000,1971-05-03 12:14:20.000000,M,G,F,1984-03-22 00:05:50.000000,M,U,S
1986-01-11 04:26:10.000000,37,37,1980-02-04 10:08:48.000000,37,1994-12-27 15:18:49.000000,B,D,37,P,B,K,T,M,Q,K,M,B,1991-04-14 13:00:45.000000,1997-03-29 09:22:16.000000,T,B,B,2022-02-21 17:42:08.000000,P,S,G
1977-07-10 06:42:42.000000,38,38,2004-03-27 13:32:16.000000,38,1984-08-29 11:09:09.000000,L,Z,38,P,C,T,D,T,G,L,V,S,2022-03-27 18:28:50.000000,2008-04-28 15:41:56.000000,E,T,B,1988-09-18 08:26:16.000000,S,S,U
1970-10-29 20:36:20.000000,39,39,1994-08-31 20:20:35.000000,39,1989-11-05 16:49:50.000000,T,G,39,A,S,G,S,F,K,S,C,S,2002-11-16 15:23:22.000000,2004-03-10 20:49:40.000000,B,H,S,1977-07-02 08:18:36.000000,S,K,L
1997-05-11 20:45:43.000000,40,40,1984-12-28 22:50:20.000000,40,1979-11-03 20:34:05.000000,I,R,40,I,L,C,L,L,I,B,N,B,1992-06-20 05:14:17.000000,2013-07-02 15:41:38.000000,C,S,A,2002-02-09 23:19:12.000000,D,B,I
1971-07-31 19:05:38.000000,41,41,1984-03-27 05:59:23.000000,41,1978-10-31 17:05:09.000000,L,S,41,G,H,A,S,G,B,N,B,S,1995-03-30 03:41:04.000000,1992-07-08 11:28:01.000000,G,H,A,1991-08-22 07:11:53.000000,J,L,U
2009-09-13 17:34:34.000000,42,42,1986-07-01 21:43:47.000000,42,2006-09-27 01:46:22.000000,G,A,42,I,A,B,C,I,L,B,B,G,2015-06-25 23:24:27.000000,1980-01-10 02:45:22.000000,S,E,T,1988-04-25 04:12:13.000000,K,M,D
1985-11-01 15:16:59.000000,43,43,1994-03-23 17:02:55.000000,43,2019-05-11 00:09:23.000000,M,J,43,F,M,P,E,L,E,T,G,M,2008-01-14 02:49:38.000000,2007-07-07 13:35:10.000000,R,S,P,2001-05-15 20:21:49.000000,S,S,V
2010-03-10 16:39:41.000000,44,44,2005-08-29 14:05:15.000000,44,1982-06-11 21:14:26.000000,V,M,44,N,S,N,E,M,K,G,Z,W,1971-05-21 06:24:45.000000,2006-10-27 04:20:02.000000,D,C,M,2009-08-11 12:53:53.000000,V,N,M
2000-06-05 11:10:28.000000,45,45,1992-03-10 23:39:45.000000,45,1981-01-08 00:36:18.000000,T,M,45,G,P,S,K,M,A,C,B,K,2013-02-27 12:05:08.000000,2014-01-24 19:55:22.000000,H,Z,M,1978-09-04 22:56:06.000000,P,N,E
1970-10-04 04:03:22.000000,46,46,2018-01-18 03:22:25.000000,46,1977-03-08 14:09:44.000000,I,G,46,C,A,M,F,G,E,S,A,M,2006-11-28 06:27:29.000000,2006-12-28 14:25:02.000000,I,N,G,2020-07-29 11:39:34.000000,C,L,N
2020-03-31 23:39:20.000000,47,47,2018-01-25 17:43:16.000000,47,2005-07-07 06:22:42.000000,B,G,47,F,S,K,S,M,G,N,V,K,1984-02-03 23:39:25.000000,1982-10-16 15:43:05.000000,K,A,V,2015-07-29 20:27:47.000000,B,P,C
2002-02-26 02:27:07.000000,48,48,1992-05-29 16:37:46.000000,48,2013-03-17 14:09:41.000000,N,L,48,L,C,E,L,S,I,R,J,C,2015-09-23 10:42:55.000000,2002-10-16 13:44:05.000000,M,S,R,1999-09-18 21:52:11.000000,C,R,K
2023-01-15 09:12:04.000000,49,49,1990-12-09 15:51:47.000000,49,1974-05-31 15:20:28.000000,G,P,49,G,R,M,L,A,L,I,P,G,2016-04-22 08:08:56.000000,2015-01-03 18:55:40.000000,C,F,P,1998-07-07 07:42:46.000000,P,S,M
1980-07-06 12:08:42.000000,50,50,1981-03-11 19:26:21.000000,50,1982-10-30 06:47:45.000000,L,Z,50,S,D,P,C,C,K,T,I,G,1978-08-05 17:13:13.000000,1988-05-21 12:41:50.000000,P,V,I,2004-07-10 08:44:21.000000,I,V,N
1994-12-13 10:52:58.000000,51,51,1980-07-14 16:43:47.000000,51,1977-12-09 17:08:20.000000,K,K,51,N,B,M,C,M,L,G,C,G,1997-06-03 04:49:49.000000,1975-06-05 15:36:14.000000,C,H,K,2013-10-28 17:23:18.000000,L,I,M
2004-08-30 20:38:21.000000,52,52,1988-12-27 01:20:56.000000,52,2015-07-25 17:54:24.000000,V,O,52,A,A,Y,I,A,P,Y,D,C,2010-02-26 11:23:35.000000,1984-12-29 15:27:14.000000,A,N,B,1973-10-09 22:46:05.000000,K,G,S
2005-11-16 18:06:51.000000,53,53,1988-09-09 03:21:59.000000,53,2002-10-26 14:31:58.000000,S,V,53,N,N,F,I,G,E,T,B,M,1981-11-18 00:16:33.000000,1997-03-18 19:57:55.000000,G,Y,G,1984-01-01 04:55:39.000000,S,H,M
1972-12-12 19:40:16.000000,54,54,2007-06-27 07:29:08.000000,54,1996-02-25 14:05:46.000000,K,U,54,A,Z,B,V,S,G,D,G,K,1982-09-20 12:58:28.000000,1989-12-06 21:06:00.000000,P,P,H,1995-11-15 19:44:05.000000,A,M,T
1978-09-11 01:34:40.000000,55,55,1975-06-23 19:37:52.000000,55,2021-05-21 19:01:56.000000,Z,B,55,E,F,P,G,S,B,N,B,Z,2006-08-08 05:05:22.000000,2008-10-11 03:34:42.000000,I,T,D,1976-12-31 09:44:37.000000,C,A,H
2015-07-05 12:02:11.000000,56,56,1983-09-10 08:47:03.000000,56,2015-04-24 19:00:32.000000,A,M,56,N,G,B,A,G,Z,P,V,I,2018-11-14 15:01:14.000000,1978-12-09 16:40:10.000000,P,L,G,1988-07-03 00:56:24.000000,B,C,D
1979-04-15 04:34:59.000000,57,57,2016-09-16 16:51:24.000000,57,1977-05-30 16:10:47.000000,V,B,57,B,D,I,L,W,P,C,A,A,2006-06-26 08:48:55.000000,1989-10-12 23:31:11.000000,M,I,B,1994-04-30 10:55:25.000000,B,K,S
2017-06-03 04:14:20.000000,58,58,2020-08-13 09:32:17.000000,58,2003-11-10 17:20:33.000000,A,D,58,T,S,H,E,K,C,T,N,C,1972-12-08 14:59:57.000000,2019-12-03 19:18:41.000000,K,G,M,2006-11-19 02:46:59.000000,H,B,P
1990-01-23 10:58:09.000000,59,59,1987-08-11 14:19:48.000000,59,2016-10-14 07:51:58.000000,A,C,59,S,T,S,T,M,O,M,C,G,2009-01-09 17:49:04.000000,1984-07-29 07:50:19.000000,B,S,D,1989-09-30 10:44:10.000000,T,B,O
2014-03-04 01:08:23.000000,60,60,2011-10-17 04:26:15.000000,60,2006-05-12 03:15:51.000000,P,U,60,P,T,G,N,K,T,A,I,P,2023-01-16 14:23:36.000000,1974-01-09 10:39:10.000000,P,B,P,2000-10-12 13:35:11.000000,F,C,K
2015-05-14 05:06:36.000000,61,61,1978-11-22 04:03:05.000000,61,2000-11-14 01:28:31.000000,T,A,61,D,A,M,G,M,S,L,S,S,2003-10-01 19:21:44.000000,1985-01-30 08:32:22.000000,L,A,A,2015-07-11 07:24:38.000000,E,F,U
2023-01-06 22:04:45.000000,62,62,1992-09-15 13:36:21.000000,62,1975-01-09 14:45:51.000000,K,T,62,G,J,K,S,G,S,L,C,Q,2012-02-04 04:34:42.000000,2012-04-22 08:06:27.000000,C,W,D,1995-04-20 00:16:14.000000,M,B,T
1992-09-15 06:40:55.000000,63,63,1987-03-10 21:22:55.000000,63,1988-09-27 00:32:53.000000,V,B,63,Z,L,N,G,R,N,L,A,U,1996-08-10 10:57:47.000000,1980-12-16 07:17:28.000000,M,B,E,1994-03-15 18:10:03.000000,R,S,H
1971-03-04 08:51:06.000000,64,64,1990-05-04 18:55:36.000000,64,1990-10-12 15:05:05.000000,C,A,64,I,J,G,C,G,V,P,A,G,1973-01-25 03:06:07.000000,1984-02-10 21:27:07.000000,F,B,P,2021-12-28 01:52:04.000000,M,B,D
1976-06-16 19:33:23.000000,65,65,2003-05-13 05:21:38.000000,65,1992-08-10 19:55:13.000000,P,M,65,D,B,L,U,M,E,A,C,M,2002-10-17 18:44:21.000000,2021-05-02 18:49:29.000000,P,D,K,1970-02-12 02:52:27.000000,L,L,R
2017-11-29 19:20:52.000000,66,66,1987-05-29 07:35:20.000000,66,1998-09-21 12:36:13.000000,L,F,66,N,C,C,I,G,U,M,B,K,2003-06-18 10:00:52.000000,2014-01-03 21:14:57.000000,V,C,M,2000-12-11 11:22:14.000000,G,U,A
1981-01-02 14:07:48.000000,67,67,1998-11-18 05:01:57.000000,67,1997-06-07 20:25:34.000000,S,T,67,B,K,A,U,G,M,M,G,A,1983-03-14 02:44:14.000000,2003-03-05 14:08:29.000000,G,S,I,1971-03-04 20:38:54.000000,I,A,C
2006-12-15 17:11:18.000000,68,68,2006-04-26 20:08:40.000000,68,1979-09-25 15:00:14.000000,P,B,68,G,K,W,T,I,Z,T,C,V,1981-06-13 19:18:45.000000,2000-02-17 22:04:39.000000,B,V,T,1973-06-03 20:34:51.000000,S,P,B
1997-10-12 13:46:42.000000,69,69,2005-02-07 08:09:05.000000,69,2018-12-03 18:43:11.000000,C,E,69,C,F,B,S,V,I,E,T,L,2009-02-21 17:04:30.000000,2010-04-02 07:53:47.000000,M,T,M,2001-07-17 02:10:03.000000,I,G,I
1999-10-01 21:07:35.000000,70,70,1987-07-21 16:14:31.000000,70,1983-12-27 20:56:06.000000,G,M,70,O,N,C,C,C,B,D,C,L,2017-01-26 23:28:25.000000,1999-07-19 10:01:44.000000,P,L,L,2015-08-16 18:17:35.000000,K,N,A
1991-04-18 09:58:16.000000,71,71,1994-06-04 01:12:21.000000,71,2009-03-08 10:46:28.000000,D,M,71,A,H,T,K,M,O,Z,B,I,1982-05-16 20:31:45.000000,1996-06-30 19:01:00.000000,U,K,R,2007-11-16 15:10:40.000000,A,A,P
1990-06-07 22:41:59.000000,72,72,2018-04-15 15:18:55.000000,72,2008-07-24 21:13:50.000000,S,V,72,P,K,L,A,A,B,C,U,K,1979-09-02 09:53:09.000000,2001-04-17 23:44:24.000000,T,E,K,2016-10-06 08:30:58.000000,V,L,P
2018-03-17 13:24:44.000000,73,73,2010-01-07 04:27:27.000000,73,2009-12-13 22:24:28.000000,N,L,73,B,P,G,G,M,T,M,I,B,2003-11-01 23:11:36.000000,1979-08-22 04:09:19.000000,M,T,G,2006-07-18 19:31:58.000000,M,V,K
2013-09-09 07:36:15.000000,74,74,1985-12-14 13:28:56.000000,74,1975-10-22 12:22:56.000000,A,Z,74,T,S,S,S,T,T,F,Z,S,2008-08-03 11:24:38.000000,1990-12-03 14:02:05.000000,V,G,G,1983-04-06 23:31:38.000000,B,T,A
2016-07-28 14:36:55.000000,75,75,2002-05-06 09:57:50.000000,75,1999-08-10 06:34:19.000000,S,M,75,J,B,H,T,E,B,P,K,N,2016-09-01 15:19:51.000000,1978-03-02 06:26:13.000000,P,H,B,1970-08-23 00:04:20.000000,S,G,G
1975-10-23 22:09:01.000000,76,76,1986-08-13 13:01:20.000000,76,1998-08-12 06:05:35.000000,E,D,76,D,A,B,G,H,B,R,M,Y,2012-11-11 03:14:54.000000,1995-06-06 09:36:39.000000,B,B,C,2006-10-15 12:46:43.000000,T,S,I
2018-10-30 02:57:11.000000,77,77,2007-05-13 03:02:06.000000,77,1980-08-09 16:49:05.000000,A,I,77,B,M,A,S,L,S,P,K,M,1989-10-16 06:22:41.000000,2015-08-16 11:51:34.000000,I,T,T,2008-10-06 17:04:28.000000,N,H,A
1990-05-30 10:52:42.000000,78,78,2014-04-01 02:07:33.000000,78,2009-06-18 00:18:47.000000,C,L,78,B,R,A,B,M,S,S,W,G,1977-06-20 19:50:50.000000,1987-04-26 17:34:06.000000,L,K,K,1972-12-12 07:08:45.000000,G,C,I
2012-08-03 12:02:22.000000,79,79,1998-11-15 08:22:22.000000,79,2010-09-02 15:12:49.000000,E,V,79,C,B,E,P,N,B,A,N,K,2022-02-21 17:38:18.000000,1988-10-12 07:51:33.000000,H,B,V,2005-07-14 20:50:07.000000,S,R,M
1972-01-17 09:51:47.000000,80,80,1994-12-15 06:06:58.000000,80,2011-04-12 10:22:36.000000,C,T,80,L,U,N,E,L,J,N,L,L,1991-03-10 17:28:23.000000,1980-11-09 08:25:51.000000,E,J,N,1979-01-20 19:06:59.000000,M,B,C
2023-02-19 09:45:21.000000,81,81,2015-05-06 05:16:57.000000,81,2020-12-24 19:50:17.000000,S,J,81,C,L,S,Q,S,V,L,L,A,1978-07-19 10:42:37.000000,2007-06-13 16:54:23.000000,F,L,T,1973-10-14 01:40:50.000000,C,R,N
1995-07-04 02:53:09.000000,82,82,1987-07-20 10:59:26.000000,82,1994-02-22 13:02:36.000000,G,M,82,B,S,F,B,C,G,M,M,C,2007-05-28 09:12:28.000000,2021-11-15 23:14:55.000000,K,S,R,2005-06-29 22:22:46.000000,D,U,S
1976-01-21 06:47:09.000000,83,83,1999-01-07 17:55:00.000000,83,2022-07-25 13:11:41.000000,L,P,83,T,I,V,Y,U,L,U,C,U,1995-06-27 01:57:42.000000,2009-07-08 20:42:31.000000,C,S,K,2002-09-22 04:50:59.000000,R,K,Z
1974-06-03 07:12:16.000000,84,84,1987-05-19 16:11:51.000000,84,2019-11-05 12:28:14.000000,V,P,84,Z,A,I,M,S,V,C,I,G,1992-10-06 11:48:36.000000,1979-04-27 02:02:26.000000,C,G,B,2003-08-15 17:24:55.000000,S,B,B
1984-12-30 11:44:41.000000,85,85,2012-08-08 00:02:44.000000,85,1970-07-04 21:37:42.000000,C,B,85,I,K,A,V,P,G,P,B,I,1996-10-24 13:52:42.000000,2009-07-06 09:20:44.000000,R,K,V,2021-10-24 21:23:44.000000,T,Q,H
2020-07-20 22:46:55.000000,86,86,1998-10-24 10:46:56.000000,86,1989-11-08 14:52:24.000000,I,G,86,C,R,H,N,A,D,S,L,P,1997-05-19 09:11:23.000000,2018-05-05 04:36:44.000000,B,E,L,1978-01-01 04:19:16.000000,I,K,N
1996-01-15 08:36:10.000000,87,87,2001-04-23 17:18:55.000000,87,2022-09-04 00:51:47.000000,C,M,87,L,A,N,A,M,G,A,M,A,1996-05-12 11:11:26.000000,1972-07-31 22:18:38.000000,P,B,F,2018-08-07 22:55:41.000000,S,A,F
1974-02-12 21:45:09.000000,88,88,1996-01-11 07:48:40.000000,88,1997-09-11 13:57:00.000000,F,E,88,E,K,M,I,G,N,S,M,U,1999-05-20 08:00:30.000000,2007-11-01 00:39:50.000000,B,P,S,1988-02-10 19:16:39.000000,L,I,C
1989-05-15 15:20:19.000000,89,89,2000-05-30 11:31:53.000000,89,2009-02-24 14:17:10.000000,S,M,89,A,U,B,B,K,S,C,I,S,2004-02-04 12:12:11.000000,1984-03-27 20:26:50.000000,C,B,E,2011-01-26 21:43:12.000000,S,L,U
1972-12-04 17:38:15.000000,90,90,2019-11-02 01:22:09.000000,90,1991-11-12 17:33:36.000000,M,N,90,A,Q,D,T,V,I,M,J,A,2004-03-04 01:30:05.000000,1984-02-14 03:29:05.000000,K,S,I,2014-08-17 10:00:54.000000,A,C,P
2022-05-22 01:27:42.000000,91,91,2022-03-26 21:05:58.000000,91,1990-09-13 16:24:12.000000,L,S,91,H,C,A,M,L,B,B,L,U,2010-12-21 01:34:46.000000,2020-12-19 23:17:02.000000,M,B,C,2000-05-03 23:10:48.000000,L,M,E
2015-08-06 09:08:39.000000,92,92,2007-11-13 10:07:36.000000,92,1991-07-01 12:10:39.000000,M,I,92,S,E,M,G,K,B,K,V,M,1984-10-04 03:30:13.000000,1990-09-16 09:24:34.000000,H,M,M,2017-07-08 12:26:33.000000,P,T,K
1984-07-10 08:11:45.000000,93,93,1974-04-19 18:36:17.000000,93,2008-02-29 07:24:20.000000,L,B,93,M,L,G,K,K,D,E,S,N,2001-06-25 07:29:44.000000,1977-01-25 21:28:56.000000,T,E,V,2003-08-12 18:15:21.000000,T,C,U
2000-05-09 02:43:36.000000,94,94,1973-05-16 16:45:23.000000,94,1999-02-18 17:37:20.000000,B,A,94,L,C,S,D,N,L,S,K,V,1994-12-04 02:07:01.000000,2014-07-24 00:14:37.000000,M,D,M,1985-10-25 11:37:31.000000,T,A,S
2021-07-10 04:22:17.000000,95,95,1992-02-18 07:05:03.000000,95,1972-02-16 05:19:09.000000,B,B,95,P,L,D,C,T,I,D,A,F,1996-06-26 03:16:58.000000,1982-05-13 05:31:26.000000,L,B,K,1998-05-06 19:07:52.000000,P,A,F
1988-08-29 23:56:36.000000,96,96,2003-08-25 07:55:34.000000,96,2014-07-11 02:15:12.000000,T,H,96,E,A,I,B,K,N,C,V,S,1973-06-29 09:55:26.000000,2018-07-31 01:04:46.000000,F,N,S,2001-05-11 11:37:53.000000,F,C,L
1984-03-23 06:37:47.000000,97,97,1997-05-05 06:56:31.000000,97,2010-10-06 13:57:36.000000,P,M,97,M,C,A,M,M,Y,J,L,I,1970-10-25 10:14:43.000000,1987-02-15 12:45:21.000000,N,T,A,2018-12-01 20:37:38.000000,L,I,A
