dh_sys,id_ds_vrs,cd_evn,dh_evn,key_period,dt_day,lb_sht_day,lb_day,day,cd_day,lb_day_week,day_week,cd_day_week,id_week,week,cd_week,id_month,month,cd_month,lb_sht_month,lb_month,cd_year_month,id_quarter,quarter,cd_quarter,year,cd_year,yn_last_day_month,dh_uti_cre,lb_uti_cre,lb_wkf_cre,lb_ses_cre,dh_uti_upd,lb_uti_upd,lb_wkf_upd,lb_ses_upd
1988-02-23 01:16:48.000000,34,34,1976-02-16 18:50:04.000000,34,1989-12-15,E,J,34,G,E,34,N,34,34,C,34,34,L,D,S,O,34,34,I,34,C,L,1989-02-12 18:34:31.000000,C,B,U,2013-09-28 13:54:36.000000,P,U,B
2016-08-12 07:45:40.000000,35,35,2013-12-04 20:57:07.000000,35,2006-08-25,N,U,35,A,M,35,M,35,35,J,35,35,U,G,S,N,35,35,S,35,W,S,1997-09-02 17:13:03.000000,P,N,P,2011-12-10 08:45:43.000000,K,T,R
2013-11-26 02:05:52.000000,36,36,2006-02-16 17:25:12.000000,36,2019-04-10,C,Q,36,N,B,36,M,36,36,A,36,36,M,K,E,B,36,36,J,36,E,N,2004-07-19 20:39:49.000000,P,B,K,1987-01-13 23:30:28.000000,B,K,K
2015-07-20 16:39:55.000000,37,37,1980-11-30 11:55:36.000000,37,2016-04-05,K,M,37,M,B,37,J,37,37,L,37,37,M,L,B,J,37,37,N,37,D,M,2008-11-08 09:44:39.000000,P,M,K,2015-06-27 23:49:28.000000,M,S,M
2011-03-22 13:47:40.000000,38,38,1999-10-19 11:01:59.000000,38,1989-02-25,C,M,38,M,T,38,M,38,38,C,38,38,T,V,K,C,38,38,H,38,S,N,2021-10-12 02:42:36.000000,G,L,B,1983-05-30 22:20:10.000000,A,I,B
2009-05-01 21:53:59.000000,39,39,1987-07-22 06:41:11.000000,39,1980-08-24,P,I,39,T,A,39,A,39,39,H,39,39,D,P,R,O,39,39,F,39,B,M,2016-05-12 04:19:28.000000,T,I,N,2005-09-27 19:20:01.000000,T,M,R
1973-03-15 03:29:42.000000,40,40,2006-06-18 06:19:12.000000,40,2019-08-01,E,K,40,M,L,40,I,40,40,B,40,40,G,M,S,Z,40,40,P,40,T,K,1990-02-22 20:48:46.000000,A,S,I,2003-01-14 20:54:17.000000,K,H,T
2017-11-24 21:19:01.000000,41,41,1982-10-08 08:19:42.000000,41,1973-07-29,S,K,41,C,T,41,B,41,41,W,41,41,N,N,M,B,41,41,T,41,M,L,2010-07-05 15:17:54.000000,G,Y,S,1996-07-27 06:20:33.000000,C,C,S
1972-01-31 06:52:50.000000,42,42,2001-04-24 03:05:06.000000,42,2011-09-25,S,S,42,G,B,42,T,42,42,S,42,42,C,Q,L,D,42,42,S,42,N,N,1989-06-03 14:23:41.000000,B,A,N,2010-05-25 21:14:02.000000,G,G,P
1983-08-06 19:31:41.000000,43,43,1987-07-10 16:59:06.000000,43,2017-12-10,H,N,43,M,G,43,F,43,43,C,43,43,T,P,T,T,43,43,S,43,L,S,2022-10-01 01:36:11.000000,P,N,U,2011-06-15 00:05:51.000000,I,W,C
1992-04-21 21:12:29.000000,44,44,2017-01-08 22:41:29.000000,44,1994-02-03,P,G,44,S,V,44,D,44,44,S,44,44,L,M,I,M,44,44,S,44,M,U,1971-08-19 22:05:23.000000,M,C,C,1972-12-02 23:18:09.000000,M,A,L
1992-07-09 06:10:04.000000,45,45,2015-01-13 11:52:12.000000,45,2005-10-12,B,B,45,A,T,45,W,45,45,N,45,45,N,L,H,M,45,45,G,45,U,P,2021-04-14 07:41:24.000000,C,S,D,1979-06-28 16:13:09.000000,M,B,D
2017-12-31 14:23:28.000000,46,46,1987-04-12 17:47:13.000000,46,1988-07-23,S,T,46,Z,M,46,A,46,46,M,46,46,D,R,L,G,46,46,G,46,L,L,1995-05-08 00:10:44.000000,M,S,T,1985-01-26 15:47:01.000000,T,S,C
2014-05-24 02:25:07.000000,47,47,2010-05-27 09:41:39.000000,47,1977-01-20,G,G,47,S,A,47,B,47,47,C,47,47,B,I,K,N,47,47,C,47,T,M,1993-08-28 12:31:11.000000,B,B,A,2008-11-04 00:51:27.000000,E,T,M
2016-10-31 05:38:19.000000,48,48,2020-10-21 03:07:56.000000,48,2021-09-24,C,P,48,M,M,48,P,48,48,O,48,48,K,V,L,I,48,48,W,48,T,S,2009-12-23 14:48:14.000000,K,T,K,2007-12-15 04:23:51.000000,S,C,T
2017-07-29 13:14:42.000000,49,49,2016-07-22 22:42:12.000000,49,1974-05-05,C,K,49,B,L,49,G,49,49,G,49,49,Y,C,C,K,49,49,D,49,G,P,1998-01-02 03:39:18.000000,T,Q,S,2017-12-12 00:25:16.000000,G,A,N
2007-07-24 22:26:09.000000,50,50,1997-12-01 13:39:33.000000,50,1998-04-11,S,B,50,P,F,50,P,50,50,P,50,50,C,A,F,S,50,50,N,50,T,K,1971-12-03 15:46:26.000000,C,N,T,1990-10-13 05:24:36.000000,A,L,G
2010-07-22 03:26:16.000000,51,51,2020-02-01 00:06:00.000000,51,1972-03-19,E,M,51,B,G,51,K,51,51,F,51,51,D,G,S,K,51,51,U,51,C,A,2018-12-05 02:18:18.000000,P,D,D,1977-08-01 05:43:38.000000,K,I,I
1985-07-10 17:09:54.000000,52,52,1986-06-17 15:38:36.000000,52,2011-09-09,C,H,52,L,T,52,E,52,52,T,52,52,S,S,B,C,52,52,M,52,C,S,1990-08-10 07:18:20.000000,B,I,M,2022-07-20 14:39:09.000000,G,D,N
1993-06-28 19:56:00.000000,53,53,1985-04-05 04:41:23.000000,53,1992-02-29,R,I,53,A,B,53,W,53,53,B,53,53,L,M,C,S,53,53,U,53,S,K,2002-09-06 11:25:26.000000,L,C,F,2015-01-11 22:29:04.000000,A,T,T
1976-09-23 12:39:14.000000,54,54,1985-06-19 00:40:03.000000,54,1984-07-03,N,D,54,U,S,54,G,54,54,J,54,54,K,B,B,B,54,54,G,54,I,I,1971-06-02 10:20:14.000000,E,V,I,2022-05-07 15:06:57.000000,U,F,N
2002-01-22 16:29:46.000000,55,55,2021-02-02 12:07:00.000000,55,2023-01-28,B,M,55,M,F,55,S,55,55,E,55,55,T,M,I,C,55,55,Z,55,C,M,1987-01-16 21:37:08.000000,T,S,S,2013-03-01 18:56:04.000000,L,B,N
1987-09-17 06:14:50.000000,56,56,2001-03-31 14:38:54.000000,56,1991-04-21,A,M,56,A,D,56,P,56,56,L,56,56,P,P,G,B,56,56,P,56,T,T,1991-05-19 18:45:54.000000,F,B,T,1985-06-17 08:58:10.000000,E,A,S
2017-03-21 14:49:30.000000,57,57,2015-11-19 10:09:04.000000,57,1975-02-21,P,S,57,D,A,57,J,57,57,A,57,57,U,G,B,P,57,57,I,57,N,C,1970-02-08 17:25:30.000000,G,E,C,1983-04-03 09:19:42.000000,B,T,S
2007-11-24 22:27:07.000000,58,58,1985-10-19 07:43:49.000000,58,1973-03-21,K,S,58,M,H,58,L,58,58,S,58,58,S,S,G,H,58,58,Q,58,M,C,1988-11-17 14:18:09.000000,N,I,L,2019-06-27 01:15:22.000000,N,U,P
2012-01-28 15:21:54.000000,59,59,2013-01-23 18:52:30.000000,59,2021-07-15,A,L,59,A,L,59,S,59,59,M,59,59,N,L,S,M,59,59,M,59,C,N,2014-06-10 21:41:49.000000,M,L,K,2016-08-03 06:48:37.000000,B,K,G
1995-01-02 01:57:31.000000,60,60,1986-08-31 17:17:47.000000,60,1980-09-23,G,Z,60,T,B,60,B,60,60,Q,60,60,S,L,T,B,60,60,S,60,K,I,1970-08-15 05:03:46.000000,B,T,B,1990-12-16 21:39:58.000000,I,G,L
1972-11-07 22:53:10.000000,61,61,2009-09-12 02:33:10.000000,61,1989-11-25,A,M,61,N,G,61,M,61,61,A,61,61,K,K,S,I,61,61,B,61,C,M,1982-12-20 15:42:36.000000,M,T,B,1983-02-23 04:31:58.000000,L,B,Q
2003-06-24 02:09:11.000000,62,62,2013-12-22 17:07:08.000000,62,2015-07-21,A,N,62,S,U,62,A,62,62,K,62,62,C,M,P,T,62,62,B,62,U,G,1981-06-23 17:58:09.000000,A,S,B,1983-06-15 09:12:55.000000,N,U,K
2022-11-22 11:45:28.000000,63,63,2016-07-14 06:48:28.000000,63,1983-10-10,P,S,63,G,S,63,B,63,63,I,63,63,S,A,G,K,63,63,M,63,S,N,2003-04-23 12:43:41.000000,J,M,C,2011-02-01 09:14:40.000000,F,D,S
1993-11-22 13:35:38.000000,64,64,2011-06-27 19:54:19.000000,64,2022-03-26,M,S,64,E,L,64,M,64,64,B,64,64,L,K,T,G,64,64,C,64,N,B,1977-11-28 11:30:20.000000,E,A,P,2021-01-21 11:55:58.000000,I,M,P
1981-11-27 22:26:51.000000,65,65,2015-05-26 10:04:07.000000,65,2018-03-19,O,W,65,I,C,65,C,65,65,W,65,65,C,F,B,P,65,65,G,65,M,S,1984-05-20 05:07:02.000000,K,M,C,1982-07-12 12:51:53.000000,B,A,M
2005-12-01 10:16:42.000000,66,66,2001-05-30 18:42:02.000000,66,2011-06-28,I,S,66,J,A,66,A,66,66,D,66,66,I,N,M,K,66,66,A,66,L,I,2003-09-27 14:22:38.000000,K,P,N,1976-12-23 21:02:59.000000,H,N,B
1980-12-15 04:48:15.000000,67,67,1974-12-22 20:33:20.000000,67,2018-05-08,G,D,67,C,M,67,H,67,67,C,67,67,B,N,G,G,67,67,P,67,C,S,2015-08-31 21:52:47.000000,J,D,S,1978-11-01 06:50:49.000000,P,C,B
2013-08-02 09:27:35.000000,68,68,1974-05-12 17:03:29.000000,68,1982-11-02,W,T,68,M,V,68,B,68,68,I,68,68,D,L,I,L,68,68,K,68,K,M,1994-05-03 02:08:39.000000,T,P,A,1989-01-08 17:41:06.000000,K,G,F
1993-11-07 21:59:31.000000,69,69,1988-01-13 13:38:18.000000,69,1980-04-30,L,A,69,S,I,69,K,69,69,B,69,69,C,G,A,L,69,69,A,69,T,B,2021-04-25 12:58:52.000000,C,O,I,2008-02-10 07:45:27.000000,F,M,M
2001-01-15 15:26:48.000000,70,70,2009-06-11 12:52:25.000000,70,1973-08-05,T,G,70,U,D,70,M,70,70,V,70,70,A,P,N,K,70,70,T,70,P,C,2015-05-08 09:37:07.000000,T,T,P,2012-06-21 04:42:59.000000,B,C,L
1999-07-03 05:10:35.000000,71,71,1988-07-11 00:22:05.000000,71,2014-10-05,G,I,71,K,I,71,M,71,71,S,71,71,A,I,P,U,71,71,A,71,U,C,2009-03-26 03:39:12.000000,T,I,L,2018-06-21 17:22:43.000000,I,A,G
1990-03-25 02:50:10.000000,72,72,1987-01-30 13:36:40.000000,72,2011-03-28,I,G,72,G,L,72,B,72,72,K,72,72,N,U,F,A,72,72,P,72,M,B,2021-07-05 08:45:19.000000,T,K,A,2003-04-04 06:57:39.000000,K,J,K
2015-04-25 02:16:31.000000,73,73,1978-07-06 04:40:51.000000,73,1986-12-29,Z,B,73,S,T,73,B,73,73,T,73,73,H,L,K,Z,73,73,S,73,G,B,1985-07-16 14:36:26.000000,E,R,T,1989-06-25 20:34:28.000000,C,C,L
2021-03-25 10:49:41.000000,74,74,1997-01-28 18:08:31.000000,74,1971-01-16,P,T,74,T,C,74,E,74,74,Z,74,74,A,L,D,J,74,74,P,74,F,D,1971-08-18 18:45:15.000000,B,T,E,1994-04-23 08:58:21.000000,B,L,P
1978-12-17 14:16:04.000000,75,75,2014-05-25 17:06:22.000000,75,2001-09-19,G,M,75,S,J,75,G,75,75,D,75,75,O,W,B,T,75,75,A,75,L,D,1992-06-04 22:38:27.000000,B,D,M,1985-11-04 23:59:31.000000,T,V,G
2002-04-07 13:30:37.000000,76,76,1970-08-13 05:27:06.000000,76,2002-05-23,S,C,76,C,U,76,M,76,76,A,76,76,R,N,B,H,76,76,A,76,B,T,1986-09-06 19:42:17.000000,S,I,C,1989-04-09 23:04:20.000000,A,C,K
1993-09-05 10:45:24.000000,77,77,1979-07-17 02:08:36.000000,77,1986-02-22,G,C,77,C,B,77,I,77,77,M,77,77,E,M,E,P,77,77,D,77,V,S,1985-12-20 19:30:20.000000,S,K,B,2021-09-14 16:39:14.000000,S,T,M
2013-09-15 20:39:46.000000,78,78,1996-08-17 03:47:45.000000,78,1994-07-03,B,U,78,K,S,78,S,78,78,B,78,78,L,I,S,I,78,78,J,78,T,M,2002-04-27 15:16:25.000000,V,N,C,2006-04-02 18:11:53.000000,S,M,K
2000-05-14 13:59:31.000000,79,79,2018-04-07 14:34:18.000000,79,1975-09-18,B,M,79,M,M,79,N,79,79,B,79,79,J,H,L,L,79,79,M,79,M,M,1996-10-31 23:58:23.000000,N,C,P,1976-06-11 00:43:24.000000,A,I,S
1985-12-06 09:06:48.000000,80,80,1998-04-11 01:15:17.000000,80,1995-06-16,C,M,80,B,P,80,M,80,80,C,80,80,I,A,S,T,80,80,A,80,E,P,2015-06-13 05:10:59.000000,L,C,I,2013-01-26 01:46:38.000000,B,P,G
1993-03-21 20:45:22.000000,81,81,1977-05-28 09:14:25.000000,81,1996-03-17,C,S,81,Z,K,81,C,81,81,U,81,81,S,B,G,L,81,81,M,81,S,Z,1997-07-29 02:04:28.000000,N,W,T,1993-04-25 15:45:50.000000,M,M,C
2001-09-23 00:45:38.000000,82,82,1970-08-28 13:57:13.000000,82,1978-09-29,W,D,82,L,H,82,L,82,82,C,82,82,U,R,M,S,82,82,K,82,M,D,1975-06-23 09:40:53.000000,T,E,P,1980-02-18 11:11:44.000000,T,N,G
2017-07-16 19:52:53.000000,83,83,1981-11-13 15:43:02.000000,83,2020-09-12,E,I,83,B,S,83,S,83,83,A,83,83,B,S,W,U,83,83,S,83,S,M,2015-06-14 15:24:04.000000,L,C,G,2000-09-14 09:53:04.000000,A,P,P
1992-12-22 05:54:22.000000,84,84,2017-02-27 06:49:42.000000,84,1973-09-27,K,H,84,B,V,84,M,84,84,P,84,84,B,K,C,K,84,84,M,84,T,M,2020-11-09 04:39:41.000000,T,M,E,1987-03-25 16:19:52.000000,C,P,K
2014-09-22 18:43:38.000000,85,85,2002-11-01 09:43:42.000000,85,1974-04-02,D,H,85,T,S,85,V,85,85,S,85,85,J,A,B,N,85,85,F,85,A,V,1975-07-05 12:43:02.000000,M,C,A,2009-11-19 15:20:18.000000,L,D,J
2018-10-12 03:44:38.000000,86,86,1997-05-08 21:12:42.000000,86,2011-03-12,E,D,86,D,B,86,G,86,86,B,86,86,B,B,T,D,86,86,I,86,M,L,1983-10-13 08:41:34.000000,D,G,N,1970-07-23 19:13:39.000000,N,T,G
1997-06-10 12:20:25.000000,87,87,1994-11-21 14:52:20.000000,87,2020-02-02,Z,P,87,A,S,87,B,87,87,N,87,87,D,B,T,B,87,87,L,87,K,F,2008-08-13 12:16:01.000000,M,J,A,2021-07-01 07:06:24.000000,H,E,V
1995-07-13 17:29:49.000000,88,88,1984-03-05 16:49:56.000000,88,2015-12-09,M,L,88,L,L,88,E,88,88,T,88,88,A,S,E,D,88,88,D,88,L,U,1982-08-05 11:46:35.000000,R,T,T,2010-08-09 22:33:55.000000,K,B,S
2005-03-13 11:51:11.000000,89,89,1980-01-07 02:44:37.000000,89,1984-06-03,W,L,89,K,G,89,M,89,89,S,89,89,S,Q,S,L,89,89,B,89,S,V,1986-06-16 22:27:01.000000,T,B,B,2003-08-01 03:32:33.000000,E,T,U
1981-04-23 01:55:05.000000,90,90,2014-09-05 09:06:18.000000,90,2011-08-22,M,K,90,A,M,90,Q,90,90,T,90,90,A,W,P,M,90,90,G,90,G,E,2000-06-14 04:42:16.000000,D,S,D,2000-04-05 12:34:39.000000,M,S,U
2003-10-21 14:49:50.000000,91,91,1981-10-12 02:49:48.000000,91,1992-03-13,G,V,91,F,D,91,T,91,91,I,91,91,C,G,E,P,91,91,Y,91,M,A,1987-04-08 02:05:33.000000,G,S,M,1971-03-04 22:25:36.000000,B,M,A
1982-02-07 20:59:15.000000,92,92,1976-12-26 17:26:09.000000,92,1983-09-01,W,C,92,I,R,92,R,92,92,F,92,92,D,F,N,S,92,92,T,92,S,C,1990-10-22 05:30:53.000000,B,C,K,1986-01-08 19:52:30.000000,V,A,B
1974-10-21 23:19:43.000000,93,93,1997-12-24 18:20:07.000000,93,2014-08-22,M,A,93,P,I,93,K,93,93,C,93,93,L,Y,P,F,93,93,C,93,M,W,1984-09-19 18:26:35.000000,C,M,C,2022-07-04 00:41:46.000000,G,D,M
1979-02-15 03:44:23.000000,94,94,2010-09-07 15:19:10.000000,94,1982-03-01,F,T,94,B,N,94,B,94,94,J,94,94,M,B,C,R,94,94,K,94,H,M,1975-01-27 11:11:27.000000,E,C,S,1986-10-07 19:00:42.000000,V,K,O
2002-07-31 00:58:57.000000,95,95,1993-08-09 22:57:06.000000,95,2018-01-02,V,Z,95,S,N,95,I,95,95,D,95,95,I,N,N,C,95,95,B,95,Z,K,1995-10-25 19:02:17.000000,P,B,K,2015-09-28 01:53:04.000000,A,C,C
2011-02-19 13:13:05.000000,96,96,1993-02-24 22:39:30.000000,96,1999-06-12,I,E,96,M,E,96,Y,96,96,B,96,96,M,M,A,C,96,96,U,96,G,L,2000-11-29 06:58:46.000000,V,G,L,2013-10-02 07:26:47.000000,A,B,A
2001-10-07 06:53:03.000000,97,97,2003-08-14 17:24:41.000000,97,2009-01-18,Q,S,97,S,A,97,I,97,97,B,97,97,B,K,I,B,97,97,I,97,N,I,2002-04-02 05:59:02.000000,D,P,S,2017-01-14 06:27:32.000000,A,S,C
2016-11-02 05:07:13.000000,98,98,2009-04-13 15:25:16.000000,98,2007-03-17,S,T,98,R,R,98,B,98,98,C,98,98,P,N,H,L,98,98,M,98,K,W,1991-10-13 10:48:11.000000,M,C,B,1981-09-23 04:03:12.000000,N,K,A
1998-07-06 16:22:50.000000,99,99,1990-01-22 19:55:18.000000,99,2000-05-31,M,B,99,M,D,99,M,99,99,N,99,99,K,G,S,I,99,99,V,99,L,S,2005-08-25 22:58:07.000000,E,S,M,2005-02-12 21:07:31.000000,P,M,L
