dh_sys,id_ds_vrs,cd_evn,dh_evn,ips_id,ips_id_key,ips_sym_key,ips_name,aa_type,aa_valid_from,aa_valid_to,saa_id,saa_sym_key,saa_name,taa_id,taa_sym_key,taa_name,bmrk_id,bmrk_sym_key,bmrk_name,mpf_ovr_id,mpf_ovr_sym_key,mpf_ovr_name,time_id,ref_date,dh_uti_cre,lb_uti_cre,lb_wkf_cre,lb_ses_cre,dh_uti_upd,lb_uti_upd,lb_wkf_upd,lb_ses_upd
2006-07-20 19:30:02.000000,38,38,2005-04-04 03:58:34.000000,38,G,B,Z,V,2013-06-26 10:25:06.000000,1982-01-02 10:27:16.000000,38,S,T,38,H,M,38,M,B,38,A,B,B,1981-01-18 22:46:52.000000,1986-07-07 12:35:21.000000,J,T,U,1976-02-18 19:49:36.000000,M,U,N
1982-01-11 15:43:25.000000,39,39,2021-11-17 17:32:12.000000,39,C,M,S,L,2009-10-14 15:57:16.000000,2015-08-11 06:56:56.000000,39,M,J,39,L,N,39,T,T,39,C,S,D,1997-08-25 10:49:48.000000,1971-03-02 12:27:35.000000,P,E,S,2000-06-08 09:48:22.000000,K,D,S
1976-06-16 23:05:13.000000,40,40,2010-02-05 13:01:44.000000,40,P,A,V,S,2010-05-19 02:18:32.000000,1976-02-15 10:49:13.000000,40,M,C,40,N,I,40,S,Z,40,C,M,I,2005-04-07 04:48:56.000000,2014-11-05 00:44:07.000000,T,I,Y,1971-01-05 23:03:33.000000,G,U,F
1978-05-20 05:53:04.000000,41,41,2013-09-10 01:56:49.000000,41,C,V,S,U,1977-08-22 13:56:49.000000,1993-12-17 05:21:52.000000,41,S,I,41,Y,E,41,P,S,41,T,L,I,2020-11-11 09:48:46.000000,2016-07-11 06:19:04.000000,M,Z,M,2022-06-02 05:34:49.000000,G,I,L
1993-12-26 13:29:37.000000,42,42,2008-10-26 04:52:01.000000,42,G,B,S,U,1974-03-27 12:21:36.000000,2005-08-04 01:48:33.000000,42,D,E,42,A,C,42,C,D,42,T,L,C,1970-01-24 12:58:29.000000,1987-03-13 01:14:08.000000,S,B,G,2020-04-15 13:31:10.000000,G,M,K
1992-11-12 11:30:49.000000,43,43,1991-02-22 22:29:02.000000,43,H,N,D,B,1978-09-26 08:03:04.000000,1981-06-10 06:44:12.000000,43,C,I,43,I,I,43,T,C,43,M,W,N,2002-06-17 03:13:09.000000,1984-08-13 11:30:46.000000,B,N,A,1989-08-11 04:09:12.000000,M,N,T
2006-09-20 00:30:33.000000,44,44,1998-06-27 00:01:02.000000,44,T,G,T,N,2012-05-19 13:16:06.000000,2001-03-08 13:14:21.000000,44,E,D,44,M,B,44,S,V,44,K,G,L,1990-09-15 00:59:16.000000,1996-10-09 19:55:27.000000,L,L,C,2016-02-26 12:17:12.000000,A,P,W
1987-12-06 05:53:38.000000,45,45,2015-10-05 00:12:07.000000,45,A,M,R,S,1993-10-07 19:55:11.000000,2010-02-19 21:40:33.000000,45,A,N,45,J,M,45,I,J,45,C,S,M,1981-11-05 22:24:02.000000,1998-09-15 05:20:15.000000,F,R,K,2003-03-14 19:35:26.000000,N,D,Y
1980-05-25 00:32:25.000000,46,46,2007-07-09 18:26:47.000000,46,P,T,A,L,2003-08-23 19:20:44.000000,2016-02-01 11:49:54.000000,46,S,G,46,M,V,46,A,T,46,A,N,M,2013-05-10 18:11:01.000000,2010-07-21 04:41:48.000000,D,C,F,1978-03-27 10:21:49.000000,M,G,L
1987-04-11 16:50:37.000000,47,47,2022-03-30 09:32:19.000000,47,C,M,K,S,2017-01-30 09:19:03.000000,2011-02-22 08:34:36.000000,47,D,B,47,G,Z,47,E,G,47,B,B,F,1974-04-03 03:05:23.000000,1991-11-20 03:23:56.000000,G,M,M,2023-03-18 12:07:06.000000,S,G,J
2019-06-08 21:55:26.000000,48,48,1996-01-18 10:28:04.000000,48,G,P,T,T,1999-08-27 11:50:58.000000,1990-05-25 16:54:31.000000,48,B,H,48,H,B,48,N,S,48,T,S,G,1999-06-16 16:11:27.000000,1990-01-18 08:46:15.000000,L,M,A,2020-05-19 01:02:19.000000,J,L,S
2011-10-05 14:46:06.000000,49,49,2013-07-31 11:16:17.000000,49,M,T,M,P,1995-05-30 14:48:38.000000,2017-08-12 17:03:22.000000,49,D,B,49,G,Q,49,S,B,49,I,M,K,2018-03-03 15:27:50.000000,1991-03-01 18:35:48.000000,S,Z,S,1992-04-04 06:05:40.000000,T,L,L
1985-01-28 04:17:00.000000,50,50,1997-08-25 19:57:15.000000,50,P,M,M,C,1984-01-24 17:05:43.000000,1978-05-31 02:38:35.000000,50,S,M,50,T,T,50,A,B,50,A,A,G,1980-02-07 11:43:00.000000,2022-12-02 02:08:09.000000,C,U,A,1999-01-01 07:31:23.000000,D,I,D
2021-11-07 16:58:04.000000,51,51,1997-07-10 19:58:31.000000,51,B,B,S,D,1995-08-09 14:46:53.000000,1981-08-16 10:42:40.000000,51,G,N,51,G,B,51,K,I,51,M,N,D,2000-05-21 07:20:32.000000,1999-09-10 10:35:52.000000,S,Z,B,2014-11-27 17:13:06.000000,N,K,Y
1991-07-03 21:49:47.000000,52,52,1981-05-11 11:34:57.000000,52,R,C,G,R,1998-03-13 03:36:42.000000,1984-02-22 07:27:51.000000,52,A,C,52,B,Q,52,K,S,52,B,P,V,1992-05-07 19:56:00.000000,2000-11-09 01:11:56.000000,A,U,T,1989-07-06 20:46:31.000000,I,M,H
1985-11-30 19:13:23.000000,53,53,1984-04-22 17:49:28.000000,53,T,E,G,M,1996-04-01 02:49:41.000000,2015-11-18 17:15:08.000000,53,S,S,53,I,D,53,B,U,53,K,G,T,1988-12-01 01:24:36.000000,2007-02-01 08:59:03.000000,B,L,S,1995-02-22 14:12:36.000000,M,T,L
1980-05-16 16:04:16.000000,54,54,1983-03-18 22:05:25.000000,54,U,N,B,L,1975-05-14 17:33:59.000000,1995-05-17 14:15:02.000000,54,S,S,54,N,S,54,P,M,54,C,S,K,1976-02-07 03:57:12.000000,1998-03-11 17:12:59.000000,V,C,N,2014-06-17 22:04:06.000000,T,R,U
1983-10-09 21:00:52.000000,55,55,1989-10-24 03:13:14.000000,55,P,G,S,P,2011-01-13 02:35:30.000000,1978-11-22 09:28:16.000000,55,H,C,55,S,B,55,Z,C,55,F,R,N,1986-05-07 02:24:57.000000,1993-05-27 14:23:04.000000,T,J,S,2022-05-15 20:10:51.000000,T,M,M
1990-12-02 17:06:29.000000,56,56,1993-09-02 11:16:38.000000,56,R,S,L,M,1996-10-28 06:41:31.000000,1988-04-04 09:05:49.000000,56,A,D,56,L,H,56,M,B,56,M,B,G,2002-01-26 06:53:22.000000,1987-09-01 11:09:32.000000,T,V,R,1989-08-08 17:41:27.000000,P,B,M
2019-10-25 10:39:52.000000,57,57,2014-08-29 02:34:46.000000,57,C,M,Z,M,1994-02-13 20:22:26.000000,2004-01-17 01:55:14.000000,57,U,M,57,L,C,57,C,M,57,V,S,B,1998-05-28 18:06:19.000000,1993-07-02 19:46:11.000000,A,B,C,2007-02-19 22:44:25.000000,A,C,T
2017-02-01 02:54:24.000000,58,58,1990-10-29 23:20:28.000000,58,B,D,K,V,1979-03-09 12:03:36.000000,2021-09-30 17:44:07.000000,58,O,N,58,K,T,58,I,L,58,G,C,Z,1980-04-02 08:46:47.000000,2014-11-27 23:08:18.000000,F,C,P,1991-09-20 06:44:37.000000,B,L,I
1984-08-15 01:49:59.000000,59,59,1989-10-26 23:31:27.000000,59,T,Y,S,S,1977-04-21 15:26:42.000000,1991-06-10 07:16:41.000000,59,L,L,59,F,B,59,B,S,59,S,P,K,2002-04-18 06:33:48.000000,2009-02-03 17:13:13.000000,C,M,S,1990-10-17 21:51:11.000000,U,B,G
1998-06-20 14:35:46.000000,60,60,2014-01-31 05:52:47.000000,60,E,P,R,C,2000-04-08 21:55:26.000000,2022-07-29 10:32:54.000000,60,E,L,60,V,I,60,P,T,60,C,A,E,1986-07-17 10:37:12.000000,2012-10-25 12:13:13.000000,S,Z,T,2011-05-22 04:33:11.000000,C,P,D
1981-12-25 15:24:28.000000,61,61,1991-03-03 06:40:08.000000,61,M,J,N,C,2005-06-18 12:59:00.000000,1973-04-24 23:33:06.000000,61,V,B,61,P,C,61,R,H,61,R,M,C,2005-09-13 12:19:56.000000,1998-08-16 11:36:23.000000,S,T,B,1973-03-17 05:12:52.000000,Z,E,A
1988-05-27 05:12:07.000000,62,62,1983-09-25 10:46:00.000000,62,B,P,G,G,2010-08-08 04:16:58.000000,1987-04-15 17:36:20.000000,62,M,U,62,S,K,62,M,U,62,T,C,B,1981-04-07 22:40:23.000000,1974-03-01 23:40:07.000000,C,H,D,2000-01-01 10:31:12.000000,V,K,P
2016-07-08 14:27:31.000000,63,63,1993-11-16 00:37:32.000000,63,E,E,U,B,1990-02-25 23:35:39.000000,1986-08-12 10:50:36.000000,63,D,C,63,T,B,63,Z,T,63,I,G,L,2003-10-02 21:34:52.000000,1988-03-08 09:25:18.000000,Q,A,G,2017-08-15 08:09:32.000000,I,K,A
1996-04-19 02:17:55.000000,64,64,2014-10-25 19:28:47.000000,64,B,L,B,B,1994-10-09 16:13:05.000000,1988-09-23 20:02:55.000000,64,C,R,64,P,D,64,I,C,64,G,P,G,1970-05-29 10:35:05.000000,1992-09-07 13:45:10.000000,D,C,I,1975-01-06 21:37:33.000000,V,V,A
2009-12-09 12:51:19.000000,65,65,2002-10-09 16:39:19.000000,65,T,P,F,A,2011-06-15 18:39:59.000000,1978-07-01 00:51:56.000000,65,T,D,65,B,L,65,V,C,65,C,N,K,1973-04-16 03:10:28.000000,1978-07-02 04:53:51.000000,Q,N,E,2006-12-08 06:00:17.000000,C,B,T
1990-12-26 17:40:24.000000,66,66,2010-06-18 01:45:49.000000,66,M,S,K,E,1989-04-14 17:39:27.000000,1971-11-25 08:49:46.000000,66,G,E,66,C,A,66,C,N,66,C,K,B,1975-05-29 06:42:14.000000,1985-02-12 08:16:35.000000,Z,B,C,1997-04-11 21:44:52.000000,B,T,N
2017-07-18 23:18:31.000000,67,67,1978-05-23 15:44:44.000000,67,V,T,U,C,1991-06-27 22:41:53.000000,1994-06-18 16:42:09.000000,67,S,B,67,R,M,67,M,P,67,M,Q,I,1995-09-08 07:50:23.000000,2021-01-01 17:27:33.000000,T,C,U,2004-11-09 07:08:07.000000,B,T,I
1972-05-09 20:22:40.000000,68,68,2010-09-21 21:55:59.000000,68,Z,E,E,N,1976-09-20 13:29:17.000000,2010-08-01 00:09:51.000000,68,S,B,68,K,A,68,A,A,68,C,M,S,1996-07-01 07:18:23.000000,2002-07-19 18:16:36.000000,L,V,G,2004-11-18 03:05:05.000000,N,U,U
1970-10-29 18:20:23.000000,69,69,1970-10-02 20:55:15.000000,69,L,B,M,R,2007-12-06 07:37:08.000000,1984-07-03 00:25:28.000000,69,U,T,69,C,W,69,A,I,69,U,I,B,2003-10-04 11:57:41.000000,2010-11-16 20:37:31.000000,A,M,F,1995-12-22 21:19:26.000000,G,P,T
1973-11-06 12:19:32.000000,70,70,1974-07-29 19:57:36.000000,70,S,D,Y,M,2004-12-09 13:53:33.000000,1993-11-28 18:19:34.000000,70,K,D,70,W,P,70,A,I,70,G,M,B,2011-03-17 03:04:05.000000,1996-02-11 11:24:16.000000,P,C,C,2018-04-25 23:10:26.000000,L,H,A
1981-12-29 22:49:21.000000,71,71,2010-04-04 21:12:21.000000,71,A,M,I,V,1971-03-07 22:33:43.000000,1990-08-23 12:26:19.000000,71,Z,U,71,P,I,71,S,P,71,A,G,M,2000-01-01 11:50:33.000000,1981-10-25 08:05:22.000000,F,L,D,1978-02-10 08:41:09.000000,V,I,C
1970-10-25 00:50:59.000000,72,72,1976-03-23 06:18:03.000000,72,T,P,S,C,1982-04-09 00:43:56.000000,2010-11-22 19:10:54.000000,72,L,I,72,S,T,72,R,A,72,T,J,T,1997-06-21 07:48:32.000000,2004-06-10 06:41:15.000000,M,B,M,1994-04-19 22:55:06.000000,T,P,L
1970-04-20 23:01:49.000000,73,73,1990-05-21 09:31:52.000000,73,G,B,E,M,2002-01-26 00:16:55.000000,2021-03-21 16:54:24.000000,73,K,N,73,T,U,73,R,I,73,M,B,M,1973-10-13 14:35:45.000000,1981-11-20 22:10:56.000000,C,M,T,1992-03-29 00:37:46.000000,P,I,D
1975-01-21 15:44:07.000000,74,74,2017-01-16 10:35:54.000000,74,K,C,V,S,2015-11-03 01:33:10.000000,2019-06-10 13:47:27.000000,74,N,K,74,I,G,74,S,V,74,G,B,S,1999-11-26 12:42:51.000000,1984-07-21 11:34:54.000000,N,D,P,1971-10-02 16:34:45.000000,M,K,G
2014-07-05 20:57:06.000000,75,75,2000-09-24 00:14:35.000000,75,M,B,N,B,2003-11-05 09:08:34.000000,2021-02-21 11:09:28.000000,75,F,K,75,L,V,75,K,C,75,M,C,D,1994-01-14 07:30:05.000000,1990-08-11 11:51:26.000000,Z,Y,N,1983-06-02 09:01:36.000000,G,M,P
1999-06-12 16:57:55.000000,76,76,1993-05-06 07:35:18.000000,76,B,T,J,D,2004-11-12 02:55:49.000000,1988-06-19 00:44:45.000000,76,M,U,76,N,M,76,I,E,76,G,G,K,2017-07-20 03:31:13.000000,2001-01-01 11:42:33.000000,I,T,M,2002-04-06 19:22:45.000000,A,I,K
1993-07-19 20:27:06.000000,77,77,1977-06-23 06:15:22.000000,77,L,I,P,M,1978-07-03 18:51:09.000000,1986-08-25 10:26:17.000000,77,I,C,77,K,B,77,N,Z,77,M,Q,B,1990-10-29 01:19:30.000000,1973-04-21 02:39:08.000000,G,I,B,2009-10-15 19:49:10.000000,A,C,S
2006-12-17 21:19:08.000000,78,78,1990-10-08 02:04:39.000000,78,T,T,U,S,1986-12-19 23:37:10.000000,2020-03-17 08:27:44.000000,78,E,N,78,E,B,78,M,P,78,L,P,N,1996-10-01 15:35:19.000000,2007-08-31 20:32:22.000000,E,A,A,1988-01-14 03:41:15.000000,D,E,C
2009-06-06 20:23:49.000000,79,79,1996-02-03 05:45:57.000000,79,B,M,B,I,1975-11-05 03:52:59.000000,1983-12-08 12:03:55.000000,79,A,M,79,I,P,79,M,R,79,U,S,B,2008-05-28 19:24:15.000000,1974-07-30 23:10:24.000000,R,P,N,2003-01-19 02:54:03.000000,L,T,N
1972-05-16 00:04:59.000000,80,80,1996-05-03 06:00:41.000000,80,T,K,E,S,2013-04-09 03:18:56.000000,2013-07-07 07:12:03.000000,80,B,S,80,T,I,80,B,R,80,L,J,H,1975-08-31 14:43:37.000000,2020-12-07 00:40:36.000000,B,R,T,1993-03-11 20:04:35.000000,L,F,T
1991-08-01 00:58:44.000000,81,81,2013-10-09 11:30:07.000000,81,Y,J,M,I,1995-04-30 15:00:47.000000,2019-06-10 06:24:28.000000,81,M,S,81,S,P,81,I,D,81,S,U,G,1994-07-26 08:10:44.000000,2016-07-12 20:16:24.000000,G,T,M,1986-12-25 04:59:52.000000,D,S,U
