rk,is_new_month,is_new_week,is_new_year,cont_nr,ref_date,twrr_net_dly,twrr_net_wtd,twrr_net_mtd,twrr_net_ytd
-1194649299,-1876587371,-1158673715,1258542343,"Medical fast data audience night fear. Pay scene watch much. Write ok experience little hot Mr.
Agen",Be metho,0.44183646862923087,30.745224833146096,3.2423287341987095,17.749513386669257
625337926,705900521,1616905292,367682252,Of accept network only my develop everybody. Enter religious become exist condition.,During w,33.63671306673158,10.102132888582904,12.196619389085013,12.694679406451355
24923676,1169214178,-1531400235,-463446109,"Reach her plan. Administration method seat commercial.
Personal strong necessary street item compare",Knowledg,12.631177465631604,35.11547860159264,5.365753426552639,3.534313182424142
-402285935,-190934485,478201636,-1743305809,Second camera year develop public seem heart. Executive these data stop check reality. Paper poor ar,Agent re,15.869791057315734,4.013561993701115,30.74344257525753,23.261398499184544
2030541173,310518862,81463954,224733280,Become other one parent. Sea month see detail yes policy special. Director live wonder behavior anal,Let thes,28.39335246797145,18.133802446907275,22.61791701016438,9.056017937432062
-47830354,133400413,1707197948,-2041894217,Among throughout big reach through cut office. Ready decide smile response side raise I.,Step par,3.911144593645344,42.16081460532668,28.26759543558123,32.48357866397928
1399605191,1251920786,-1349809614,341504908,Central eat politics thought morning bag piece. Apply community education. Involve true stop wrong d,Three ju,28.69409265218781,17.408221140159863,10.804003608333069,21.26881989905875
1419229308,-1444915,807480067,1516103201,Establish join simply author quite seek. Model these their green white weight.,Understa,17.530576740078214,34.570719681394586,13.29576518140533,1.5772492228349337
305700472,-1862523858,1888055925,2034925045,"Contain fight reality actually could interview star. Them campaign school find body reveal.
Someone ",Entire c,8.26860859005384,45.199531107569285,40.93219128696617,25.163480616093565
747870516,-1718778492,-952072576,893866728,"Figure future call agreement pretty. Throughout voice sound it low once other.
Prepare success commo",Five wit,36.31772043021447,12.21888637063542,1.6814337818074234,16.35929218418467
286208110,300180766,-1467721346,-2008044476,"Reveal keep reality new something vote three. Prevent whose pattern without.
Home during huge interv",Our succ,41.67097149247747,48.994812076098164,8.470953777036389,13.985604645808081
-1622283170,-909159298,-1088188344,1980645212,"Can no must space many between. Stop past decade section police special.
Along heart my nothing char",Could th,42.95299267520911,29.71988656054853,13.35288699568735,31.222453200660603
-640604093,1779351871,1343954085,-906199137,People happy president kitchen administration peace later. Anyone explain green my. Day lose way cha,Indeed s,38.014475114300936,40.561807780247406,9.764545829758944,37.01619022713467
1705307826,369023473,2010587432,-966361940,"Culture hundred century. Media likely thing. Bed visit training bit hit.
Project everything miss. Ac",Rest upo,42.43115590156444,16.601313606741357,32.256351546377886,4.892144741363731
2026353335,-1903872534,-1972174719,554138663,Head house case message. Local inside hundred him. Data reach sister score back.,Body mes,33.785003651277705,7.257601242015185,18.65071324105448,10.880017480702975
1789377583,-1389407158,255397554,1326296412,Deal truth ago protect style type. Leader maintain wife north. Fill national four third necessary.,Himself ,16.018896946161046,51.750554179296614,30.996305087005737,33.441446210306886
464970596,-1277642472,1337809266,125921240,"Leader police bank both one each. School best form.
Lead test civil admit structure until your. Show",Newspape,32.547724415344376,7.366339073610507,45.97735791761128,20.076744489520028
-1686108560,648032627,-1646274425,498001386,Play general tell sea least heart voice chance. Hospital call change either decide star. Phone thoug,Range fi,8.642011222768962,29.734511406678116,41.46065994665859,56.86380794982048
-1608220957,969682446,1962139161,-776456487,"Available another specific marriage. Report last significant such color.
Make current view late cond",Cold any,19.546347914671653,40.546665516893896,3.5362725498040577,48.48464292243473
-208452511,-1483221277,-31637319,-53090887,"Recognize notice toward tonight campaign.
Whom first hear unit. Movie improve rock. Mother itself mi",During b,44.59284116367509,0.9887455782169611,28.949320923260565,12.5566293249119
1503921597,1210334758,1476460919,-334805825,"Age piece character human stop available. People base general stock least price.
Test nature early r",Already ,38.775890842731826,42.118220026506606,39.787690487491254,25.20043191898659
-294256287,-1754490278,1073542782,-1914655322,Occur player report employee relationship model daughter. Wind box also risk. Then still ago rate ou,Generati,19.27589416390663,42.873845955921524,22.48964059484984,11.79609721122639
-1917064713,-2104455822,838805774,928655400,"Firm relate mission argue. Class television from determine hour prove whose media.
Speak east expect",Pattern ,46.916425021500174,49.78626041365377,19.429874407061455,61.299794233356344
-1380029966,551852494,-1259222570,-1322160712,"Own better can identify church trouble. Bit great strategy forward father candidate fall school.
Mat",Itself d,53.724561318014814,25.969887897071906,48.91027144302407,15.090355314669122
-2026475976,962963946,-1053972420,626044866,North laugh bar late write. Need since event situation million decide box.,Little t,31.40019370801268,60.05917208872773,11.395817606956484,26.36883354985835
1136364258,-687467282,-713885181,222522867,"Suddenly notice better. Upon change tonight focus.
Cost ball herself stuff. Responsibility fish no t",Big gard,16.437257251740895,29.568335479735726,13.483260403589103,64.64539231975574
1892964436,-938824320,1728965424,470097440,"Relationship state institution. Us might pressure performance.
Quite crime house bar.
Various hand n",Establis,65.17841059520468,24.50107413632513,20.377053562590724,59.76621930141597
437897748,538306166,-634879641,-1120811989,Us sign type prevent father memory. White as speech field answer young candidate. Or school approach,Its futu,8.962491778204424,6.571302961701555,46.72326456732554,46.76138597742346
391051372,-80108110,350515124,740626074,Itself book kid threat water. Food occur see individual century success into. Plan project it popula,Personal,39.209275572058004,55.18082379626477,59.04371081345335,5.443481567233489
-1588692559,23966241,-910142415,-664328173,"Good event career somebody human despite. Big power course down.
Head case instead perform social. M",Commerci,2.4793915865956833,26.820064180253482,13.679829837627745,53.50756856039043
492919699,-1368234703,569680582,759172430,"Far month then. Part unit rest key alone bag discover. Factor once challenge billion.
Rule officer c",Fund dec,0.9093297607889883,54.19265065581396,43.631528186191886,15.94903964948227
1916309986,1762501288,1194425948,25033673,"Discover actually experience child PM rich. Draw maybe network wear race look.
Worry option across t",Even cle,48.50293421747325,69.18847431992545,64.10744466995102,31.500888562531266
-1708939706,-579658138,-534179030,-1399429145,"Nor behind poor attention somebody reveal soon. Task than hear sort loss which. Fish which feel.
Sig",Certain ,42.83588612034213,23.87730996054963,9.998978846651436,49.47156822116831
-1790201493,318880212,910595249,2101845558,"We south say drug tonight market evening. Fine reduce for arm drop purpose recent.
Level consider so",Too time,64.19735434399655,38.248279870887906,55.698047077599924,64.1705969258026
864497156,576223621,-228297488,-33518606,"See our month approach hand long society. Significant lot physical control name.
Statement game lead",Both bri,68.19406219091617,51.411235310558006,44.49972905695935,60.247577837710445
-1098778064,-1223114523,1392534416,-15337674,"Central avoid financial professor I. Boy remember reveal recently too up.
Probably who either beat. ",Kid offi,67.1315988755509,14.98016329530128,25.02784763142198,68.24706229241013
2074301028,-633550156,470984957,-1512350080,"Data peace home firm. Begin source truth.
Loss people box public identify maintain although. Pick mi",Capital ,31.557022514658385,5.958460178289391,39.68498700833369,62.82115251264971
-2029204741,-169744956,-112591278,1197787705,Mrs billion center quickly. Outside impact we whatever hold prepare economic. Your clearly our order,Five lat,73.38667568383066,50.420701975029026,19.390504717007826,51.08929630579624
1488983969,-424507368,1852551068,983593276,"Policy rate contain campaign boy note. Choice which name. Research individual community hotel.
Notic",Make sto,34.152075684033406,49.12877438676897,11.97516168388409,43.25121086672517
-358223343,1132063284,-1616019647,1911807310,"Add start month television. Do oil while arm when bag.
Arrive during memory tax. About election sudd",Minute s,9.508667784238055,57.02293227514056,49.45571253543717,42.07698790807133
267739379,1999935392,2102958085,-1997301089,"Remember data magazine.
Less field apply moment. Attorney better grow shake if none.
Population scie",Write we,39.411294760930716,10.114980917676455,58.4043517592739,37.65379418770247
855039004,-1101425132,-1919052521,1844598622,"Add person miss clearly wide.
Company property that. Instead good across will few husband.
Employee ",Bar both,15.73344929656822,11.319664696186146,43.27304491864674,17.048202505434052
928097399,212685383,-1056769540,2034356205,"President many laugh. Always different growth trouble.
Consider small concern both agency occur comp",Maybe mi,16.449012355312068,79.82600585051942,65.1937815292201,25.8185958893092
1822908021,-1691710447,-1761083091,-455495601,Ability very economy protect. Recently space wear join. Beyond challenge center now ask generation m,I car ho,9.186812847732917,32.24746987275803,67.78063150223616,66.7426060167738
-764347460,-390983404,-338260520,707480876,Because source more wear should agreement. All near indicate term act. Act major community here high,Collecti,35.956108167968296,51.83478323562953,6.023264331298973,71.83826839658549
1683684838,-370263592,40988577,865210977,Nor thus analysis last understand between their. Job teacher court responsibility. Fire fire either.,Effort a,75.79855441339846,22.06797467211122,12.86672334745992,30.281781139314013
930987323,-1716456277,-1966489843,1415450424,Same smile statement special baby suffer. Street both health line tree seem day. Dream example nor.,Also mov,81.52258490843332,11.430650923532474,56.697062332774024,57.43758840429353
-1978456499,-1959003319,881865372,-581617627,"Race compare year start. Worry set else she.
Minute trouble magazine ever. Under look scientist find",Old watc,25.34302110574988,65.38091632295513,47.76571566529945,13.311839157273205
-1935801482,-569722700,-1625513483,-813922470,Step evening hard standard interest subject threat scientist. Well force reality. International reve,Thing ey,77.53126583267999,40.05263488932573,62.9853140013431,60.01315999312134
1776381597,1535546700,-993993852,-843922459,Mr education end purpose say side always. Cause movement campaign like. Wrong without phone huge. Re,Recent a,13.328778259812445,31.977986725063452,78.86036416502496,24.175572267744418
1328999998,-999961878,461665231,-1736059615,"Painting short wear beat serve news song. Half majority head south.
Become ok indeed. Training power",Particul,42.34853932038052,81.48339709711476,55.750066919459876,37.809254200398044
-1275873880,608195695,1637940466,1097487321,"If strategy its woman kitchen pay. Interview page represent agreement Republican all choose.
Him lit",Occur ho,26.05097429732291,32.25937814952879,6.2113465695532915,41.11349820045186
1975160001,1171363764,2108336204,-1038766109,Break bit compare water decide party range beautiful. Across follow family note range wish building.,Director,43.08905497112358,81.10808541206053,62.31330286122853,55.02773841222228
2113993560,-116815300,256347629,-1433546439,Important hour information wide either light month. Successful meet option set four. Law suffer just,Special ,39.2769108202768,5.6610355645396755,41.98614721250558,21.650846868722965
-315795867,1029277809,-599347703,1368035221,"Until artist decision. Defense sure cover off.
Hair world board ball machine. Those thousand decisio",Contain ,62.83203152497512,26.459914817012244,76.38917600423233,31.070243707605268
-1922321340,-1004758968,-2137659725,898968151,"Pull consumer rich hit others.
Big house gun painting provide mission. Thing total space fact job no",Will fir,51.758409287999754,94.30892437581842,21.268044971001615,17.072881180665096
-1039259583,-281378667,-1492653720,411612587,"Sit former issue former.
Break instead win central visit understand. Poor close authority dream rese",Wall sta,79.67763398812448,79.1659012718797,92.74046264040099,52.18310811359025
1723049939,-2139148995,819126343,992136321,Democratic media under probably relationship table weight. Our find building when church wonder morn,Stage ba,61.7982805597897,67.27854834547144,19.688401783535184,32.116840207533734
-954415889,179035426,-66243266,367854733,"Knowledge attorney trial onto. Plan bed everything strong.
Major million federal oil. Argue lead the",Stock wa,49.649608516429105,27.53102547791101,54.12254534001991,79.01481480901748
-1707776623,-865598784,1407415853,959211285,"Father upon ago laugh individual case.
Ability to support evidence age citizen. Produce long near at",Movie hu,57.81188282533156,53.40033112745487,38.47673386618821,60.71122495760847
-220553694,-341164300,1472540901,-148362501,Road wide itself nice answer. Soon bad national history stay. Skill wide claim.,Whatever,53.65337821841843,94.41791472820418,96.18430005592008,12.10830377686941
117168013,194414998,-890606596,-407940249,"Act laugh apply. Strategy current social land rise table speak market.
Compare star task himself pro",Later ge,1.733019137120664,41.03757078617578,92.09725157210272,46.45502153293745
-588197736,-1589909156,-1354866251,354759797,"Bank almost page father anything work or. Myself main effect grow.
Allow month human. Be response ph",Wide art,78.5268653331875,80.20024567396703,28.372687721616366,24.11455803071825
-1203382251,-209698825,797879907,2029766426,Quickly marriage mouth not public field anything. Identify decision suddenly society particularly. H,Rate own,15.95891555643952,87.4583790182411,70.21534895779428,100.79181142081602
2043370650,1017270297,-2139731821,-411964603,Interesting present thought crime actually trip. Human life outside late tough special. Remember be ,Edge cou,18.50188138872923,48.55814277455593,0.01169903280128981,9.366756818019162
-846338037,-1472267996,-1685384760,303486712,"Line story teach discussion have medical really do.
Cold fall whole role quite. Avoid itself Democra",Take sty,45.899499906977596,67.42025519179631,58.866789164725674,90.06604713840777
1545248397,1963293907,-1886143068,1768233488,Medical nation pick question audience something glass. Spring policy another investment imagine our ,Health f,67.55994005152624,47.104098724143945,23.525493417247958,79.290782684499
487111912,1045863741,680106089,520508281,"Student product clear share. Nearly threat sea. Claim service perform style relate tree can.
Yes sev",State be,4.308172684817372,36.15310156386292,87.51528451655419,65.17209379521711
-361563553,-1343613825,1379058497,1161543857,"Hold fall require join finally protect church risk.
Someone seven from mission everybody. Floor that",Respond ,59.329047401146916,72.25715948770886,35.046253492202965,19.587363015384756
-143571628,-668154790,1628316917,-214773799,Necessary money different. Catch front computer action to run only summer. Whatever join seven but e,Have int,103.6487806207931,37.157595064952964,10.300049196224176,106.6344712989704
-1680768921,1316074550,1664253703,492663780,"Well court usually. Station wide question decide really. Them rock light open once push night.
Again",Somethin,77.88783383517021,57.933000707390306,20.84604154815847,67.03335022252432
1052140749,597351639,172666790,-1622135191,House as deal former. Before country leave newspaper why role modern federal. All evidence network c,Candidat,83.53976473121436,82.67073187985974,103.69800750388787,95.45602970157164
-1818984561,-276795086,-251417909,-1451345712,"Draw edge military reveal beyond life recent. Successful film generation color. Itself full leave.
W",Ability ,16.654529592087332,79.35946841118981,29.520207467953963,92.16227634128938
-1583355079,-1658344039,1459675950,-270134642,"Thought party list past why. Deep service leader science box certain. Most once worker ago.
Everythi",Heavy ce,44.646653119208864,11.781896736848024,83.70610913549609,45.06074765372933
-246118629,1122212313,-2010173051,-178866374,"Against then loss create. General compare free usually treatment.
Training others very old moment na",Whom sci,24.75251130293976,79.12854915253602,49.09801410027899,90.95820350201645
1595477751,89746065,-1505837725,254494668,"Base moment interest raise. Parent bit stuff capital issue. My tax never baby between radio.
Describ",Natural ,7.4569881451647255,25.72033276469593,6.81420874377142,1.2747701698673168
-1767308371,-576822621,1187799269,1476932485,Especially alone piece near despite action model. Nation beyond product need whole letter hospital. ,Hair eig,6.369494723048555,91.36270580501893,42.08874133645339,43.55441975258236
2092139821,-1075503455,1087024153,-1383053497,"Team read determine back.
Race whose bank debate say leader decision. Increase public consumer. Atto",Least fi,48.851974238956856,80.91948207130997,65.58149350243487,74.2134581184633
-433954335,1523957145,8818125,42118599,"Exactly short ready in official. Discuss long thing interview TV citizen.
Language nor affect. Reall",Situatio,48.0639461886935,32.931228274964134,86.58144932351352,112.20659950879592
-1964619348,-1506567416,-1665109558,158536811,Provide eat strategy. Whole meeting nation cost including great sort.,Around e,8.13328121751461,95.1003266676433,107.62776234805618,88.87800432977757
1579413510,-717549169,-1186994973,887522287,"Scientist development will special write right easy.
From student down business because adult. Win o",Within s,52.3298308878229,0.43057616206358507,60.35602773980873,53.00682167122855
167038295,2059538163,550894915,-1526739887,Performance role world the today tell. Relationship lay reduce outside south. Degree million least f,Garden d,55.08123164018282,34.84157187480819,59.70498578148414,61.31765300933468
-333897177,840883403,296313961,-2146215216,"Practice sense civil reason first record rest. Scene call see everybody light.
Medical across care r",Still al,103.26568148860083,62.16326998509133,36.525077779533966,37.51944239876428
-1821882619,1637580727,1969445754,-1898113792,Take question every program point will. Mouth relate important some every. Parent company old phone ,Position,49.85022407730467,44.19827774367212,72.59452857439621,108.0185436645381
-2123596308,1471384857,-1485346664,-1939276719,"Fund pass health behavior. Get home board they provide grow here. Against scene believe air sister.
",Analysis,6.584428637965524,30.26473811451459,41.88053564340987,7.065022319132575
352214513,-508247324,-324821420,-836862618,Employee growth summer according under. Mouth address wrong on become open. Everyone best perform hi,Common p,74.69112018597885,45.08790439436025,67.06901187177507,16.480271935837802
284841004,-1053473258,-821939337,1936093836,"Once money discover. Garden build system price onto anything which.
Network anyone become recently l",Week hou,86.37447409481136,39.963409460005984,2.536436980884832,106.71147880451825
-621950315,-133792884,500516182,2095596421,"Eat himself answer notice avoid yes shake. Sing certain system environmental process.
Piece rise mot",Authorit,10.825341674486463,56.998681499118774,13.829209205928239,79.07686961218256
-1547542488,1272130224,-1306780013,-1926972436,Make memory together relate who letter. No training low life smile after conference. Once final bad ,Save ope,113.36693842030436,2.8323771684840153,59.05157945154134,38.556690668051914
1193581897,1233013057,-1144572888,-523394528,"Ready simply at become. Charge leader affect hold sit hour south.
Professor product discuss college ",Writer b,48.83984712380683,3.6775143825968635,111.07204860642194,1.9405890834587147
-853061061,839238203,108881400,1951588614,Rock letter improve book bed game. Size simply continue actually. Cultural natural name star chair d,There an,15.632942215238861,11.762911827753998,57.729382031356074,12.031761122000137
1103538534,114658333,575920483,1586295397,Close effort him specific discover. Term class act cultural. Trip film role build notice perform so.,Will as ,22.78074790508433,82.54150728620668,40.72230509497531,85.15647968604398
-125370323,23187658,-183588839,1809136596,"Since western while institution stuff. Piece method above staff major.
Test whatever character movie",Apply st,48.40227855458281,101.26773194334326,12.819775383331892,56.58824923324361
-691094524,496090901,255215905,-988958071,Matter sea view challenge. Allow when soon voice baby these treat. Mother wrong result work book res,Enter qu,53.9629675547825,83.68592709991768,2.594079693147993,27.08177592285179
-1606831577,-912089322,971930313,-1176771210,"Meeting important water base senior series. Section produce student through bed hear standard.
Real ",Region b,72.46523155007064,129.76191389439157,95.28035568483901,17.876958043063112
