dh_sys,ref_date,bp_id,cont_id,asset_id,pos_id,is_leverage_breach,is_concentration_breach,concentration_breach_type_id,concentration_breach_type_name,is_equities_concentration_breach,is_bonds_concentration_breach,is_debit_account,is_threedays_debit_account,is_unreco_asset,is_outside_invest_universe,is_cash_exposition_breach,is_near_maturities,is_bonds_quality_sp_rating_breach,is_bonds_quality_mdy_rating_breach,is_bonds_quality_fit_rating_breach,is_prifund,is_home_product,is_price_variation_1d_breach,is_price_variation_7d_breach,price_variation_minus_1d,price_variation_minus_7d,dh_uti_cre,lb_uti_cre,lb_wkf_cre,lb_ses_cre,dh_uti_upd,lb_uti_upd,lb_wkf_upd,lb_ses_upd
2014-03-24 15:29:16.000000,1997-09-09,53,53,53,53,53,53,53,A,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53.000000000000,53.000000000000,2008-02-22 05:13:20.000000,H,A,M,1989-01-16 01:47:11.000000,K,I,M
1994-05-25 13:16:28.000000,1972-08-18,54,54,54,54,54,54,54,R,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54.000000000000,54.000000000000,1991-11-14 19:34:44.000000,I,U,P,2010-07-12 00:31:27.000000,B,Z,T
2013-06-23 19:28:21.000000,2016-10-30,55,55,55,55,55,55,55,Z,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55.000000000000,55.000000000000,1990-05-17 17:22:43.000000,S,Z,K,1972-06-28 08:11:21.000000,H,P,U
1980-05-10 03:05:20.000000,2017-05-23,56,56,56,56,56,56,56,T,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56.000000000000,56.000000000000,2017-09-05 01:03:39.000000,H,L,C,1990-05-28 23:00:42.000000,H,C,S
2017-04-26 10:58:28.000000,2005-07-19,57,57,57,57,57,57,57,E,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57.000000000000,57.000000000000,2002-03-08 20:44:40.000000,M,W,L,2019-02-04 08:13:14.000000,N,Z,E
1996-02-05 07:36:40.000000,1972-02-20,58,58,58,58,58,58,58,P,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58.000000000000,58.000000000000,2006-10-01 07:16:29.000000,L,S,Q,1983-01-25 09:05:09.000000,M,B,E
2005-01-12 22:34:59.000000,1984-10-10,59,59,59,59,59,59,59,C,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59.000000000000,59.000000000000,2002-02-06 05:35:42.000000,K,L,T,2002-08-15 01:26:06.000000,M,L,T
1970-11-29 14:21:36.000000,1976-12-12,60,60,60,60,60,60,60,H,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60.000000000000,60.000000000000,2022-12-12 01:59:25.000000,C,U,B,1980-03-06 07:29:24.000000,S,B,P
1983-12-02 23:58:10.000000,1995-10-17,61,61,61,61,61,61,61,N,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61.000000000000,61.000000000000,2005-12-19 12:07:04.000000,M,A,P,2011-09-21 15:22:46.000000,E,K,B
1985-01-24 00:04:05.000000,2018-01-29,62,62,62,62,62,62,62,J,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62.000000000000,62.000000000000,1994-09-01 12:48:53.000000,B,D,T,2019-11-24 02:56:22.000000,D,N,N
1973-05-03 19:11:07.000000,1983-09-22,63,63,63,63,63,63,63,G,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63.000000000000,63.000000000000,1970-06-04 12:32:18.000000,N,T,K,2006-05-23 03:29:59.000000,B,C,G
2022-02-24 09:48:28.000000,2020-11-17,64,64,64,64,64,64,64,D,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64.000000000000,64.000000000000,1980-05-30 13:12:02.000000,U,H,K,2008-03-28 16:03:22.000000,G,K,C
2023-02-27 13:55:24.000000,1994-07-03,65,65,65,65,65,65,65,N,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65.000000000000,65.000000000000,2005-03-23 06:53:32.000000,K,N,S,2017-09-23 09:57:16.000000,A,T,M
2010-04-21 20:57:13.000000,2016-08-26,66,66,66,66,66,66,66,J,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66.000000000000,66.000000000000,1975-08-03 17:03:43.000000,M,L,M,1992-07-20 21:48:34.000000,U,B,L
2011-03-01 06:06:05.000000,1980-03-20,67,67,67,67,67,67,67,M,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67.000000000000,67.000000000000,2014-10-23 05:38:20.000000,G,P,G,1981-10-19 04:51:35.000000,M,S,S
2002-03-12 22:44:12.000000,2015-07-12,68,68,68,68,68,68,68,B,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68.000000000000,68.000000000000,2020-02-22 01:25:21.000000,E,T,G,2009-09-10 17:48:30.000000,K,T,R
1978-06-06 07:13:38.000000,1981-10-19,69,69,69,69,69,69,69,M,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69.000000000000,69.000000000000,1991-07-07 19:38:46.000000,M,M,S,2005-06-08 21:42:33.000000,C,V,K
1987-02-01 04:24:43.000000,2011-03-01,70,70,70,70,70,70,70,E,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70.000000000000,70.000000000000,1973-02-18 08:28:34.000000,B,C,S,2015-05-14 11:50:15.000000,D,S,A
1974-01-23 20:17:15.000000,1979-12-04,71,71,71,71,71,71,71,U,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71.000000000000,71.000000000000,2006-02-07 02:40:58.000000,K,B,I,1986-10-27 23:15:02.000000,A,S,I
2010-12-06 00:52:30.000000,1985-06-20,72,72,72,72,72,72,72,N,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72.000000000000,72.000000000000,2008-06-29 09:31:11.000000,M,I,A,2011-10-26 21:44:52.000000,N,D,C
2022-04-30 12:11:47.000000,1999-07-31,73,73,73,73,73,73,73,S,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73.000000000000,73.000000000000,1989-01-19 05:58:24.000000,L,G,L,2012-12-27 02:12:10.000000,D,C,L
1982-07-13 23:36:20.000000,1982-02-14,74,74,74,74,74,74,74,G,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74.000000000000,74.000000000000,1982-10-15 09:20:44.000000,C,F,S,1986-11-13 06:06:04.000000,Z,E,M
1971-09-10 09:33:21.000000,2019-09-25,75,75,75,75,75,75,75,I,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75.000000000000,75.000000000000,1981-08-28 17:34:51.000000,M,E,A,2012-10-19 19:04:15.000000,C,T,M
1997-07-25 16:24:50.000000,1986-02-19,76,76,76,76,76,76,76,S,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76.000000000000,76.000000000000,2014-12-29 14:09:18.000000,G,C,B,1971-04-23 14:44:05.000000,D,Z,G
1990-02-20 21:36:40.000000,1987-09-06,77,77,77,77,77,77,77,K,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77.000000000000,77.000000000000,1981-04-09 10:48:21.000000,B,V,K,1995-08-10 01:55:05.000000,Q,S,B
1978-09-26 05:35:47.000000,2002-07-18,78,78,78,78,78,78,78,A,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78.000000000000,78.000000000000,2002-11-30 15:36:50.000000,I,M,S,2012-06-27 06:08:02.000000,N,I,B
2018-04-21 14:19:32.000000,1971-07-23,79,79,79,79,79,79,79,H,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79.000000000000,79.000000000000,2003-02-25 18:00:34.000000,A,P,B,2018-02-01 11:29:37.000000,B,V,T
1976-07-02 11:01:12.000000,1995-07-30,80,80,80,80,80,80,80,D,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80.000000000000,80.000000000000,2020-10-28 17:50:29.000000,T,P,N,2000-07-10 06:30:28.000000,G,T,M
2020-03-17 04:38:47.000000,2022-01-02,81,81,81,81,81,81,81,R,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81.000000000000,81.000000000000,1997-11-19 20:26:54.000000,A,L,I,1982-08-11 16:06:36.000000,H,M,M
2005-02-12 06:09:39.000000,1993-10-05,82,82,82,82,82,82,82,T,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82.000000000000,82.000000000000,1976-10-07 16:36:09.000000,M,M,B,1986-07-26 18:14:19.000000,P,T,S
1973-01-30 03:13:04.000000,2000-12-27,83,83,83,83,83,83,83,N,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83.000000000000,83.000000000000,1972-07-21 21:09:23.000000,B,V,M,2002-09-12 10:27:19.000000,K,T,L
2016-08-05 20:34:10.000000,1976-09-02,84,84,84,84,84,84,84,S,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84.000000000000,84.000000000000,1986-06-11 23:40:05.000000,M,P,H,1983-04-08 17:23:57.000000,C,N,T
1979-03-30 07:18:50.000000,1974-03-31,85,85,85,85,85,85,85,N,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85.000000000000,85.000000000000,1988-11-02 03:28:05.000000,L,Y,S,2004-05-25 09:15:14.000000,P,Q,C
1972-11-28 14:10:34.000000,1982-07-19,86,86,86,86,86,86,86,M,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86.000000000000,86.000000000000,2008-02-19 13:54:35.000000,L,G,C,1994-09-22 03:59:16.000000,D,A,N
1975-05-15 02:51:13.000000,1980-06-02,87,87,87,87,87,87,87,P,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87.000000000000,87.000000000000,1993-10-17 01:56:26.000000,L,V,U,2004-09-24 16:19:41.000000,V,C,F
2018-09-16 16:43:51.000000,1990-02-04,88,88,88,88,88,88,88,M,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88.000000000000,88.000000000000,2002-01-28 02:24:16.000000,M,E,S,1994-05-11 20:45:45.000000,D,C,M
2000-01-05 01:31:07.000000,1990-07-06,89,89,89,89,89,89,89,S,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89.000000000000,89.000000000000,1978-05-09 14:24:54.000000,C,H,I,2000-07-21 13:31:51.000000,B,S,G
1980-06-25 16:33:54.000000,2004-04-03,90,90,90,90,90,90,90,K,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90.000000000000,90.000000000000,1995-03-04 19:17:18.000000,C,A,M,2009-01-31 14:54:00.000000,K,G,Z
2003-02-21 18:49:27.000000,2011-01-29,91,91,91,91,91,91,91,C,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91.000000000000,91.000000000000,2003-03-04 20:02:38.000000,V,K,S,2022-12-24 13:29:32.000000,C,Z,A
1976-04-28 10:04:48.000000,2006-03-25,92,92,92,92,92,92,92,F,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92.000000000000,92.000000000000,2009-10-29 20:48:15.000000,S,I,B,1992-07-26 00:21:31.000000,C,B,A
2013-10-02 07:55:32.000000,2018-11-15,93,93,93,93,93,93,93,P,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93.000000000000,93.000000000000,1995-11-25 09:56:58.000000,K,C,S,2013-01-19 14:43:29.000000,T,E,D
1979-12-26 17:37:35.000000,1995-08-07,94,94,94,94,94,94,94,L,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94.000000000000,94.000000000000,2010-10-11 15:00:27.000000,B,Z,C,1987-07-19 21:00:20.000000,T,C,G
2019-07-24 07:48:46.000000,2002-02-05,95,95,95,95,95,95,95,H,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95.000000000000,95.000000000000,1980-07-08 19:21:12.000000,G,C,B,2011-03-11 16:43:34.000000,C,D,C
2007-03-11 04:52:39.000000,2014-11-06,96,96,96,96,96,96,96,W,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96.000000000000,96.000000000000,2000-10-03 23:50:25.000000,A,A,G,1992-08-29 08:53:59.000000,C,M,C
1981-10-13 11:34:25.000000,1990-02-01,97,97,97,97,97,97,97,L,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97.000000000000,97.000000000000,1973-06-14 03:19:42.000000,P,C,R,1978-03-21 22:49:09.000000,L,S,S
1994-03-18 06:48:28.000000,1994-05-31,98,98,98,98,98,98,98,D,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98.000000000000,98.000000000000,1976-01-21 21:36:22.000000,T,V,C,2009-07-05 11:52:42.000000,K,I,B
2021-09-26 16:52:41.000000,2007-07-16,99,99,99,99,99,99,99,E,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99.000000000000,99.000000000000,2015-08-18 09:33:42.000000,N,B,M,1983-11-26 00:28:13.000000,A,U,J
2018-04-08 02:02:57.000000,2019-10-25,-994602026,-456453270,-1592269802,1853447771,-99,-65,2065532040,Trip subject else im,-119,44,-92,23,-41,14,78,-62,94,105,94,37,99,-99,-106,0.000000000000,0.000000000000,1974-05-28 17:27:51.000000,Hour ok product notice. Dream recently this once s,Eye huge report thought stand four. Size nation op,Rich painting executive audience. Rate watch win h,1998-04-28 09:48:48.000000,Strong knowledge admit lead of. When teach green p,Century career maybe hear believe sing. Use trade ,Everybody only whether site recognize. Least story
1979-10-24 09:35:33.000000,1980-10-12,-986635972,-1380903028,278126304,-1026891142,-22,48,-982022002,Will see determine w,-56,45,118,41,-14,46,-82,58,-13,-58,-72,24,43,14,-40,0.299621129926,0.557335155250,1970-06-02 17:21:02.000000,Thousand new rather card give pick. Former father ,Young four investment large road check dinner name,"Car quickly quality she other. Guy one garden no.
",2012-07-02 14:29:09.000000,Rock book mean. Everybody when partner lot attack.,Green yet allow. Write around heart inside tax sci,Central mother including realize. Market nice give
