dh_sys,id_ds_vrs,cd_evn,dh_evn,bu_id,bu_name,obj_id,hist_status_id,hist_status_name,hist_status_intl_cd,hist_status_user_cd,date_valid,date_valid_to,lang_id,lang_name,lang_intl_cd,lang_user_cd,name_long,name,name_abbr,time_id,dh_uti_cre,lb_uti_cre,lb_wkf_cre,lb_ses_cre,dh_uti_upd,lb_uti_upd,lb_wkf_upd,lb_ses_upd
1995-06-30 15:29:18.000000,10,10,1992-09-09 06:30:13.000000,10,T,10,10,K,D,F,2018-11-13 19:45:44.000000,1983-07-06 12:12:17.000000,10,A,S,M,A,G,Q,T,2019-07-07 06:00:25.000000,E,S,U,2022-01-03 02:16:04.000000,F,M,V
1976-07-06 18:29:52.000000,11,11,1991-12-06 10:11:03.000000,11,K,11,11,S,M,C,2022-01-13 14:34:48.000000,1976-03-27 16:10:08.000000,11,Z,C,B,E,H,T,K,2013-03-08 11:08:40.000000,K,V,C,2008-09-10 13:39:48.000000,M,B,B
2006-08-13 15:44:33.000000,12,12,1974-05-21 09:55:11.000000,12,Q,12,12,I,M,V,1992-07-03 07:56:49.000000,2017-02-05 22:00:46.000000,12,A,S,P,M,M,B,T,2017-02-08 04:29:55.000000,S,L,D,1992-09-19 09:49:30.000000,S,C,D
2017-06-13 06:57:37.000000,13,13,1985-11-02 09:24:05.000000,13,B,13,13,S,L,T,1971-06-06 23:06:31.000000,2005-02-19 07:47:00.000000,13,Y,K,V,A,L,M,I,1994-01-01 11:25:48.000000,M,B,M,2014-04-30 10:20:09.000000,Z,U,H
2005-11-01 02:42:41.000000,14,14,2022-03-16 04:26:25.000000,14,C,14,14,M,H,U,1998-05-29 06:34:11.000000,2004-08-01 07:45:04.000000,14,Z,P,H,C,U,K,S,1998-10-07 02:11:06.000000,F,C,F,1979-02-19 16:26:40.000000,P,L,M
2005-05-25 00:49:27.000000,15,15,1996-01-05 14:05:25.000000,15,P,15,15,P,M,R,1985-10-28 02:02:40.000000,1983-12-30 20:26:52.000000,15,S,M,G,G,T,M,T,1994-04-14 18:38:19.000000,N,N,E,1976-12-26 23:59:33.000000,U,A,G
1983-10-24 11:27:51.000000,16,16,1998-10-11 02:02:26.000000,16,Q,16,16,D,R,M,1988-06-23 15:23:31.000000,1994-01-05 19:20:49.000000,16,L,A,Z,I,T,M,C,1989-11-03 06:52:28.000000,R,Q,N,1985-06-25 07:48:36.000000,A,R,N
1993-08-12 18:51:39.000000,17,17,1980-09-06 08:05:46.000000,17,K,17,17,L,S,L,2017-10-05 10:58:00.000000,2020-06-27 21:49:37.000000,17,N,U,S,U,I,D,S,1986-10-10 09:02:49.000000,Q,U,N,2003-08-30 16:19:11.000000,J,A,F
1984-06-24 17:47:30.000000,18,18,1983-11-16 02:04:09.000000,18,T,18,18,B,H,M,1997-07-20 05:38:58.000000,1986-01-20 07:05:12.000000,18,C,C,D,K,F,P,K,2019-05-03 15:09:44.000000,M,U,I,2018-02-15 18:26:34.000000,B,V,F
1973-03-24 08:43:31.000000,19,19,2004-06-16 11:46:48.000000,19,N,19,19,C,K,B,2022-11-11 12:44:00.000000,1981-04-29 18:58:26.000000,19,P,A,G,U,N,E,M,1984-06-27 03:32:50.000000,A,P,M,2013-12-02 02:43:27.000000,B,N,G
2009-01-10 16:33:29.000000,20,20,1993-07-04 19:07:51.000000,20,L,20,20,B,S,L,2005-10-09 23:09:14.000000,1995-03-10 08:09:04.000000,20,E,C,O,K,M,P,W,1977-02-07 13:25:04.000000,P,A,H,1992-01-09 14:09:26.000000,S,K,S
1987-08-14 20:37:14.000000,21,21,2008-05-12 16:08:27.000000,21,C,21,21,B,C,P,1983-11-10 04:22:55.000000,1980-12-06 14:56:11.000000,21,V,T,N,S,F,S,T,2003-02-20 17:14:47.000000,C,A,I,2010-07-07 20:21:38.000000,B,S,B
2005-10-19 17:53:00.000000,22,22,2006-04-30 16:09:29.000000,22,T,22,22,T,R,E,2006-03-30 22:30:02.000000,2012-03-10 16:29:16.000000,22,H,S,J,A,B,B,T,1972-06-21 08:50:14.000000,P,M,I,1992-03-21 09:15:44.000000,B,B,B
1990-02-05 23:51:25.000000,23,23,2021-03-21 14:19:29.000000,23,K,23,23,A,F,P,2011-11-12 04:48:44.000000,2015-08-05 06:19:12.000000,23,F,M,B,H,B,U,T,1974-12-28 19:34:56.000000,Q,B,N,2011-01-22 01:23:48.000000,U,G,I
2011-12-16 08:07:50.000000,24,24,1972-03-10 06:59:33.000000,24,J,24,24,P,D,P,1987-05-25 20:44:00.000000,1986-05-06 20:34:15.000000,24,C,P,I,D,B,S,W,2009-04-30 00:58:33.000000,U,V,V,1999-10-11 01:30:12.000000,N,C,L
1984-05-31 21:11:42.000000,25,25,1980-08-06 13:38:24.000000,25,A,25,25,B,S,T,1998-01-13 00:41:15.000000,2020-07-08 19:55:01.000000,25,L,M,Q,N,B,Q,U,1986-02-21 11:46:09.000000,T,G,S,1999-09-08 02:55:18.000000,C,B,B
1985-08-23 19:56:46.000000,26,26,2006-09-05 17:15:49.000000,26,B,26,26,S,F,C,1999-11-19 14:49:40.000000,1985-07-31 09:12:07.000000,26,I,T,I,K,U,G,E,1998-02-27 19:37:33.000000,T,A,G,1978-01-03 19:52:43.000000,C,G,K
1980-06-19 02:58:26.000000,27,27,2011-12-17 00:23:59.000000,27,A,27,27,B,M,T,1974-04-07 17:11:47.000000,1982-09-12 11:05:32.000000,27,M,T,P,S,G,M,Q,1974-06-12 14:07:58.000000,M,I,T,2018-05-17 15:29:02.000000,M,M,T
2017-07-09 18:29:00.000000,28,28,1978-01-18 23:11:54.000000,28,B,28,28,N,S,S,2011-11-13 22:11:17.000000,1989-07-24 01:31:01.000000,28,Z,C,K,B,O,D,U,2011-04-16 01:09:39.000000,S,R,O,1993-04-18 18:08:50.000000,H,S,I
1986-04-06 19:54:09.000000,29,29,1976-03-09 23:26:12.000000,29,S,29,29,A,V,N,1972-12-19 15:06:58.000000,1970-05-20 14:20:04.000000,29,W,P,I,H,S,S,B,2009-11-25 05:03:12.000000,S,S,W,2018-03-19 13:28:05.000000,V,M,G
2008-02-27 07:23:56.000000,30,30,1971-11-26 03:33:28.000000,30,K,30,30,C,N,K,1971-07-06 11:43:23.000000,2018-01-29 16:27:47.000000,30,S,B,I,I,L,A,U,2004-09-16 21:43:22.000000,A,D,C,1999-08-14 02:52:24.000000,E,I,R
1984-08-23 23:27:39.000000,31,31,2008-08-19 17:42:32.000000,31,A,31,31,K,C,T,2016-04-23 14:40:51.000000,2002-09-24 04:33:36.000000,31,A,P,C,L,A,T,V,1986-11-16 20:35:16.000000,E,K,T,1984-10-06 12:50:28.000000,E,C,S
1975-02-11 11:22:48.000000,32,32,1986-03-04 00:11:41.000000,32,I,32,32,B,P,E,1989-06-04 13:49:02.000000,1993-12-09 06:14:57.000000,32,P,T,L,N,N,A,T,1998-01-07 01:50:46.000000,L,K,V,2002-07-31 15:08:53.000000,K,B,T
2011-02-20 20:04:23.000000,33,33,2003-12-31 05:00:52.000000,33,S,33,33,V,M,E,2017-04-13 21:42:45.000000,2022-12-21 13:53:40.000000,33,A,M,A,D,C,H,C,1985-11-14 18:28:14.000000,C,I,G,1994-09-15 18:16:39.000000,J,O,P
1975-05-18 16:51:45.000000,34,34,2014-07-17 17:38:44.000000,34,I,34,34,D,S,D,1986-12-26 07:20:44.000000,1982-06-03 21:11:47.000000,34,U,C,Y,N,U,Z,I,2004-01-08 12:45:23.000000,P,V,Y,1982-07-31 22:04:04.000000,I,S,M
1996-01-13 14:57:10.000000,35,35,1981-08-06 08:26:56.000000,35,P,35,35,P,K,F,1990-06-16 16:44:08.000000,2014-03-11 14:00:33.000000,35,Q,M,L,A,Z,P,J,2014-09-05 02:44:23.000000,M,S,M,2016-11-19 14:05:19.000000,B,C,L
1989-12-04 04:18:09.000000,36,36,1999-02-11 02:32:35.000000,36,C,36,36,A,L,B,1987-07-26 10:58:49.000000,2012-06-14 01:28:35.000000,36,P,D,L,D,R,P,M,2002-12-16 05:23:18.000000,T,R,A,1976-03-31 04:30:20.000000,V,M,D
1977-03-25 17:42:22.000000,37,37,2023-03-17 14:39:24.000000,37,T,37,37,F,N,M,1972-11-26 00:42:43.000000,1999-11-28 14:35:16.000000,37,B,K,L,Z,B,F,M,2021-07-08 14:52:58.000000,L,S,T,2004-05-18 15:31:19.000000,G,L,S
2016-04-12 22:40:59.000000,38,38,1996-11-02 02:34:09.000000,38,F,38,38,B,F,B,2010-05-27 04:37:27.000000,1989-05-19 20:40:46.000000,38,C,I,N,T,A,N,P,2010-04-03 20:19:36.000000,V,P,B,2003-08-24 20:23:54.000000,E,G,K
1989-12-15 04:26:49.000000,39,39,2007-09-17 04:41:38.000000,39,L,39,39,G,S,M,1998-10-24 02:29:40.000000,1991-11-03 13:45:08.000000,39,G,L,M,I,S,C,C,2019-06-14 11:26:06.000000,C,L,T,2011-02-19 08:36:38.000000,N,J,N
1977-08-09 07:12:31.000000,40,40,2018-04-25 02:11:58.000000,40,C,40,40,P,J,C,1972-05-05 21:57:59.000000,2018-03-06 09:51:55.000000,40,V,J,L,S,M,B,B,2004-05-19 05:54:30.000000,G,B,K,1984-12-19 14:19:31.000000,S,P,L
2018-07-02 07:49:27.000000,41,41,2004-03-22 22:56:49.000000,41,R,41,41,N,G,A,2013-02-25 20:37:24.000000,1984-01-20 17:09:33.000000,41,C,B,S,M,L,C,T,1982-09-02 02:21:11.000000,C,M,A,1978-02-13 11:14:50.000000,P,I,H
1981-12-17 07:56:58.000000,42,42,1983-12-01 11:41:15.000000,42,S,42,42,S,F,A,1976-02-20 07:18:03.000000,2022-12-19 20:10:46.000000,42,U,T,T,T,J,I,V,1970-12-28 06:51:16.000000,G,U,C,1999-03-06 16:31:59.000000,L,N,B
1982-03-11 07:54:56.000000,43,43,2005-01-11 17:40:52.000000,43,M,43,43,E,M,T,1981-03-18 19:39:35.000000,2019-12-12 22:05:53.000000,43,O,S,P,S,V,P,A,1997-07-09 12:28:25.000000,P,S,C,1987-07-11 02:30:37.000000,M,S,I
2009-03-08 04:35:38.000000,44,44,1984-03-23 20:55:12.000000,44,M,44,44,S,B,L,1980-06-13 20:39:27.000000,1994-01-16 03:35:21.000000,44,F,S,M,I,M,I,T,1980-11-05 17:14:51.000000,C,B,B,1974-06-11 17:11:02.000000,L,C,G
1989-11-24 20:38:58.000000,45,45,1971-05-18 20:49:33.000000,45,Q,45,45,I,S,P,2004-12-03 12:02:45.000000,1976-04-27 02:53:55.000000,45,R,B,P,P,E,C,C,2008-07-23 04:57:49.000000,B,Z,E,1999-08-22 12:15:03.000000,I,C,E
2004-01-09 16:46:11.000000,46,46,2017-09-02 17:01:45.000000,46,S,46,46,N,L,M,1974-01-09 08:07:40.000000,2020-02-04 06:21:23.000000,46,S,C,C,S,U,S,L,1986-12-14 20:50:54.000000,P,E,T,2020-11-21 01:50:46.000000,T,Z,P
1982-10-16 15:36:12.000000,47,47,1973-06-01 00:25:20.000000,47,L,47,47,S,C,I,2011-02-23 14:54:57.000000,2005-05-01 02:38:39.000000,47,L,T,B,D,B,U,I,1975-06-02 17:23:54.000000,O,Z,A,2005-05-29 16:18:30.000000,N,B,C
1971-07-31 21:13:56.000000,48,48,2015-12-29 06:11:20.000000,48,D,48,48,S,S,M,2010-08-19 09:33:50.000000,1994-07-03 03:15:43.000000,48,B,U,N,E,C,E,B,1991-06-09 05:42:01.000000,I,R,T,1988-12-06 13:59:03.000000,S,M,T
1987-06-23 19:42:22.000000,49,49,2016-07-05 23:34:53.000000,49,M,49,49,M,S,E,2019-04-23 18:41:16.000000,2010-03-31 06:36:38.000000,49,A,G,F,P,P,K,T,2009-11-29 14:45:04.000000,E,E,S,1975-12-08 17:04:31.000000,A,B,S
1997-10-23 06:16:53.000000,50,50,1982-08-21 01:25:05.000000,50,H,50,50,S,P,E,1998-06-11 13:34:02.000000,1989-07-09 06:37:07.000000,50,M,G,M,S,F,M,L,1975-04-22 05:01:02.000000,L,R,S,1995-11-05 11:19:33.000000,P,S,N
1990-12-22 19:55:43.000000,51,51,2015-04-19 23:49:30.000000,51,T,51,51,S,B,I,1973-07-27 15:37:19.000000,1978-05-26 01:18:17.000000,51,K,G,T,C,L,G,S,1995-08-09 14:22:53.000000,G,E,L,2007-12-27 20:44:46.000000,R,M,I
1984-12-24 16:52:32.000000,52,52,2005-05-27 21:44:14.000000,52,T,52,52,O,S,A,1984-01-21 21:34:29.000000,1994-12-03 09:11:09.000000,52,I,I,I,O,N,B,T,1992-11-07 15:42:10.000000,A,S,W,1980-02-25 08:57:08.000000,M,B,V
2019-08-27 22:21:20.000000,53,53,1983-12-09 05:35:26.000000,53,N,53,53,T,M,L,2019-01-25 22:56:55.000000,1971-04-10 02:13:58.000000,53,A,L,M,M,T,D,P,1972-08-16 14:23:56.000000,B,M,B,1987-06-06 19:51:44.000000,C,O,Y
2016-11-14 14:30:33.000000,54,54,2005-04-18 23:07:31.000000,54,T,54,54,T,S,T,2005-07-05 21:24:00.000000,1972-08-16 21:27:36.000000,54,K,A,E,L,L,S,S,2019-11-05 08:47:03.000000,K,M,B,2015-06-12 01:03:38.000000,E,A,S
2008-02-04 12:28:49.000000,55,55,1991-03-18 09:18:54.000000,55,I,55,55,T,E,F,1985-01-03 10:17:32.000000,1988-03-05 03:07:36.000000,55,S,B,P,M,W,M,L,2001-08-11 00:51:51.000000,B,N,M,2008-09-29 11:47:11.000000,L,K,A
2014-09-16 12:54:09.000000,56,56,2015-09-22 13:44:25.000000,56,S,56,56,C,S,H,2004-10-02 13:02:27.000000,2016-12-27 10:09:44.000000,56,C,L,T,Y,J,B,N,1970-12-09 21:18:32.000000,L,I,G,1972-05-17 13:10:15.000000,L,G,B
2012-07-13 05:58:20.000000,57,57,2012-06-14 10:12:13.000000,57,Z,57,57,G,C,T,1994-07-25 21:12:31.000000,1992-01-20 16:24:38.000000,57,N,T,C,T,S,B,A,1970-01-13 07:24:28.000000,M,B,T,2007-02-07 02:23:11.000000,V,G,G
2007-10-02 01:24:49.000000,58,58,2008-09-07 15:15:53.000000,58,J,58,58,G,P,N,1984-07-08 02:52:20.000000,2003-05-11 17:11:12.000000,58,N,B,M,I,J,A,L,1988-09-10 14:29:32.000000,E,T,S,1974-12-15 14:51:59.000000,I,P,P
1988-06-11 09:09:07.000000,59,59,1997-11-25 01:07:37.000000,59,T,59,59,C,K,K,1991-03-11 19:17:37.000000,1986-10-12 01:59:15.000000,59,S,V,L,K,V,R,G,2011-12-20 12:54:17.000000,I,P,J,2019-08-19 01:35:00.000000,G,I,G
1984-07-12 16:12:25.000000,60,60,2022-06-03 17:21:32.000000,60,E,60,60,S,U,S,1980-04-12 17:49:21.000000,2001-03-28 17:07:17.000000,60,U,E,P,C,V,T,M,1991-05-21 12:55:43.000000,E,H,L,1992-07-08 21:09:22.000000,C,P,B
1997-05-30 11:46:20.000000,61,61,1990-10-31 15:23:33.000000,61,B,61,61,R,T,P,1978-08-07 05:22:01.000000,1984-06-27 00:22:20.000000,61,M,K,I,D,K,E,L,2000-03-24 03:07:27.000000,D,C,T,1979-10-14 07:25:35.000000,C,C,T
1970-08-06 23:13:12.000000,62,62,2017-03-15 05:38:17.000000,62,G,62,62,S,A,C,1992-09-23 13:58:01.000000,1989-08-12 10:21:44.000000,62,E,B,I,N,O,D,J,2005-07-16 15:22:30.000000,B,C,A,1971-02-14 02:38:10.000000,T,F,S
1975-02-06 14:38:06.000000,63,63,1991-01-20 07:03:24.000000,63,R,63,63,P,E,E,1982-06-25 16:16:57.000000,1971-11-26 12:08:32.000000,63,C,A,V,L,H,G,A,1986-09-14 23:01:15.000000,Z,P,S,1987-12-06 14:05:55.000000,M,C,Z
2012-05-29 19:44:09.000000,64,64,1981-02-04 20:22:25.000000,64,T,64,64,R,M,T,1993-06-20 06:49:42.000000,2018-05-03 07:17:35.000000,64,S,M,S,S,E,M,S,1980-08-18 10:28:55.000000,K,I,C,1989-04-25 03:59:20.000000,P,K,D
2012-06-23 09:01:58.000000,65,65,1998-07-25 01:03:45.000000,65,F,65,65,U,A,S,2010-11-07 11:52:04.000000,1996-02-16 16:52:07.000000,65,A,S,M,T,G,M,B,2004-07-09 20:33:13.000000,O,A,A,1988-09-18 23:13:34.000000,L,H,K
1995-12-09 14:57:57.000000,66,66,1973-12-19 14:25:29.000000,66,N,66,66,B,T,M,2018-12-29 17:51:03.000000,2008-12-08 04:39:36.000000,66,S,F,I,A,D,M,S,1974-03-30 03:25:50.000000,I,L,R,2019-02-27 08:59:27.000000,G,M,M
2015-10-12 03:39:50.000000,67,67,1970-02-27 22:14:58.000000,67,B,67,67,C,B,R,1976-04-24 20:29:56.000000,1992-12-08 11:29:54.000000,67,V,I,L,C,U,H,M,2008-10-27 18:55:00.000000,U,M,K,1987-05-07 11:27:25.000000,P,O,J
2014-12-14 15:24:51.000000,68,68,1986-06-26 23:29:36.000000,68,I,68,68,T,S,I,2016-06-03 22:54:47.000000,2020-01-27 22:36:47.000000,68,L,S,N,S,B,T,M,1992-02-11 13:48:21.000000,F,H,A,1997-10-22 15:56:20.000000,B,S,G
2016-06-23 13:19:16.000000,69,69,1985-08-04 12:57:52.000000,69,B,69,69,B,M,K,2015-08-07 08:19:08.000000,1994-07-09 10:30:37.000000,69,M,A,L,Z,P,C,G,1991-07-16 04:52:07.000000,M,P,C,1984-01-30 12:52:13.000000,I,G,M
1978-03-06 20:26:05.000000,70,70,2013-10-24 00:52:38.000000,70,M,70,70,C,Z,H,1995-03-25 05:37:16.000000,1987-11-07 04:56:43.000000,70,I,B,B,T,B,M,T,1985-05-30 06:47:07.000000,K,G,A,1982-02-02 15:22:00.000000,B,A,H
1985-02-07 05:11:12.000000,71,71,1999-08-10 15:52:25.000000,71,S,71,71,C,P,B,2008-03-10 14:02:52.000000,2003-06-22 22:29:53.000000,71,I,K,C,G,G,C,U,2016-08-20 18:24:12.000000,M,K,C,1983-02-27 12:31:16.000000,M,L,N
2000-05-10 21:24:40.000000,72,72,1992-12-17 21:51:46.000000,72,R,72,72,A,F,D,2019-03-06 06:05:33.000000,1979-07-03 23:02:31.000000,72,A,P,L,N,N,S,B,1982-01-30 16:08:55.000000,S,M,S,1982-02-15 06:54:15.000000,J,U,B
1997-01-03 14:16:19.000000,73,73,1973-04-21 20:46:38.000000,73,H,73,73,A,A,A,1984-10-20 12:27:17.000000,2017-09-22 23:27:02.000000,73,J,C,K,S,C,G,S,1986-11-20 18:10:27.000000,G,E,A,1975-07-25 23:15:02.000000,M,A,G
1991-04-11 23:05:11.000000,74,74,1987-03-08 18:20:38.000000,74,M,74,74,S,E,C,1999-08-10 06:03:13.000000,1996-01-25 15:21:59.000000,74,P,T,P,U,I,T,D,1978-11-29 13:27:57.000000,E,M,P,1996-02-06 14:31:07.000000,B,K,L
1970-03-27 21:57:19.000000,75,75,1972-09-05 18:02:53.000000,75,S,75,75,K,E,I,2004-01-12 02:37:21.000000,2017-10-03 07:54:58.000000,75,S,U,B,D,C,B,N,2023-02-17 00:27:52.000000,G,I,N,2017-07-31 14:07:59.000000,K,H,A
1976-05-17 10:55:33.000000,76,76,2010-10-12 06:44:00.000000,76,Q,76,76,N,D,V,1985-08-24 12:11:35.000000,1987-06-14 19:14:56.000000,76,I,K,C,J,J,A,N,1995-11-17 03:02:14.000000,S,K,I,1989-05-20 08:43:37.000000,M,P,N
1991-12-05 07:04:52.000000,77,77,2015-08-11 00:33:10.000000,77,M,77,77,U,D,B,2005-12-27 12:58:01.000000,2003-09-21 00:33:03.000000,77,K,G,D,C,T,S,I,2020-08-01 01:51:17.000000,M,L,L,1970-06-30 14:00:53.000000,M,U,A
1977-09-29 13:30:35.000000,78,78,2007-06-09 14:27:45.000000,78,K,78,78,C,E,N,1983-09-25 09:02:32.000000,2020-09-08 19:09:16.000000,78,B,C,F,P,T,A,S,1996-03-11 00:36:34.000000,Z,L,N,2009-04-28 19:44:04.000000,B,T,M
1973-01-11 22:58:36.000000,79,79,2001-01-29 13:50:52.000000,79,R,79,79,C,C,C,1972-12-14 07:15:37.000000,2012-11-12 11:10:10.000000,79,E,Z,S,Z,L,D,T,1992-03-30 08:47:55.000000,P,T,K,2020-09-14 12:13:49.000000,M,B,R
2001-05-19 11:34:45.000000,80,80,1991-09-17 05:30:03.000000,80,B,80,80,N,W,P,1986-07-08 02:11:15.000000,2010-06-22 12:43:48.000000,80,K,B,S,R,C,P,I,2013-06-19 20:21:14.000000,B,P,T,1996-12-22 15:52:49.000000,T,E,C
2006-07-12 19:31:21.000000,81,81,1973-05-15 03:07:54.000000,81,N,81,81,S,H,N,1972-10-04 16:37:41.000000,2000-11-22 19:02:57.000000,81,F,C,T,C,L,B,J,2022-09-30 07:45:47.000000,A,L,D,2017-04-25 05:44:56.000000,J,L,T
2009-10-21 20:56:18.000000,82,82,2008-08-27 19:49:55.000000,82,P,82,82,M,C,C,2012-09-22 13:35:25.000000,2006-02-24 21:16:47.000000,82,K,K,L,A,S,C,B,2022-07-04 12:22:37.000000,P,G,I,2000-02-12 08:00:28.000000,G,U,L
1994-11-07 02:09:21.000000,83,83,2020-10-12 10:09:08.000000,83,T,83,83,P,S,I,1993-08-17 00:06:00.000000,2012-10-18 10:56:06.000000,83,C,B,E,S,D,K,P,2001-09-23 07:34:35.000000,P,H,L,1995-10-29 04:40:56.000000,C,R,S
1992-12-29 18:40:05.000000,84,84,1984-06-25 02:01:16.000000,84,U,84,84,V,T,V,1997-11-25 10:49:57.000000,1974-02-21 20:00:52.000000,84,C,A,D,G,L,P,B,1979-01-09 13:40:04.000000,I,R,C,2012-08-06 07:25:37.000000,C,C,V
1975-12-06 21:51:36.000000,85,85,1990-03-06 19:31:07.000000,85,T,85,85,K,V,R,1993-11-23 01:57:41.000000,2011-04-02 09:16:18.000000,85,M,P,N,N,T,Z,K,1981-03-12 03:05:03.000000,F,S,S,1995-07-31 14:10:20.000000,B,E,S
1984-12-09 21:16:40.000000,86,86,1973-09-16 14:08:28.000000,86,B,86,86,V,A,P,1998-12-14 10:09:04.000000,2003-10-24 08:47:21.000000,86,B,J,F,I,B,N,S,1972-09-30 22:58:51.000000,P,D,C,2004-01-27 10:19:09.000000,T,C,S
2016-03-12 23:25:29.000000,87,87,1973-06-18 06:46:39.000000,87,C,87,87,E,K,N,1994-12-25 09:56:24.000000,2002-05-27 21:44:02.000000,87,T,A,B,J,L,H,A,1978-05-03 09:15:32.000000,I,T,V,1988-08-16 13:33:03.000000,J,N,D
1988-12-05 06:40:37.000000,88,88,1987-03-14 01:51:21.000000,88,E,88,88,Q,G,R,1996-06-05 06:29:39.000000,2001-07-16 01:11:47.000000,88,G,S,G,R,T,C,B,2019-07-01 13:10:00.000000,J,C,B,1979-07-14 13:52:17.000000,K,J,B
1986-01-15 22:30:31.000000,89,89,1979-09-08 10:19:20.000000,89,C,89,89,A,I,G,1970-04-30 23:40:53.000000,1983-03-20 06:56:23.000000,89,A,U,S,L,K,S,T,2012-10-24 16:08:39.000000,V,G,D,2020-09-27 16:14:46.000000,I,N,I
2007-01-26 13:18:31.000000,90,90,1976-12-16 06:03:54.000000,90,D,90,90,A,E,G,1974-01-27 04:00:38.000000,1981-07-11 18:01:03.000000,90,R,P,B,A,M,M,F,2005-08-02 02:22:48.000000,R,D,N,2008-01-28 11:21:00.000000,T,M,L
2016-08-18 09:45:52.000000,91,91,1988-10-03 20:18:14.000000,91,U,91,91,I,B,B,2009-01-18 02:47:48.000000,1980-02-23 05:42:46.000000,91,S,Z,I,A,F,B,U,2017-07-15 03:17:43.000000,U,Z,S,2011-12-04 15:07:54.000000,N,L,K
2006-11-28 08:25:20.000000,92,92,2014-11-30 00:03:45.000000,92,G,92,92,U,P,T,1975-06-27 22:40:11.000000,1980-12-22 14:22:20.000000,92,P,T,T,V,B,G,N,2002-11-01 10:54:02.000000,F,A,S,2001-10-03 17:17:00.000000,N,M,A
2003-07-12 07:57:32.000000,93,93,1997-07-15 00:53:07.000000,93,S,93,93,C,O,M,1983-11-27 13:19:06.000000,1978-05-30 05:38:07.000000,93,Z,K,B,B,G,S,K,1991-02-07 06:00:46.000000,S,M,K,1978-03-29 01:40:02.000000,S,L,U
1989-10-02 14:38:21.000000,94,94,2017-03-15 09:58:17.000000,94,M,94,94,Z,D,P,1989-12-19 00:56:22.000000,1978-03-23 11:19:21.000000,94,K,T,I,T,T,N,B,2001-04-19 10:39:00.000000,S,C,L,2018-06-11 00:17:22.000000,A,R,S
