uuid_query,date_stamp,cont_nr,kpi_risk_profile_lvl,apt_var,asset_id,asset_isin,asset_ccy,asset_name,maturity_date,maa_lvl_01_sort,maa_lvl_01_name,maa_lvl_02_sort,maa_lvl_02_name,maa_lvl_03_sort,maa_lvl_03_name,perf_level,period_sop_day,period_eop,twrr_net_day_cumul,twrr_contri_net_day_cumul,twrr_contri_cap_eff_net_day_cumul,twrr_contri_ccy_eff_net_day_cumul,twrr_contri_inc_eff_net_day_cumul,twrr_contri_taxfee_eff_net_day_cumul,twrr_contri_taxrec_eff_net_day_cumul,eop_mkt_val,ncf_net_day,twrr_contri_net_day,curr_price,gross_mkt_val_cont,net_mkt_val_cont,pos_ccy,pos_id,pos_split_category,pos_split_id,pos_type_id,pos_wgt,qty,ref_date,root_pos_id,ass_mifid_risclass_val,mkt_exp
10,1998-12-21,H,,10.00,A,B,S,V,1991-03-13,G,L,B,A,C,G,10,2017-09-03,2008-11-07,,,,,,,,10.00,10.00,10.000000,10.000000000000,10.00,10.00,S  ,10,10,10,10,10.00000000000000000000,10.0000000,A,10,10,10.0000000
11,1983-07-28,A,,11.00,V,C,T,A,1989-05-25,C,B,C,S,N,G,11,2023-02-24,1989-05-09,,,,,,,,11.00,11.00,11.000000,11.000000000000,11.00,11.00,I  ,11,11,11,11,11.00000000000000000000,11.0000000,H,11,11,11.0000000
12,1970-11-08,L,,12.00,I,N,O,A,2004-01-16,B,B,C,U,M,P,12,2008-05-09,2000-10-20,,,,,,,,12.00,12.00,12.000000,12.000000000000,12.00,12.00,R  ,12,12,12,12,12.00000000000000000000,12.0000000,B,12,12,12.0000000
13,1984-01-15,B,,13.00,C,A,L,T,1976-09-27,C,M,P,C,L,G,13,1993-04-25,1998-08-20,,,,,,,,13.00,13.00,13.000000,13.000000000000,13.00,13.00,S  ,13,13,13,13,13.00000000000000000000,13.0000000,I,13,13,13.0000000
14,1987-02-13,F,,14.00,P,V,D,G,1997-03-07,Z,A,G,K,N,D,14,1979-06-21,2008-03-02,,,,,,,,14.00,14.00,14.000000,14.000000000000,14.00,14.00,C  ,14,14,14,14,14.00000000000000000000,14.0000000,L,14,14,14.0000000
15,2019-08-21,H,,15.00,S,G,S,M,1998-08-06,V,P,M,L,K,B,15,2021-06-22,1988-03-30,,,,,,,,15.00,15.00,15.000000,15.000000000000,15.00,15.00,A  ,15,15,15,15,15.00000000000000000000,15.0000000,N,15,15,15.0000000
16,1982-04-09,A,,16.00,K,B,L,F,1986-09-08,A,S,S,T,V,P,16,1991-03-09,2009-01-25,,,,,,,,16.00,16.00,16.000000,16.000000000000,16.00,16.00,L  ,16,16,16,16,16.00000000000000000000,16.0000000,S,16,16,16.0000000
17,1999-05-01,B,,17.00,T,S,B,I,1978-08-23,Q,M,M,T,M,T,17,1970-11-02,1971-07-08,,,,,,,,17.00,17.00,17.000000,17.000000000000,17.00,17.00,B  ,17,17,17,17,17.00000000000000000000,17.0000000,M,17,17,17.0000000
18,2009-06-05,J,,18.00,S,I,B,E,2003-11-07,M,A,U,D,N,G,18,1978-03-19,2013-09-10,,,,,,,,18.00,18.00,18.000000,18.000000000000,18.00,18.00,N  ,18,18,18,18,18.00000000000000000000,18.0000000,K,18,18,18.0000000
19,1972-08-13,P,,19.00,K,G,T,B,1981-08-10,J,M,L,K,H,I,19,2005-01-31,1999-12-27,,,,,,,,19.00,19.00,19.000000,19.000000000000,19.00,19.00,R  ,19,19,19,19,19.00000000000000000000,19.0000000,S,19,19,19.0000000
20,1996-03-02,F,,20.00,J,L,B,L,2022-06-20,G,U,B,D,N,P,20,2015-01-28,2021-10-31,,,,,,,,20.00,20.00,20.000000,20.000000000000,20.00,20.00,I  ,20,20,20,20,20.00000000000000000000,20.0000000,M,20,20,20.0000000
21,2004-01-20,E,,21.00,U,S,K,T,2002-01-31,A,P,D,G,R,K,21,1989-07-23,1984-11-18,,,,,,,,21.00,21.00,21.000000,21.000000000000,21.00,21.00,J  ,21,21,21,21,21.00000000000000000000,21.0000000,K,21,21,21.0000000
22,1988-02-23,V,,22.00,K,B,I,M,2014-08-08,D,V,T,H,F,S,22,2013-06-25,2010-10-18,,,,,,,,22.00,22.00,22.000000,22.000000000000,22.00,22.00,K  ,22,22,22,22,22.00000000000000000000,22.0000000,S,22,22,22.0000000
23,1976-11-07,K,,23.00,N,P,P,D,2004-06-18,B,S,Y,B,C,M,23,2019-08-14,2016-01-07,,,,,,,,23.00,23.00,23.000000,23.000000000000,23.00,23.00,C  ,23,23,23,23,23.00000000000000000000,23.0000000,N,23,23,23.0000000
24,2019-08-22,T,,24.00,D,G,V,A,2016-03-12,A,F,M,P,J,Z,24,2005-05-05,1992-05-27,,,,,,,,24.00,24.00,24.000000,24.000000000000,24.00,24.00,A  ,24,24,24,24,24.00000000000000000000,24.0000000,M,24,24,24.0000000
25,1990-08-17,K,,25.00,B,A,K,S,2017-11-25,E,I,P,A,T,G,25,1977-07-03,1993-09-20,,,,,,,,25.00,25.00,25.000000,25.000000000000,25.00,25.00,C  ,25,25,25,25,25.00000000000000000000,25.0000000,B,25,25,25.0000000
26,1998-12-08,E,,26.00,L,Z,T,S,1992-06-07,B,U,S,T,B,T,26,1993-04-20,1978-07-10,,,,,,,,26.00,26.00,26.000000,26.000000000000,26.00,26.00,S  ,26,26,26,26,26.00000000000000000000,26.0000000,P,26,26,26.0000000
27,1985-11-25,L,,27.00,B,P,J,P,1984-09-10,M,B,B,A,V,N,27,1981-08-28,1978-11-01,,,,,,,,27.00,27.00,27.000000,27.000000000000,27.00,27.00,S  ,27,27,27,27,27.00000000000000000000,27.0000000,P,27,27,27.0000000
28,2015-06-04,B,,28.00,G,C,D,C,1997-09-15,K,W,U,S,P,I,28,1978-10-01,1978-10-30,,,,,,,,28.00,28.00,28.000000,28.000000000000,28.00,28.00,L  ,28,28,28,28,28.00000000000000000000,28.0000000,F,28,28,28.0000000
29,2013-10-04,K,,29.00,I,M,P,M,2016-03-07,R,T,L,J,R,H,29,2009-09-22,1992-04-04,,,,,,,,29.00,29.00,29.000000,29.000000000000,29.00,29.00,M  ,29,29,29,29,29.00000000000000000000,29.0000000,A,29,29,29.0000000
30,1993-03-03,U,,30.00,P,A,M,D,2021-04-23,A,G,M,L,C,Z,30,2009-02-12,1973-12-01,,,,,,,,30.00,30.00,30.000000,30.000000000000,30.00,30.00,Q  ,30,30,30,30,30.00000000000000000000,30.0000000,O,30,30,30.0000000
31,2016-01-23,C,,31.00,C,N,G,M,1974-07-12,M,A,S,S,G,M,31,1986-07-08,1988-12-19,,,,,,,,31.00,31.00,31.000000,31.000000000000,31.00,31.00,N  ,31,31,31,31,31.00000000000000000000,31.0000000,V,31,31,31.0000000
32,1983-11-13,B,,32.00,G,D,C,M,2009-01-08,M,M,F,T,E,T,32,2006-05-21,1998-08-15,,,,,,,,32.00,32.00,32.000000,32.000000000000,32.00,32.00,A  ,32,32,32,32,32.00000000000000000000,32.0000000,L,32,32,32.0000000
33,1999-11-15,A,,33.00,F,G,G,N,1975-01-16,J,D,S,A,P,F,33,1984-05-28,1982-08-20,,,,,,,,33.00,33.00,33.000000,33.000000000000,33.00,33.00,N  ,33,33,33,33,33.00000000000000000000,33.0000000,G,33,33,33.0000000
34,1989-05-04,S,,34.00,T,E,S,I,1988-06-25,S,B,E,S,G,T,34,2010-02-04,1970-03-20,,,,,,,,34.00,34.00,34.000000,34.000000000000,34.00,34.00,S  ,34,34,34,34,34.00000000000000000000,34.0000000,M,34,34,34.0000000
35,1990-12-20,M,,35.00,M,A,L,R,1985-04-30,E,C,G,T,K,T,35,1996-05-26,1976-01-06,,,,,,,,35.00,35.00,35.000000,35.000000000000,35.00,35.00,B  ,35,35,35,35,35.00000000000000000000,35.0000000,M,35,35,35.0000000
36,1999-01-19,W,,36.00,N,S,N,S,1987-10-19,V,T,D,A,F,L,36,1988-03-14,1978-11-18,,,,,,,,36.00,36.00,36.000000,36.000000000000,36.00,36.00,G  ,36,36,36,36,36.00000000000000000000,36.0000000,M,36,36,36.0000000
37,2007-05-05,I,,37.00,J,E,K,M,2000-01-05,D,D,M,C,M,F,37,1998-09-08,1971-05-23,,,,,,,,37.00,37.00,37.000000,37.000000000000,37.00,37.00,E  ,37,37,37,37,37.00000000000000000000,37.0000000,E,37,37,37.0000000
38,2002-02-19,C,,38.00,N,E,B,B,1982-12-15,M,S,P,A,U,A,38,2000-08-01,1978-11-06,,,,,,,,38.00,38.00,38.000000,38.000000000000,38.00,38.00,I  ,38,38,38,38,38.00000000000000000000,38.0000000,M,38,38,38.0000000
39,1975-07-17,S,,39.00,S,A,K,T,1991-05-19,K,B,C,M,G,M,39,1993-05-21,1989-07-21,,,,,,,,39.00,39.00,39.000000,39.000000000000,39.00,39.00,E  ,39,39,39,39,39.00000000000000000000,39.0000000,M,39,39,39.0000000
40,2006-04-27,G,,40.00,C,Q,B,U,2008-12-29,P,S,U,S,U,C,40,2018-12-19,1996-12-18,,,,,,,,40.00,40.00,40.000000,40.000000000000,40.00,40.00,E  ,40,40,40,40,40.00000000000000000000,40.0000000,V,40,40,40.0000000
41,1971-03-16,I,,41.00,T,P,S,P,1992-08-29,M,F,A,C,L,M,41,1988-08-26,2006-09-26,,,,,,,,41.00,41.00,41.000000,41.000000000000,41.00,41.00,C  ,41,41,41,41,41.00000000000000000000,41.0000000,M,41,41,41.0000000
42,2011-12-14,I,,42.00,S,R,B,G,1975-04-14,D,L,P,G,U,S,42,2009-01-07,2004-04-05,,,,,,,,42.00,42.00,42.000000,42.000000000000,42.00,42.00,S  ,42,42,42,42,42.00000000000000000000,42.0000000,G,42,42,42.0000000
43,1974-12-30,S,,43.00,C,M,C,S,2012-02-14,G,N,T,N,S,G,43,1995-08-12,2020-12-13,,,,,,,,43.00,43.00,43.000000,43.000000000000,43.00,43.00,C  ,43,43,43,43,43.00000000000000000000,43.0000000,O,43,43,43.0000000
44,2006-01-08,H,,44.00,B,T,P,N,1980-07-30,M,G,I,B,A,Q,44,2006-07-01,1974-11-21,,,,,,,,44.00,44.00,44.000000,44.000000000000,44.00,44.00,L  ,44,44,44,44,44.00000000000000000000,44.0000000,E,44,44,44.0000000
45,2022-12-25,K,,45.00,A,B,B,D,1984-04-29,M,L,B,M,U,H,45,1982-01-25,1976-03-20,,,,,,,,45.00,45.00,45.000000,45.000000000000,45.00,45.00,C  ,45,45,45,45,45.00000000000000000000,45.0000000,M,45,45,45.0000000
46,1995-01-13,I,,46.00,M,N,A,H,1984-08-27,G,F,K,S,P,I,46,1982-02-20,1985-05-20,,,,,,,,46.00,46.00,46.000000,46.000000000000,46.00,46.00,E  ,46,46,46,46,46.00000000000000000000,46.0000000,C,46,46,46.0000000
47,2009-04-30,N,,47.00,K,I,S,U,1971-05-14,C,L,M,C,P,M,47,2006-01-25,1986-03-19,,,,,,,,47.00,47.00,47.000000,47.000000000000,47.00,47.00,K  ,47,47,47,47,47.00000000000000000000,47.0000000,M,47,47,47.0000000
48,2003-11-28,S,,48.00,B,C,G,J,1998-11-22,P,G,E,S,E,G,48,1984-05-03,2021-03-24,,,,,,,,48.00,48.00,48.000000,48.000000000000,48.00,48.00,B  ,48,48,48,48,48.00000000000000000000,48.0000000,R,48,48,48.0000000
49,1976-03-25,T,,49.00,M,M,T,C,1975-10-11,K,B,B,J,A,D,49,2002-01-21,2019-12-13,,,,,,,,49.00,49.00,49.000000,49.000000000000,49.00,49.00,N  ,49,49,49,49,49.00000000000000000000,49.0000000,M,49,49,49.0000000
50,2021-03-07,B,,50.00,C,M,U,H,2007-03-12,B,V,S,J,C,B,50,1996-04-07,1996-09-30,,,,,,,,50.00,50.00,50.000000,50.000000000000,50.00,50.00,K  ,50,50,50,50,50.00000000000000000000,50.0000000,L,50,50,50.0000000
51,1975-04-22,M,,51.00,A,S,H,A,1974-11-19,T,D,E,K,B,I,51,1984-06-12,2015-04-20,,,,,,,,51.00,51.00,51.000000,51.000000000000,51.00,51.00,P  ,51,51,51,51,51.00000000000000000000,51.0000000,V,51,51,51.0000000
52,1981-01-16,G,,52.00,P,C,S,V,1995-09-21,L,U,R,S,A,L,52,1991-10-27,2002-08-08,,,,,,,,52.00,52.00,52.000000,52.000000000000,52.00,52.00,K  ,52,52,52,52,52.00000000000000000000,52.0000000,C,52,52,52.0000000
53,1977-11-28,H,,53.00,Z,M,A,A,1972-12-26,M,T,Q,A,M,D,53,2016-04-11,1973-07-13,,,,,,,,53.00,53.00,53.000000,53.000000000000,53.00,53.00,L  ,53,53,53,53,53.00000000000000000000,53.0000000,S,53,53,53.0000000
54,1993-07-26,A,,54.00,A,M,F,K,2008-03-22,K,L,G,C,L,T,54,2019-01-14,1976-08-26,,,,,,,,54.00,54.00,54.000000,54.000000000000,54.00,54.00,G  ,54,54,54,54,54.00000000000000000000,54.0000000,E,54,54,54.0000000
55,1998-10-18,M,,55.00,T,T,S,Z,2020-05-21,L,C,I,B,L,L,55,2020-04-18,1975-02-04,,,,,,,,55.00,55.00,55.000000,55.000000000000,55.00,55.00,M  ,55,55,55,55,55.00000000000000000000,55.0000000,K,55,55,55.0000000
56,2002-01-29,K,,56.00,Z,C,S,C,2020-07-12,B,P,K,V,A,D,56,1993-03-17,1979-03-31,,,,,,,,56.00,56.00,56.000000,56.000000000000,56.00,56.00,B  ,56,56,56,56,56.00000000000000000000,56.0000000,C,56,56,56.0000000
57,1990-08-27,Y,,57.00,G,B,M,B,2019-10-27,V,C,S,H,E,N,57,1970-12-21,2017-03-01,,,,,,,,57.00,57.00,57.000000,57.000000000000,57.00,57.00,A  ,57,57,57,57,57.00000000000000000000,57.0000000,S,57,57,57.0000000
58,1976-11-02,B,,58.00,A,A,U,I,2018-05-05,C,I,D,B,U,M,58,2022-09-10,2016-01-29,,,,,,,,58.00,58.00,58.000000,58.000000000000,58.00,58.00,B  ,58,58,58,58,58.00000000000000000000,58.0000000,P,58,58,58.0000000
59,2022-08-20,G,,59.00,M,M,B,C,1973-11-29,H,B,B,G,D,S,59,2007-10-13,1972-01-13,,,,,,,,59.00,59.00,59.000000,59.000000000000,59.00,59.00,N  ,59,59,59,59,59.00000000000000000000,59.0000000,U,59,59,59.0000000
60,1971-02-04,P,,60.00,B,P,A,B,1974-05-16,S,V,V,C,B,M,60,2011-04-24,1973-11-13,,,,,,,,60.00,60.00,60.000000,60.000000000000,60.00,60.00,B  ,60,60,60,60,60.00000000000000000000,60.0000000,N,60,60,60.0000000
61,2015-02-01,V,,61.00,K,S,K,B,1997-11-18,S,C,B,B,N,B,61,2018-09-01,2012-03-24,,,,,,,,61.00,61.00,61.000000,61.000000000000,61.00,61.00,A  ,61,61,61,61,61.00000000000000000000,61.0000000,C,61,61,61.0000000
62,1986-11-08,B,,62.00,D,P,A,E,1970-01-16,M,N,F,M,U,G,62,1994-01-20,2012-03-16,,,,,,,,62.00,62.00,62.000000,62.000000000000,62.00,62.00,B  ,62,62,62,62,62.00000000000000000000,62.0000000,L,62,62,62.0000000
63,2022-02-08,U,,63.00,T,L,S,N,1980-02-14,A,K,G,S,B,T,63,2000-09-05,1973-04-08,,,,,,,,63.00,63.00,63.000000,63.000000000000,63.00,63.00,J  ,63,63,63,63,63.00000000000000000000,63.0000000,L,63,63,63.0000000
64,1985-09-09,K,,64.00,K,H,B,I,2006-06-11,I,B,N,C,S,S,64,1981-02-28,1998-08-24,,,,,,,,64.00,64.00,64.000000,64.000000000000,64.00,64.00,C  ,64,64,64,64,64.00000000000000000000,64.0000000,L,64,64,64.0000000
65,1979-06-29,R,,65.00,N,B,U,C,2008-10-27,S,K,U,B,B,T,65,2002-06-12,1974-04-09,,,,,,,,65.00,65.00,65.000000,65.000000000000,65.00,65.00,B  ,65,65,65,65,65.00000000000000000000,65.0000000,G,65,65,65.0000000
66,1975-09-09,V,,66.00,E,E,K,N,1996-06-04,M,R,B,G,B,M,66,2005-02-11,1970-08-11,,,,,,,,66.00,66.00,66.000000,66.000000000000,66.00,66.00,I  ,66,66,66,66,66.00000000000000000000,66.0000000,M,66,66,66.0000000
67,1998-11-29,B,,67.00,N,T,T,C,2014-01-19,N,S,B,T,N,B,67,1998-11-06,1985-03-05,,,,,,,,67.00,67.00,67.000000,67.000000000000,67.00,67.00,D  ,67,67,67,67,67.00000000000000000000,67.0000000,D,67,67,67.0000000
68,1997-07-13,I,,68.00,I,G,I,I,2000-07-08,D,M,C,S,H,C,68,1980-04-26,1978-08-14,,,,,,,,68.00,68.00,68.000000,68.000000000000,68.00,68.00,A  ,68,68,68,68,68.00000000000000000000,68.0000000,A,68,68,68.0000000
69,1994-06-01,B,,69.00,Y,P,G,B,1982-05-04,A,D,E,T,K,F,69,2004-10-30,2004-12-07,,,,,,,,69.00,69.00,69.000000,69.000000000000,69.00,69.00,K  ,69,69,69,69,69.00000000000000000000,69.0000000,G,69,69,69.0000000
70,2007-05-28,F,,70.00,S,K,S,S,2007-08-02,N,V,R,S,L,T,70,1977-08-29,2012-11-04,,,,,,,,70.00,70.00,70.000000,70.000000000000,70.00,70.00,G  ,70,70,70,70,70.00000000000000000000,70.0000000,B,70,70,70.0000000
71,1976-02-23,C,,71.00,M,P,F,A,1972-06-10,L,S,F,P,G,S,71,1977-04-11,2018-12-25,,,,,,,,71.00,71.00,71.000000,71.000000000000,71.00,71.00,Q  ,71,71,71,71,71.00000000000000000000,71.0000000,T,71,71,71.0000000
72,1978-03-02,J,,72.00,B,S,S,V,2021-02-22,I,B,R,C,M,T,72,2008-03-17,2018-11-21,,,,,,,,72.00,72.00,72.000000,72.000000000000,72.00,72.00,M  ,72,72,72,72,72.00000000000000000000,72.0000000,P,72,72,72.0000000
73,1977-02-16,B,,73.00,T,K,M,S,1978-01-17,D,J,A,A,B,N,73,2015-10-31,2016-06-25,,,,,,,,73.00,73.00,73.000000,73.000000000000,73.00,73.00,T  ,73,73,73,73,73.00000000000000000000,73.0000000,M,73,73,73.0000000
74,1970-11-03,B,,74.00,V,P,S,G,1976-01-23,R,A,E,B,N,L,74,2001-04-10,1990-11-08,,,,,,,,74.00,74.00,74.000000,74.000000000000,74.00,74.00,V  ,74,74,74,74,74.00000000000000000000,74.0000000,T,74,74,74.0000000
75,2000-09-13,S,,75.00,C,G,K,R,2007-05-12,U,L,V,F,T,G,75,2007-03-31,2016-06-07,,,,,,,,75.00,75.00,75.000000,75.000000000000,75.00,75.00,D  ,75,75,75,75,75.00000000000000000000,75.0000000,M,75,75,75.0000000
76,1974-11-23,S,,76.00,D,T,E,T,2010-06-18,H,R,V,K,M,I,76,2014-06-17,2007-02-16,,,,,,,,76.00,76.00,76.000000,76.000000000000,76.00,76.00,L  ,76,76,76,76,76.00000000000000000000,76.0000000,C,76,76,76.0000000
77,1996-09-19,P,,77.00,F,G,M,T,2014-03-05,R,K,I,C,L,G,77,1990-06-27,2017-01-30,,,,,,,,77.00,77.00,77.000000,77.000000000000,77.00,77.00,B  ,77,77,77,77,77.00000000000000000000,77.0000000,S,77,77,77.0000000
78,1982-12-14,K,,78.00,C,M,C,S,2014-03-07,A,G,L,B,C,E,78,1988-05-04,2010-03-26,,,,,,,,78.00,78.00,78.000000,78.000000000000,78.00,78.00,L  ,78,78,78,78,78.00000000000000000000,78.0000000,F,78,78,78.0000000
79,2009-11-21,E,,79.00,K,N,H,M,1975-05-01,B,D,S,B,I,S,79,2002-08-08,2007-04-20,,,,,,,,79.00,79.00,79.000000,79.000000000000,79.00,79.00,N  ,79,79,79,79,79.00000000000000000000,79.0000000,U,79,79,79.0000000
80,1998-02-08,G,,80.00,I,P,M,S,1976-11-28,S,M,G,M,I,F,80,2019-05-02,1971-05-01,,,,,,,,80.00,80.00,80.000000,80.000000000000,80.00,80.00,K  ,80,80,80,80,80.00000000000000000000,80.0000000,R,80,80,80.0000000
81,2013-01-14,B,,81.00,M,G,S,S,2011-09-18,N,D,L,A,T,V,81,2007-05-02,1972-07-02,,,,,,,,81.00,81.00,81.000000,81.000000000000,81.00,81.00,T  ,81,81,81,81,81.00000000000000000000,81.0000000,K,81,81,81.0000000
82,2011-02-11,S,,82.00,S,G,M,C,2013-09-20,B,C,T,C,P,S,82,1976-02-17,2000-08-18,,,,,,,,82.00,82.00,82.000000,82.000000000000,82.00,82.00,G  ,82,82,82,82,82.00000000000000000000,82.0000000,E,82,82,82.0000000
83,1984-08-29,Q,,83.00,I,S,U,K,2015-12-21,E,R,C,G,Z,G,83,1970-12-24,2002-04-29,,,,,,,,83.00,83.00,83.000000,83.000000000000,83.00,83.00,R  ,83,83,83,83,83.00000000000000000000,83.0000000,H,83,83,83.0000000
84,1996-06-12,F,,84.00,S,C,G,S,1982-07-14,B,S,S,J,L,Y,84,2002-04-22,1978-12-04,,,,,,,,84.00,84.00,84.000000,84.000000000000,84.00,84.00,M  ,84,84,84,84,84.00000000000000000000,84.0000000,A,84,84,84.0000000
85,1981-07-13,Z,,85.00,M,W,L,B,1978-03-12,T,Q,V,D,B,L,85,2015-04-06,1981-10-05,,,,,,,,85.00,85.00,85.000000,85.000000000000,85.00,85.00,I  ,85,85,85,85,85.00000000000000000000,85.0000000,V,85,85,85.0000000
86,1999-04-24,L,,86.00,P,C,M,A,2021-10-14,E,E,E,N,K,E,86,1993-09-05,1996-08-18,,,,,,,,86.00,86.00,86.000000,86.000000000000,86.00,86.00,V  ,86,86,86,86,86.00000000000000000000,86.0000000,K,86,86,86.0000000
87,1978-11-03,C,,87.00,B,P,B,L,1985-05-21,I,A,S,M,P,A,87,1976-06-17,2020-03-08,,,,,,,,87.00,87.00,87.000000,87.000000000000,87.00,87.00,K  ,87,87,87,87,87.00000000000000000000,87.0000000,D,87,87,87.0000000
88,2019-12-09,N,,88.00,M,M,L,R,1989-11-08,M,J,D,C,B,R,88,1980-05-06,2010-05-05,,,,,,,,88.00,88.00,88.000000,88.000000000000,88.00,88.00,A  ,88,88,88,88,88.00000000000000000000,88.0000000,U,88,88,88.0000000
89,1983-10-07,I,,89.00,K,K,L,S,1995-05-17,L,R,T,C,R,S,89,1989-07-24,1987-03-01,,,,,,,,89.00,89.00,89.000000,89.000000000000,89.00,89.00,B  ,89,89,89,89,89.00000000000000000000,89.0000000,B,89,89,89.0000000
90,2014-07-20,D,,90.00,A,M,J,B,1970-03-15,N,T,T,C,B,V,90,1977-03-21,2020-03-30,,,,,,,,90.00,90.00,90.000000,90.000000000000,90.00,90.00,G  ,90,90,90,90,90.00000000000000000000,90.0000000,S,90,90,90.0000000
91,1995-08-23,K,,91.00,I,B,B,A,1980-03-01,L,K,T,N,C,F,91,2003-05-25,2007-05-07,,,,,,,,91.00,91.00,91.000000,91.000000000000,91.00,91.00,V  ,91,91,91,91,91.00000000000000000000,91.0000000,T,91,91,91.0000000
92,1987-10-17,M,,92.00,L,C,B,F,1977-12-23,A,G,M,H,P,J,92,1996-02-05,1979-12-23,,,,,,,,92.00,92.00,92.000000,92.000000000000,92.00,92.00,A  ,92,92,92,92,92.00000000000000000000,92.0000000,N,92,92,92.0000000
93,1989-08-28,L,,93.00,G,H,S,L,2014-01-19,G,I,N,M,K,A,93,2010-05-08,2003-02-16,,,,,,,,93.00,93.00,93.000000,93.000000000000,93.00,93.00,A  ,93,93,93,93,93.00000000000000000000,93.0000000,N,93,93,93.0000000
94,1985-07-30,S,,94.00,K,A,S,C,1978-02-25,J,K,R,P,K,H,94,1972-03-14,1996-06-10,,,,,,,,94.00,94.00,94.000000,94.000000000000,94.00,94.00,T  ,94,94,94,94,94.00000000000000000000,94.0000000,M,94,94,94.0000000
95,1992-12-28,V,,95.00,T,F,N,M,2004-02-11,Z,Q,M,K,P,K,95,2020-10-17,2023-03-12,,,,,,,,95.00,95.00,95.000000,95.000000000000,95.00,95.00,S  ,95,95,95,95,95.00000000000000000000,95.0000000,R,95,95,95.0000000
96,1997-07-15,B,,96.00,G,H,F,V,2014-04-30,D,W,K,E,L,L,96,2016-08-06,1971-12-02,,,,,,,,96.00,96.00,96.000000,96.000000000000,96.00,96.00,B  ,96,96,96,96,96.00000000000000000000,96.0000000,M,96,96,96.0000000
97,2000-08-27,I,,97.00,S,A,I,P,1979-06-29,M,D,M,M,S,B,97,1999-04-03,2002-11-21,,,,,,,,97.00,97.00,97.000000,97.000000000000,97.00,97.00,E  ,97,97,97,97,97.00000000000000000000,97.0000000,B,97,97,97.0000000
