uuid_query,date_stamp,perf_level,period_sop_day,period_eop,cont_nr,asset_id,twrr_net_day_cumul,twrr_gross_day_cumul,twrr_contri_net_day_cumul,twrr_contri_gross_day_cumul,twrr_contri_cap_eff_net_day_cumul,twrr_contri_ccy_eff_net_day_cumul,twrr_contri_inc_eff_net_day_cumul,twrr_contri_taxfee_eff_net_day_cumul,twrr_contri_taxrec_eff_net_day_cumul,twrr_contri_res_eff_net_day_cumul,vol_on_return,vol_on_contrib,maxdd,sop_mkt_val_cont_day,eop_mkt_val,gain_day,real_unreal_pl_day,aic_day,aic_day_ptf,weight,ncf_net_day,ncf_gross_day,twrr_net_day,twrr_gross_day,twrr_cap_eff_net_day,twrr_ccy_eff_net_day,twrr_inc_eff_net_day,twrr_taxfee_eff_net_day,twrr_taxrec_eff_net_day,twrr_res_eff_net_day,twrr_contri_net_day,twrr_contri_gross_day,twrr_contri_cap_eff_net_day,twrr_contri_ccy_eff_net_day,twrr_contri_inc_eff_net_day,twrr_contri_taxfee_eff_net_day,twrr_contri_taxrec_eff_net_day,twrr_contri_res_eff_net_day,cf_fees_day,cf_nrtax_day,cf_rtax_day,cf_tax_day,cf_nnm_day,cf_purch_day,cf_sale_day,cf_rdmpt_day,cf_income_day,cf_cost_day,cf_exp_day
17,1994-06-05,17,1987-07-02,2012-10-03,I,L,,,,,,,,,,,,,,17.00,17.00,17.00,17.00,17.000000,17.00,17.000000,17.00,17.00,17.000000,17.000000,17.000000,17.000000,17.000000,17.000000,17.000000,17.000000,17.000000,17.000000,17.000000,17.000000,17.000000,17.000000,17.000000,17.000000,17.00,17.00,17.00,17.00,17.00,17,17,17,17.00,17,17
18,1975-10-18,18,1998-12-30,1984-09-21,J,U,,,,,,,,,,,,,,18.00,18.00,18.00,18.00,18.000000,18.00,18.000000,18.00,18.00,18.000000,18.000000,18.000000,18.000000,18.000000,18.000000,18.000000,18.000000,18.000000,18.000000,18.000000,18.000000,18.000000,18.000000,18.000000,18.000000,18.00,18.00,18.00,18.00,18.00,18,18,18,18.00,18,18
19,1992-03-06,19,1970-11-22,1987-09-07,L,K,,,,,,,,,,,,,,19.00,19.00,19.00,19.00,19.000000,19.00,19.000000,19.00,19.00,19.000000,19.000000,19.000000,19.000000,19.000000,19.000000,19.000000,19.000000,19.000000,19.000000,19.000000,19.000000,19.000000,19.000000,19.000000,19.000000,19.00,19.00,19.00,19.00,19.00,19,19,19,19.00,19,19
20,1977-03-09,20,1995-06-14,1972-02-04,P,T,,,,,,,,,,,,,,20.00,20.00,20.00,20.00,20.000000,20.00,20.000000,20.00,20.00,20.000000,20.000000,20.000000,20.000000,20.000000,20.000000,20.000000,20.000000,20.000000,20.000000,20.000000,20.000000,20.000000,20.000000,20.000000,20.000000,20.00,20.00,20.00,20.00,20.00,20,20,20,20.00,20,20
21,1976-03-20,21,1995-07-13,1976-05-09,S,K,,,,,,,,,,,,,,21.00,21.00,21.00,21.00,21.000000,21.00,21.000000,21.00,21.00,21.000000,21.000000,21.000000,21.000000,21.000000,21.000000,21.000000,21.000000,21.000000,21.000000,21.000000,21.000000,21.000000,21.000000,21.000000,21.000000,21.00,21.00,21.00,21.00,21.00,21,21,21,21.00,21,21
22,2001-03-05,22,2007-08-21,2001-02-20,H,M,,,,,,,,,,,,,,22.00,22.00,22.00,22.00,22.000000,22.00,22.000000,22.00,22.00,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.00,22.00,22.00,22.00,22.00,22,22,22,22.00,22,22
23,1997-09-22,23,1984-03-02,2005-08-24,S,F,,,,,,,,,,,,,,23.00,23.00,23.00,23.00,23.000000,23.00,23.000000,23.00,23.00,23.000000,23.000000,23.000000,23.000000,23.000000,23.000000,23.000000,23.000000,23.000000,23.000000,23.000000,23.000000,23.000000,23.000000,23.000000,23.000000,23.00,23.00,23.00,23.00,23.00,23,23,23,23.00,23,23
24,1993-04-13,24,1979-07-17,2012-11-26,C,I,,,,,,,,,,,,,,24.00,24.00,24.00,24.00,24.000000,24.00,24.000000,24.00,24.00,24.000000,24.000000,24.000000,24.000000,24.000000,24.000000,24.000000,24.000000,24.000000,24.000000,24.000000,24.000000,24.000000,24.000000,24.000000,24.000000,24.00,24.00,24.00,24.00,24.00,24,24,24,24.00,24,24
25,1987-08-11,25,1999-11-15,2022-01-20,R,G,,,,,,,,,,,,,,25.00,25.00,25.00,25.00,25.000000,25.00,25.000000,25.00,25.00,25.000000,25.000000,25.000000,25.000000,25.000000,25.000000,25.000000,25.000000,25.000000,25.000000,25.000000,25.000000,25.000000,25.000000,25.000000,25.000000,25.00,25.00,25.00,25.00,25.00,25,25,25,25.00,25,25
26,1980-01-27,26,2000-09-15,2021-06-01,M,B,,,,,,,,,,,,,,26.00,26.00,26.00,26.00,26.000000,26.00,26.000000,26.00,26.00,26.000000,26.000000,26.000000,26.000000,26.000000,26.000000,26.000000,26.000000,26.000000,26.000000,26.000000,26.000000,26.000000,26.000000,26.000000,26.000000,26.00,26.00,26.00,26.00,26.00,26,26,26,26.00,26,26
27,2010-11-28,27,2022-04-05,1970-05-14,C,B,,,,,,,,,,,,,,27.00,27.00,27.00,27.00,27.000000,27.00,27.000000,27.00,27.00,27.000000,27.000000,27.000000,27.000000,27.000000,27.000000,27.000000,27.000000,27.000000,27.000000,27.000000,27.000000,27.000000,27.000000,27.000000,27.000000,27.00,27.00,27.00,27.00,27.00,27,27,27,27.00,27,27
28,1976-12-25,28,1992-09-17,1977-11-28,A,C,,,,,,,,,,,,,,28.00,28.00,28.00,28.00,28.000000,28.00,28.000000,28.00,28.00,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.00,28.00,28.00,28.00,28.00,28,28,28,28.00,28,28
29,1992-12-04,29,2007-07-25,1998-09-13,U,Y,,,,,,,,,,,,,,29.00,29.00,29.00,29.00,29.000000,29.00,29.000000,29.00,29.00,29.000000,29.000000,29.000000,29.000000,29.000000,29.000000,29.000000,29.000000,29.000000,29.000000,29.000000,29.000000,29.000000,29.000000,29.000000,29.000000,29.00,29.00,29.00,29.00,29.00,29,29,29,29.00,29,29
30,2018-12-17,30,1982-07-18,1972-08-07,H,A,,,,,,,,,,,,,,30.00,30.00,30.00,30.00,30.000000,30.00,30.000000,30.00,30.00,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.00,30.00,30.00,30.00,30.00,30,30,30,30.00,30,30
31,2016-07-14,31,2011-01-25,1978-02-18,C,S,,,,,,,,,,,,,,31.00,31.00,31.00,31.00,31.000000,31.00,31.000000,31.00,31.00,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,31.00,31.00,31.00,31.00,31.00,31,31,31,31.00,31,31
32,2003-12-06,32,1992-11-11,2004-02-05,T,D,,,,,,,,,,,,,,32.00,32.00,32.00,32.00,32.000000,32.00,32.000000,32.00,32.00,32.000000,32.000000,32.000000,32.000000,32.000000,32.000000,32.000000,32.000000,32.000000,32.000000,32.000000,32.000000,32.000000,32.000000,32.000000,32.000000,32.00,32.00,32.00,32.00,32.00,32,32,32,32.00,32,32
33,1973-01-20,33,1987-05-25,1983-02-18,L,K,,,,,,,,,,,,,,33.00,33.00,33.00,33.00,33.000000,33.00,33.000000,33.00,33.00,33.000000,33.000000,33.000000,33.000000,33.000000,33.000000,33.000000,33.000000,33.000000,33.000000,33.000000,33.000000,33.000000,33.000000,33.000000,33.000000,33.00,33.00,33.00,33.00,33.00,33,33,33,33.00,33,33
34,1988-04-22,34,2008-08-15,1972-10-19,U,P,,,,,,,,,,,,,,34.00,34.00,34.00,34.00,34.000000,34.00,34.000000,34.00,34.00,34.000000,34.000000,34.000000,34.000000,34.000000,34.000000,34.000000,34.000000,34.000000,34.000000,34.000000,34.000000,34.000000,34.000000,34.000000,34.000000,34.00,34.00,34.00,34.00,34.00,34,34,34,34.00,34,34
35,2002-11-05,35,2012-01-29,2008-09-11,A,B,,,,,,,,,,,,,,35.00,35.00,35.00,35.00,35.000000,35.00,35.000000,35.00,35.00,35.000000,35.000000,35.000000,35.000000,35.000000,35.000000,35.000000,35.000000,35.000000,35.000000,35.000000,35.000000,35.000000,35.000000,35.000000,35.000000,35.00,35.00,35.00,35.00,35.00,35,35,35,35.00,35,35
36,2015-08-07,36,2020-08-31,1972-08-30,B,V,,,,,,,,,,,,,,36.00,36.00,36.00,36.00,36.000000,36.00,36.000000,36.00,36.00,36.000000,36.000000,36.000000,36.000000,36.000000,36.000000,36.000000,36.000000,36.000000,36.000000,36.000000,36.000000,36.000000,36.000000,36.000000,36.000000,36.00,36.00,36.00,36.00,36.00,36,36,36,36.00,36,36
37,1991-10-28,37,1980-06-14,2015-10-18,A,C,,,,,,,,,,,,,,37.00,37.00,37.00,37.00,37.000000,37.00,37.000000,37.00,37.00,37.000000,37.000000,37.000000,37.000000,37.000000,37.000000,37.000000,37.000000,37.000000,37.000000,37.000000,37.000000,37.000000,37.000000,37.000000,37.000000,37.00,37.00,37.00,37.00,37.00,37,37,37,37.00,37,37
38,1983-12-09,38,1993-06-09,2012-09-28,N,J,,,,,,,,,,,,,,38.00,38.00,38.00,38.00,38.000000,38.00,38.000000,38.00,38.00,38.000000,38.000000,38.000000,38.000000,38.000000,38.000000,38.000000,38.000000,38.000000,38.000000,38.000000,38.000000,38.000000,38.000000,38.000000,38.000000,38.00,38.00,38.00,38.00,38.00,38,38,38,38.00,38,38
39,2018-12-10,39,1978-05-22,1975-08-27,T,W,,,,,,,,,,,,,,39.00,39.00,39.00,39.00,39.000000,39.00,39.000000,39.00,39.00,39.000000,39.000000,39.000000,39.000000,39.000000,39.000000,39.000000,39.000000,39.000000,39.000000,39.000000,39.000000,39.000000,39.000000,39.000000,39.000000,39.00,39.00,39.00,39.00,39.00,39,39,39,39.00,39,39
40,1970-03-27,40,1981-10-05,2007-07-17,P,L,,,,,,,,,,,,,,40.00,40.00,40.00,40.00,40.000000,40.00,40.000000,40.00,40.00,40.000000,40.000000,40.000000,40.000000,40.000000,40.000000,40.000000,40.000000,40.000000,40.000000,40.000000,40.000000,40.000000,40.000000,40.000000,40.000000,40.00,40.00,40.00,40.00,40.00,40,40,40,40.00,40,40
41,2020-05-10,41,2014-09-14,1991-03-29,V,P,,,,,,,,,,,,,,41.00,41.00,41.00,41.00,41.000000,41.00,41.000000,41.00,41.00,41.000000,41.000000,41.000000,41.000000,41.000000,41.000000,41.000000,41.000000,41.000000,41.000000,41.000000,41.000000,41.000000,41.000000,41.000000,41.000000,41.00,41.00,41.00,41.00,41.00,41,41,41,41.00,41,41
42,1995-01-09,42,2017-02-26,2022-09-09,V,J,,,,,,,,,,,,,,42.00,42.00,42.00,42.00,42.000000,42.00,42.000000,42.00,42.00,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.00,42.00,42.00,42.00,42.00,42,42,42,42.00,42,42
43,1975-09-10,43,1997-04-29,1985-03-17,G,B,,,,,,,,,,,,,,43.00,43.00,43.00,43.00,43.000000,43.00,43.000000,43.00,43.00,43.000000,43.000000,43.000000,43.000000,43.000000,43.000000,43.000000,43.000000,43.000000,43.000000,43.000000,43.000000,43.000000,43.000000,43.000000,43.000000,43.00,43.00,43.00,43.00,43.00,43,43,43,43.00,43,43
44,2013-08-06,44,1976-02-27,1974-02-15,K,K,,,,,,,,,,,,,,44.00,44.00,44.00,44.00,44.000000,44.00,44.000000,44.00,44.00,44.000000,44.000000,44.000000,44.000000,44.000000,44.000000,44.000000,44.000000,44.000000,44.000000,44.000000,44.000000,44.000000,44.000000,44.000000,44.000000,44.00,44.00,44.00,44.00,44.00,44,44,44,44.00,44,44
45,2003-08-30,45,2003-04-11,2019-10-11,I,L,,,,,,,,,,,,,,45.00,45.00,45.00,45.00,45.000000,45.00,45.000000,45.00,45.00,45.000000,45.000000,45.000000,45.000000,45.000000,45.000000,45.000000,45.000000,45.000000,45.000000,45.000000,45.000000,45.000000,45.000000,45.000000,45.000000,45.00,45.00,45.00,45.00,45.00,45,45,45,45.00,45,45
46,2005-03-10,46,1978-04-22,1988-01-25,B,D,,,,,,,,,,,,,,46.00,46.00,46.00,46.00,46.000000,46.00,46.000000,46.00,46.00,46.000000,46.000000,46.000000,46.000000,46.000000,46.000000,46.000000,46.000000,46.000000,46.000000,46.000000,46.000000,46.000000,46.000000,46.000000,46.000000,46.00,46.00,46.00,46.00,46.00,46,46,46,46.00,46,46
47,1979-04-29,47,1986-03-21,1989-09-01,U,V,,,,,,,,,,,,,,47.00,47.00,47.00,47.00,47.000000,47.00,47.000000,47.00,47.00,47.000000,47.000000,47.000000,47.000000,47.000000,47.000000,47.000000,47.000000,47.000000,47.000000,47.000000,47.000000,47.000000,47.000000,47.000000,47.000000,47.00,47.00,47.00,47.00,47.00,47,47,47,47.00,47,47
48,1982-11-07,48,1999-09-07,1978-04-02,C,K,,,,,,,,,,,,,,48.00,48.00,48.00,48.00,48.000000,48.00,48.000000,48.00,48.00,48.000000,48.000000,48.000000,48.000000,48.000000,48.000000,48.000000,48.000000,48.000000,48.000000,48.000000,48.000000,48.000000,48.000000,48.000000,48.000000,48.00,48.00,48.00,48.00,48.00,48,48,48,48.00,48,48
49,1988-07-11,49,1997-08-18,1976-05-28,O,S,,,,,,,,,,,,,,49.00,49.00,49.00,49.00,49.000000,49.00,49.000000,49.00,49.00,49.000000,49.000000,49.000000,49.000000,49.000000,49.000000,49.000000,49.000000,49.000000,49.000000,49.000000,49.000000,49.000000,49.000000,49.000000,49.000000,49.00,49.00,49.00,49.00,49.00,49,49,49,49.00,49,49
50,2014-01-31,50,1982-09-23,2012-09-01,C,E,,,,,,,,,,,,,,50.00,50.00,50.00,50.00,50.000000,50.00,50.000000,50.00,50.00,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.00,50.00,50.00,50.00,50.00,50,50,50,50.00,50,50
51,1986-06-18,51,1984-08-23,2008-01-01,K,T,,,,,,,,,,,,,,51.00,51.00,51.00,51.00,51.000000,51.00,51.000000,51.00,51.00,51.000000,51.000000,51.000000,51.000000,51.000000,51.000000,51.000000,51.000000,51.000000,51.000000,51.000000,51.000000,51.000000,51.000000,51.000000,51.000000,51.00,51.00,51.00,51.00,51.00,51,51,51,51.00,51,51
52,2001-12-31,52,1984-07-16,2008-07-28,G,N,,,,,,,,,,,,,,52.00,52.00,52.00,52.00,52.000000,52.00,52.000000,52.00,52.00,52.000000,52.000000,52.000000,52.000000,52.000000,52.000000,52.000000,52.000000,52.000000,52.000000,52.000000,52.000000,52.000000,52.000000,52.000000,52.000000,52.00,52.00,52.00,52.00,52.00,52,52,52,52.00,52,52
53,2003-08-28,53,1979-02-06,1991-09-19,M,P,,,,,,,,,,,,,,53.00,53.00,53.00,53.00,53.000000,53.00,53.000000,53.00,53.00,53.000000,53.000000,53.000000,53.000000,53.000000,53.000000,53.000000,53.000000,53.000000,53.000000,53.000000,53.000000,53.000000,53.000000,53.000000,53.000000,53.00,53.00,53.00,53.00,53.00,53,53,53,53.00,53,53
54,1997-08-21,54,2010-10-08,1981-05-31,G,D,,,,,,,,,,,,,,54.00,54.00,54.00,54.00,54.000000,54.00,54.000000,54.00,54.00,54.000000,54.000000,54.000000,54.000000,54.000000,54.000000,54.000000,54.000000,54.000000,54.000000,54.000000,54.000000,54.000000,54.000000,54.000000,54.000000,54.00,54.00,54.00,54.00,54.00,54,54,54,54.00,54,54
55,1979-01-27,55,1990-05-29,1973-05-24,T,D,,,,,,,,,,,,,,55.00,55.00,55.00,55.00,55.000000,55.00,55.000000,55.00,55.00,55.000000,55.000000,55.000000,55.000000,55.000000,55.000000,55.000000,55.000000,55.000000,55.000000,55.000000,55.000000,55.000000,55.000000,55.000000,55.000000,55.00,55.00,55.00,55.00,55.00,55,55,55,55.00,55,55
56,2002-02-27,56,1992-01-14,2019-10-31,S,I,,,,,,,,,,,,,,56.00,56.00,56.00,56.00,56.000000,56.00,56.000000,56.00,56.00,56.000000,56.000000,56.000000,56.000000,56.000000,56.000000,56.000000,56.000000,56.000000,56.000000,56.000000,56.000000,56.000000,56.000000,56.000000,56.000000,56.00,56.00,56.00,56.00,56.00,56,56,56,56.00,56,56
57,1976-02-28,57,2012-01-16,1990-11-02,S,M,,,,,,,,,,,,,,57.00,57.00,57.00,57.00,57.000000,57.00,57.000000,57.00,57.00,57.000000,57.000000,57.000000,57.000000,57.000000,57.000000,57.000000,57.000000,57.000000,57.000000,57.000000,57.000000,57.000000,57.000000,57.000000,57.000000,57.00,57.00,57.00,57.00,57.00,57,57,57,57.00,57,57
58,1984-03-01,58,2010-10-12,2009-11-02,L,I,,,,,,,,,,,,,,58.00,58.00,58.00,58.00,58.000000,58.00,58.000000,58.00,58.00,58.000000,58.000000,58.000000,58.000000,58.000000,58.000000,58.000000,58.000000,58.000000,58.000000,58.000000,58.000000,58.000000,58.000000,58.000000,58.000000,58.00,58.00,58.00,58.00,58.00,58,58,58,58.00,58,58
59,1983-06-23,59,2000-01-03,2001-02-17,K,T,,,,,,,,,,,,,,59.00,59.00,59.00,59.00,59.000000,59.00,59.000000,59.00,59.00,59.000000,59.000000,59.000000,59.000000,59.000000,59.000000,59.000000,59.000000,59.000000,59.000000,59.000000,59.000000,59.000000,59.000000,59.000000,59.000000,59.00,59.00,59.00,59.00,59.00,59,59,59,59.00,59,59
60,2015-06-21,60,2016-04-15,1993-07-13,B,M,,,,,,,,,,,,,,60.00,60.00,60.00,60.00,60.000000,60.00,60.000000,60.00,60.00,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.00,60.00,60.00,60.00,60.00,60,60,60,60.00,60,60
61,1996-03-16,61,1986-02-15,1996-06-24,C,G,,,,,,,,,,,,,,61.00,61.00,61.00,61.00,61.000000,61.00,61.000000,61.00,61.00,61.000000,61.000000,61.000000,61.000000,61.000000,61.000000,61.000000,61.000000,61.000000,61.000000,61.000000,61.000000,61.000000,61.000000,61.000000,61.000000,61.00,61.00,61.00,61.00,61.00,61,61,61,61.00,61,61
62,1995-07-30,62,2009-02-09,1974-01-08,M,B,,,,,,,,,,,,,,62.00,62.00,62.00,62.00,62.000000,62.00,62.000000,62.00,62.00,62.000000,62.000000,62.000000,62.000000,62.000000,62.000000,62.000000,62.000000,62.000000,62.000000,62.000000,62.000000,62.000000,62.000000,62.000000,62.000000,62.00,62.00,62.00,62.00,62.00,62,62,62,62.00,62,62
63,2009-07-09,63,2003-11-28,1986-02-26,G,S,,,,,,,,,,,,,,63.00,63.00,63.00,63.00,63.000000,63.00,63.000000,63.00,63.00,63.000000,63.000000,63.000000,63.000000,63.000000,63.000000,63.000000,63.000000,63.000000,63.000000,63.000000,63.000000,63.000000,63.000000,63.000000,63.000000,63.00,63.00,63.00,63.00,63.00,63,63,63,63.00,63,63
64,1991-05-04,64,1981-03-28,1999-05-03,M,A,,,,,,,,,,,,,,64.00,64.00,64.00,64.00,64.000000,64.00,64.000000,64.00,64.00,64.000000,64.000000,64.000000,64.000000,64.000000,64.000000,64.000000,64.000000,64.000000,64.000000,64.000000,64.000000,64.000000,64.000000,64.000000,64.000000,64.00,64.00,64.00,64.00,64.00,64,64,64,64.00,64,64
