id_dsf_bsm_operations,dh_sys,id_ds_vrs,cd_evn,dh_evn,time_id,pos_id,doc_id,evt_id,pkt_seq_nr,veri_date,trx_date,val_date,perf_date,bu_id,is_reversal_clc,is_atrx,meta_type_id,meta_type_name,order_type_id,order_type_name,pos_typ,wfc_status_id,wfc_status_name,medium_id,medium_name,bp_id,bp_nr,cont_id,cont_nr,cont_curry_id,cont_curry_iso,macc_nr,macc_curry_iso,cont_type_intl_cd,asset_id,asset_name,isin,mkt_id,mkt_name,mkt_country_id,mkt_country_name,pos_curry_id,pos_curry_iso,book_kind_name,qty,price_curry_id,price_curry_iso,price,gross_amount_pos,fees_pos,net_amount_pos,accr_intr_pos,fx_rate_pos_cont,gross_amount_cont,fees_cont,net_amount_cont,accr_intr_cont,fx_rate_pos_bu,gross_amount_bu,fees_bu,net_amount_bu,accr_intr_bu,is_operation_clc,dt_run,deal_spot_rate,deal_fwd_rate,fx_curry_1_iso,fx_qty_1,fx_curry_2_iso,fx_qty_2,spot_spread,trdr_rate,fwd_bps,pict,mkt_fwd_bps_bu,fwd_spread_bu,spot_spread_bu,strike,fx_gross_amount,fx_gross_curry_iso,fx_net_amount,call_curry_name,call_qty,put_curry_iso,put_qty,prem,prem_qty,prem_calc_type_intl,prem_calc_type_name,spread,spread_qty,dh_uti_cre,lb_uti_cre,lb_wkf_cre,lb_ses_cre,dh_uti_upd,lb_uti_upd,lb_wkf_upd,lb_ses_upd
10,2010-04-15 00:38:42.000000,10,10,1983-11-19 01:04:14.000000,N       ,10,10,10,10.0000000,2000-05-17 05:13:17.000000,1990-03-31 05:09:59.000000,2017-08-03 01:05:58.000000,1976-02-11 08:16:50.000000,10,D,S ,10,B,10,T,S,10,L,10,H,10,A,10,P,10,T,G,T,P,10,C,A,10,J,10,L,10,V,G,10.0000000,10,T,10.000000000000,10.0000000,10.0000000,10.0000000,10.0000000,10.00000000000000000000,10.0000000,10.0000000,10.0000000,10.0000000,10.00000000000000000000,10.0000000,10.0000000,10.0000000,10.0000000,L,1992-07-07,10.00000000000000000000,10.00000000000000000000,J,10.0000000,D,10.0000000,10.00000000000000000000,10.00000000000000000000,10.00000000000000000000,10,10.00000000000000000000,10.00000000000000000000,10.0000000,10.00000000000000000000,10.0000000,A,10.0000000,G,10.0000000,M,10.0000000,10.00000000000000000000,10.00000000000000000000,T,B,10.00000000000000000000,10.00000000000000000000,2010-09-28 11:06:47.000000,L,G,N,1993-06-28 03:28:51.000000,C,P,A
11,1970-12-12 17:59:49.000000,11,11,2008-09-21 00:39:00.000000,N       ,11,11,11,11.0000000,1993-07-01 08:50:49.000000,1980-08-02 18:43:49.000000,2003-10-11 18:14:54.000000,2003-10-09 07:51:50.000000,11,N,M ,11,B,11,I,S,11,M,11,P,11,U,11,K,11,G,G,K,L,11,C,T,11,K,11,A,11,N,C,11.0000000,11,B,11.000000000000,11.0000000,11.0000000,11.0000000,11.0000000,11.00000000000000000000,11.0000000,11.0000000,11.0000000,11.0000000,11.00000000000000000000,11.0000000,11.0000000,11.0000000,11.0000000,C,1979-07-13,11.00000000000000000000,11.00000000000000000000,M,11.0000000,S,11.0000000,11.00000000000000000000,11.00000000000000000000,11.00000000000000000000,11,11.00000000000000000000,11.00000000000000000000,11.0000000,11.00000000000000000000,11.0000000,N,11.0000000,F,11.0000000,S,11.0000000,11.00000000000000000000,11.00000000000000000000,V,A,11.00000000000000000000,11.00000000000000000000,1972-04-21 02:16:28.000000,N,P,S,2022-08-22 14:36:47.000000,B,B,E
12,2005-07-14 03:00:57.000000,12,12,1981-03-03 05:05:51.000000,L       ,12,12,12,12.0000000,2016-07-19 06:47:58.000000,2017-07-08 19:48:54.000000,1990-09-12 04:17:41.000000,2019-10-12 21:51:44.000000,12,H,C ,12,N,12,B,M,12,C,12,P,12,D,12,T,12,P,T,V,L,12,S,M,12,B,12,G,12,L,B,12.0000000,12,T,12.000000000000,12.0000000,12.0000000,12.0000000,12.0000000,12.00000000000000000000,12.0000000,12.0000000,12.0000000,12.0000000,12.00000000000000000000,12.0000000,12.0000000,12.0000000,12.0000000,U,1974-12-27,12.00000000000000000000,12.00000000000000000000,E,12.0000000,E,12.0000000,12.00000000000000000000,12.00000000000000000000,12.00000000000000000000,12,12.00000000000000000000,12.00000000000000000000,12.0000000,12.00000000000000000000,12.0000000,E,12.0000000,J,12.0000000,P,12.0000000,12.00000000000000000000,12.00000000000000000000,C,J,12.00000000000000000000,12.00000000000000000000,1980-02-23 18:07:26.000000,I,L,A,2020-03-24 11:25:43.000000,L,C,K
13,1997-04-15 05:15:17.000000,13,13,1993-06-06 11:20:02.000000,N       ,13,13,13,13.0000000,1992-06-20 12:37:24.000000,2014-06-06 15:20:14.000000,1984-11-05 23:00:54.000000,2006-01-04 16:47:43.000000,13,G,S ,13,L,13,C,B,13,G,13,Z,13,T,13,C,13,I,A,M,E,13,M,S,13,M,13,I,13,B,C,13.0000000,13,B,13.000000000000,13.0000000,13.0000000,13.0000000,13.0000000,13.00000000000000000000,13.0000000,13.0000000,13.0000000,13.0000000,13.00000000000000000000,13.0000000,13.0000000,13.0000000,13.0000000,C,2018-08-24,13.00000000000000000000,13.00000000000000000000,L,13.0000000,Z,13.0000000,13.00000000000000000000,13.00000000000000000000,13.00000000000000000000,13,13.00000000000000000000,13.00000000000000000000,13.0000000,13.00000000000000000000,13.0000000,L,13.0000000,C,13.0000000,B,13.0000000,13.00000000000000000000,13.00000000000000000000,L,K,13.00000000000000000000,13.00000000000000000000,1987-09-22 07:29:00.000000,B,S,S,2010-01-24 14:37:23.000000,G,T,Z
14,2020-05-09 01:18:03.000000,14,14,1993-12-18 07:45:58.000000,S       ,14,14,14,14.0000000,1992-09-08 00:24:30.000000,1976-07-15 16:18:23.000000,1983-08-10 15:36:07.000000,1973-10-26 15:09:43.000000,14,B,B ,14,P,14,A,T,14,A,14,S,14,D,14,D,14,C,M,S,C,14,V,S,14,I,14,C,14,B,C,14.0000000,14,K,14.000000000000,14.0000000,14.0000000,14.0000000,14.0000000,14.00000000000000000000,14.0000000,14.0000000,14.0000000,14.0000000,14.00000000000000000000,14.0000000,14.0000000,14.0000000,14.0000000,P,2013-10-24,14.00000000000000000000,14.00000000000000000000,K,14.0000000,L,14.0000000,14.00000000000000000000,14.00000000000000000000,14.00000000000000000000,14,14.00000000000000000000,14.00000000000000000000,14.0000000,14.00000000000000000000,14.0000000,A,14.0000000,H,14.0000000,S,14.0000000,14.00000000000000000000,14.00000000000000000000,L,N,14.00000000000000000000,14.00000000000000000000,1989-04-06 23:26:09.000000,S,K,L,2007-09-30 10:53:40.000000,G,S,M
15,2019-10-25 15:26:26.000000,15,15,1987-05-22 20:14:19.000000,B       ,15,15,15,15.0000000,2003-06-09 02:19:46.000000,2020-08-04 21:01:15.000000,1990-03-11 11:29:46.000000,2010-06-24 15:31:47.000000,15,A,C ,15,M,15,V,L,15,U,15,B,15,M,15,K,15,K,J,S,Q,15,S,B,15,C,15,S,15,D,H,15.0000000,15,C,15.000000000000,15.0000000,15.0000000,15.0000000,15.0000000,15.00000000000000000000,15.0000000,15.0000000,15.0000000,15.0000000,15.00000000000000000000,15.0000000,15.0000000,15.0000000,15.0000000,L,1991-04-12,15.00000000000000000000,15.00000000000000000000,N,15.0000000,N,15.0000000,15.00000000000000000000,15.00000000000000000000,15.00000000000000000000,15,15.00000000000000000000,15.00000000000000000000,15.0000000,15.00000000000000000000,15.0000000,B,15.0000000,U,15.0000000,M,15.0000000,15.00000000000000000000,15.00000000000000000000,N,S,15.00000000000000000000,15.00000000000000000000,2018-12-07 09:22:37.000000,B,A,M,1970-09-08 21:07:38.000000,K,D,M
16,2008-03-25 06:45:15.000000,16,16,1997-09-18 21:05:38.000000,I       ,16,16,16,16.0000000,1997-12-18 02:40:55.000000,2017-11-15 23:48:01.000000,1992-10-27 19:05:06.000000,2015-12-03 03:13:48.000000,16,T,B ,16,M,16,D,G,16,T,16,F,16,U,16,C,16,S,M,M,C,16,B,B,16,L,16,L,16,C,D,16.0000000,16,A,16.000000000000,16.0000000,16.0000000,16.0000000,16.0000000,16.00000000000000000000,16.0000000,16.0000000,16.0000000,16.0000000,16.00000000000000000000,16.0000000,16.0000000,16.0000000,16.0000000,L,2013-06-22,16.00000000000000000000,16.00000000000000000000,B,16.0000000,P,16.0000000,16.00000000000000000000,16.00000000000000000000,16.00000000000000000000,16,16.00000000000000000000,16.00000000000000000000,16.0000000,16.00000000000000000000,16.0000000,B,16.0000000,F,16.0000000,A,16.0000000,16.00000000000000000000,16.00000000000000000000,J,J,16.00000000000000000000,16.00000000000000000000,2021-01-31 09:22:45.000000,S,B,K,1994-11-28 17:07:12.000000,L,Z,J
17,1992-12-27 00:40:05.000000,17,17,2011-11-23 17:52:52.000000,C       ,17,17,17,17.0000000,1996-04-11 10:54:29.000000,2015-11-22 10:46:04.000000,2010-10-06 16:35:25.000000,1993-01-04 09:11:38.000000,17,T,S ,17,S,17,T,B,17,K,17,L,17,P,17,B,17,L,P,K,V,17,J,D,17,A,17,P,17,C,M,17.0000000,17,C,17.000000000000,17.0000000,17.0000000,17.0000000,17.0000000,17.00000000000000000000,17.0000000,17.0000000,17.0000000,17.0000000,17.00000000000000000000,17.0000000,17.0000000,17.0000000,17.0000000,B,1996-12-20,17.00000000000000000000,17.00000000000000000000,C,17.0000000,N,17.0000000,17.00000000000000000000,17.00000000000000000000,17.00000000000000000000,17,17.00000000000000000000,17.00000000000000000000,17.0000000,17.00000000000000000000,17.0000000,B,17.0000000,T,17.0000000,M,17.0000000,17.00000000000000000000,17.00000000000000000000,N,T,17.00000000000000000000,17.00000000000000000000,2018-08-05 07:56:36.000000,P,F,K,1994-05-09 21:41:03.000000,V,B,M
18,2015-07-17 21:13:43.000000,18,18,1993-04-28 00:39:44.000000,B       ,18,18,18,18.0000000,2013-08-12 05:09:52.000000,2007-12-19 22:16:16.000000,1973-08-19 00:03:26.000000,1974-03-22 18:14:58.000000,18,C,G ,18,B,18,M,A,18,O,18,G,18,D,18,L,18,I,L,N,L,18,S,L,18,U,18,T,18,A,G,18.0000000,18,S,18.000000000000,18.0000000,18.0000000,18.0000000,18.0000000,18.00000000000000000000,18.0000000,18.0000000,18.0000000,18.0000000,18.00000000000000000000,18.0000000,18.0000000,18.0000000,18.0000000,M,1981-10-27,18.00000000000000000000,18.00000000000000000000,D,18.0000000,G,18.0000000,18.00000000000000000000,18.00000000000000000000,18.00000000000000000000,18,18.00000000000000000000,18.00000000000000000000,18.0000000,18.00000000000000000000,18.0000000,B,18.0000000,A,18.0000000,C,18.0000000,18.00000000000000000000,18.00000000000000000000,G,V,18.00000000000000000000,18.00000000000000000000,2003-01-17 07:06:17.000000,L,T,P,1989-01-29 18:15:44.000000,S,Z,T
19,1976-10-25 12:25:00.000000,19,19,2003-01-02 05:08:08.000000,G       ,19,19,19,19.0000000,1986-01-17 11:31:37.000000,1983-03-15 02:29:40.000000,1994-01-16 10:00:44.000000,1973-01-18 17:40:07.000000,19,B,F ,19,Z,19,L,B,19,B,19,L,19,K,19,L,19,T,B,G,P,19,E,L,19,A,19,S,19,E,H,19.0000000,19,M,19.000000000000,19.0000000,19.0000000,19.0000000,19.0000000,19.00000000000000000000,19.0000000,19.0000000,19.0000000,19.0000000,19.00000000000000000000,19.0000000,19.0000000,19.0000000,19.0000000,M,2008-12-09,19.00000000000000000000,19.00000000000000000000,M,19.0000000,N,19.0000000,19.00000000000000000000,19.00000000000000000000,19.00000000000000000000,19,19.00000000000000000000,19.00000000000000000000,19.0000000,19.00000000000000000000,19.0000000,T,19.0000000,Z,19.0000000,T,19.0000000,19.00000000000000000000,19.00000000000000000000,F,M,19.00000000000000000000,19.00000000000000000000,1980-10-28 04:12:50.000000,B,T,N,2008-12-08 10:22:00.000000,W,Z,G
20,2006-05-01 12:49:40.000000,20,20,1989-02-20 18:00:32.000000,K       ,20,20,20,20.0000000,1998-08-10 04:14:15.000000,1987-06-04 06:53:33.000000,1997-11-07 07:34:11.000000,1997-05-02 17:21:07.000000,20,K,T ,20,B,20,L,B,20,C,20,N,20,F,20,P,20,K,A,C,L,20,M,M,20,G,20,S,20,A,O,20.0000000,20,C,20.000000000000,20.0000000,20.0000000,20.0000000,20.0000000,20.00000000000000000000,20.0000000,20.0000000,20.0000000,20.0000000,20.00000000000000000000,20.0000000,20.0000000,20.0000000,20.0000000,W,2021-12-22,20.00000000000000000000,20.00000000000000000000,H,20.0000000,K,20.0000000,20.00000000000000000000,20.00000000000000000000,20.00000000000000000000,20,20.00000000000000000000,20.00000000000000000000,20.0000000,20.00000000000000000000,20.0000000,P,20.0000000,D,20.0000000,D,20.0000000,20.00000000000000000000,20.00000000000000000000,M,S,20.00000000000000000000,20.00000000000000000000,1979-03-19 07:13:30.000000,U,I,C,1971-12-03 00:54:12.000000,T,I,T
21,1976-09-03 08:05:00.000000,21,21,2020-08-03 10:49:30.000000,I       ,21,21,21,21.0000000,1976-02-29 00:36:40.000000,1973-05-15 20:54:43.000000,1996-08-04 23:35:27.000000,1991-08-13 05:59:04.000000,21,G,P ,21,L,21,B,P,21,H,21,B,21,R,21,K,21,E,N,B,K,21,E,B,21,T,21,B,21,B,K,21.0000000,21,G,21.000000000000,21.0000000,21.0000000,21.0000000,21.0000000,21.00000000000000000000,21.0000000,21.0000000,21.0000000,21.0000000,21.00000000000000000000,21.0000000,21.0000000,21.0000000,21.0000000,H,1985-09-28,21.00000000000000000000,21.00000000000000000000,K,21.0000000,Z,21.0000000,21.00000000000000000000,21.00000000000000000000,21.00000000000000000000,21,21.00000000000000000000,21.00000000000000000000,21.0000000,21.00000000000000000000,21.0000000,I,21.0000000,N,21.0000000,S,21.0000000,21.00000000000000000000,21.00000000000000000000,M,A,21.00000000000000000000,21.00000000000000000000,2020-02-13 14:04:49.000000,R,B,B,1973-09-15 14:28:11.000000,N,I,A
22,2006-09-25 01:18:56.000000,22,22,1979-05-26 13:35:33.000000,L       ,22,22,22,22.0000000,2016-03-12 23:04:53.000000,1981-09-23 01:30:52.000000,1986-06-17 10:21:10.000000,2006-12-09 04:16:15.000000,22,O,S ,22,T,22,T,K,22,C,22,C,22,T,22,T,22,R,F,G,B,22,A,D,22,N,22,G,22,L,R,22.0000000,22,E,22.000000000000,22.0000000,22.0000000,22.0000000,22.0000000,22.00000000000000000000,22.0000000,22.0000000,22.0000000,22.0000000,22.00000000000000000000,22.0000000,22.0000000,22.0000000,22.0000000,F,1976-11-23,22.00000000000000000000,22.00000000000000000000,S,22.0000000,C,22.0000000,22.00000000000000000000,22.00000000000000000000,22.00000000000000000000,22,22.00000000000000000000,22.00000000000000000000,22.0000000,22.00000000000000000000,22.0000000,N,22.0000000,B,22.0000000,C,22.0000000,22.00000000000000000000,22.00000000000000000000,D,N,22.00000000000000000000,22.00000000000000000000,2004-08-30 10:26:54.000000,C,B,T,1996-01-08 09:42:40.000000,V,I,C
23,2001-01-08 01:57:19.000000,23,23,1975-03-08 05:31:05.000000,T       ,23,23,23,23.0000000,1992-08-20 02:49:15.000000,1974-05-14 04:57:11.000000,1991-12-04 00:03:47.000000,2018-11-28 10:33:49.000000,23,Y,S ,23,B,23,E,A,23,A,23,N,23,L,23,S,23,B,B,E,B,23,A,D,23,G,23,U,23,D,B,23.0000000,23,J,23.000000000000,23.0000000,23.0000000,23.0000000,23.0000000,23.00000000000000000000,23.0000000,23.0000000,23.0000000,23.0000000,23.00000000000000000000,23.0000000,23.0000000,23.0000000,23.0000000,C,1993-07-21,23.00000000000000000000,23.00000000000000000000,G,23.0000000,S,23.0000000,23.00000000000000000000,23.00000000000000000000,23.00000000000000000000,23,23.00000000000000000000,23.00000000000000000000,23.0000000,23.00000000000000000000,23.0000000,G,23.0000000,S,23.0000000,U,23.0000000,23.00000000000000000000,23.00000000000000000000,C,L,23.00000000000000000000,23.00000000000000000000,1987-09-20 14:51:04.000000,C,M,F,1988-05-27 09:18:44.000000,C,G,V
