id_dsf_bsm_xrate,dh_sys,id_ds_vrs,cd_evn,dh_evn,curry_id,curry_name,description,termin,unit,xrate_factor,xrate_date,factor,time_id,ref_date,dt_run,dh_uti_cre,lb_uti_cre,lb_wkf_cre,lb_ses_cre,dh_uti_upd,lb_uti_upd,lb_wkf_upd,lb_ses_upd
12,1974-12-25 05:23:49.000000,12,12,2022-09-01 22:12:29.000000,12,G,B,12.0000000,12.0000000,12.00000000000000000000,1991-04-23 22:24:20.000000,12.0000000,M,2004-10-18 01:40:06.000000,2009-05-05,1988-07-14 18:00:02.000000,F,K,U,2010-06-24 07:41:27.000000,G,C,B
13,2005-05-21 07:54:14.000000,13,13,2004-05-15 02:21:30.000000,13,S,H,13.0000000,13.0000000,13.00000000000000000000,1992-11-24 13:44:54.000000,13.0000000,O,2021-06-21 09:14:15.000000,2003-10-29,1989-02-20 00:12:15.000000,O,T,A,1975-04-27 06:37:41.000000,M,M,H
14,2011-05-17 13:59:20.000000,14,14,1984-08-19 01:38:53.000000,14,M,D,14.0000000,14.0000000,14.00000000000000000000,2014-10-20 22:33:53.000000,14.0000000,V,1990-01-23 03:23:16.000000,2017-04-07,2018-06-12 09:45:03.000000,D,M,K,1977-11-07 08:38:09.000000,T,L,C
15,1992-05-25 20:20:21.000000,15,15,2006-07-28 10:05:00.000000,15,S,E,15.0000000,15.0000000,15.00000000000000000000,1983-11-17 07:57:39.000000,15.0000000,G,1988-12-04 17:10:14.000000,1999-12-30,1979-08-26 08:47:38.000000,P,F,M,2010-03-11 15:49:18.000000,A,L,V
16,1980-05-22 14:00:27.000000,16,16,1974-04-29 00:26:48.000000,16,F,G,16.0000000,16.0000000,16.00000000000000000000,1987-06-23 00:39:42.000000,16.0000000,M,1977-09-14 03:24:36.000000,1987-12-17,1992-05-05 23:45:30.000000,S,Z,K,2006-05-02 13:06:33.000000,E,W,S
17,2004-11-15 14:57:11.000000,17,17,1970-10-07 19:56:45.000000,17,L,I,17.0000000,17.0000000,17.00000000000000000000,2003-02-23 20:18:55.000000,17.0000000,B,2005-11-18 08:53:26.000000,1986-11-14,2009-09-05 09:50:16.000000,I,L,P,2003-05-28 15:03:04.000000,L,I,S
18,1997-02-12 08:31:45.000000,18,18,1978-01-28 15:54:41.000000,18,B,B,18.0000000,18.0000000,18.00000000000000000000,2002-06-09 09:08:51.000000,18.0000000,M,2010-05-31 23:07:18.000000,1997-08-29,1980-08-08 17:28:53.000000,B,P,K,1988-02-06 14:38:30.000000,G,I,T
19,2007-10-30 21:55:03.000000,19,19,2013-02-06 17:25:19.000000,19,M,M,19.0000000,19.0000000,19.00000000000000000000,2016-03-11 11:31:32.000000,19.0000000,N,2020-01-25 00:36:35.000000,1983-04-01,1973-01-05 09:55:02.000000,P,T,K,2009-08-18 12:18:04.000000,C,R,J
20,1985-07-17 02:49:57.000000,20,20,1997-02-14 20:56:15.000000,20,I,B,20.0000000,20.0000000,20.00000000000000000000,2004-07-06 17:52:52.000000,20.0000000,B,2009-11-09 00:21:49.000000,1986-11-02,2022-01-29 16:45:54.000000,B,N,M,1993-03-13 20:11:35.000000,K,S,K
21,1972-03-07 19:09:42.000000,21,21,2015-04-10 12:59:58.000000,21,K,P,21.0000000,21.0000000,21.00000000000000000000,2006-11-07 19:41:34.000000,21.0000000,M,2002-03-10 08:07:13.000000,1995-05-21,2012-06-30 10:52:26.000000,M,P,V,1990-06-19 01:31:07.000000,A,Q,M
22,1974-05-03 08:03:23.000000,22,22,1993-06-12 00:29:19.000000,22,M,V,22.0000000,22.0000000,22.00000000000000000000,1985-11-08 06:37:24.000000,22.0000000,C,1970-05-08 04:20:39.000000,2010-11-30,1983-03-22 09:48:27.000000,H,E,A,1995-04-25 03:51:00.000000,N,H,M
23,2011-06-11 12:28:29.000000,23,23,2004-10-14 07:56:18.000000,23,B,C,23.0000000,23.0000000,23.00000000000000000000,2022-02-14 08:27:57.000000,23.0000000,K,2010-01-22 21:55:58.000000,1982-08-03,2002-07-25 16:16:53.000000,L,H,S,1982-09-05 18:40:39.000000,T,E,T
24,2013-02-16 18:33:25.000000,24,24,2019-08-01 02:43:42.000000,24,S,B,24.0000000,24.0000000,24.00000000000000000000,1977-10-29 00:21:54.000000,24.0000000,M,1984-12-01 03:37:19.000000,1970-03-18,1974-12-27 23:40:35.000000,C,A,S,2020-08-16 02:16:22.000000,J,G,C
25,1977-12-13 21:07:51.000000,25,25,1971-02-12 15:27:53.000000,25,M,D,25.0000000,25.0000000,25.00000000000000000000,2000-02-13 18:34:34.000000,25.0000000,S,2020-12-03 13:53:38.000000,2000-12-10,1995-01-20 22:26:30.000000,A,K,T,2016-08-16 15:24:47.000000,N,P,L
26,1972-09-18 16:12:01.000000,26,26,2013-11-02 11:26:02.000000,26,C,S,26.0000000,26.0000000,26.00000000000000000000,1994-02-26 11:57:53.000000,26.0000000,O,1980-08-03 23:52:52.000000,2013-08-29,1983-10-01 04:23:06.000000,P,B,F,2010-04-20 03:09:35.000000,H,L,K
27,1974-08-18 07:25:25.000000,27,27,1972-10-20 20:36:31.000000,27,L,M,27.0000000,27.0000000,27.00000000000000000000,2006-02-17 16:26:50.000000,27.0000000,I,1983-05-18 11:22:17.000000,2003-05-18,1981-09-11 06:42:38.000000,B,N,A,2016-02-17 07:45:51.000000,B,K,A
28,1971-08-17 23:43:11.000000,28,28,1997-02-09 00:44:17.000000,28,B,J,28.0000000,28.0000000,28.00000000000000000000,1999-12-30 22:59:55.000000,28.0000000,I,1988-04-05 01:25:47.000000,1970-05-12,2017-10-01 01:46:15.000000,D,B,A,1972-01-21 14:31:14.000000,T,C,E
29,1971-07-31 02:58:58.000000,29,29,2009-05-08 23:18:42.000000,29,A,B,29.0000000,29.0000000,29.00000000000000000000,2010-11-22 07:05:05.000000,29.0000000,R,1981-11-07 15:48:12.000000,1987-02-06,2008-10-15 09:49:09.000000,U,C,K,1989-11-19 08:45:33.000000,A,B,P
30,2017-02-01 22:24:03.000000,30,30,2003-08-15 09:56:10.000000,30,K,L,30.0000000,30.0000000,30.00000000000000000000,2007-11-06 16:05:29.000000,30.0000000,S,1980-11-11 00:59:59.000000,2012-12-19,2014-12-28 18:50:09.000000,K,M,R,2019-06-11 04:05:31.000000,I,N,Z
31,1990-11-16 11:15:00.000000,31,31,1981-02-06 06:15:57.000000,31,I,K,31.0000000,31.0000000,31.00000000000000000000,2007-01-03 18:02:27.000000,31.0000000,N,2007-03-16 03:28:57.000000,1997-02-12,2009-11-25 06:32:10.000000,A,L,F,1982-05-05 02:56:10.000000,N,K,N
32,2002-02-11 11:52:28.000000,32,32,1985-05-22 23:36:45.000000,32,C,A,32.0000000,32.0000000,32.00000000000000000000,2016-06-28 22:19:56.000000,32.0000000,L,1985-02-28 01:59:29.000000,2005-11-09,2012-01-05 07:47:16.000000,P,M,D,1981-08-26 00:12:06.000000,F,L,S
33,2009-03-02 11:12:20.000000,33,33,1990-01-17 09:42:17.000000,33,S,B,33.0000000,33.0000000,33.00000000000000000000,2020-04-16 01:30:19.000000,33.0000000,A,2000-07-05 07:27:18.000000,1983-07-17,1986-12-15 00:22:08.000000,G,M,B,1982-01-17 23:07:01.000000,J,G,B
34,1975-12-27 16:43:07.000000,34,34,1999-04-02 11:35:05.000000,34,M,I,34.0000000,34.0000000,34.00000000000000000000,1995-12-21 01:46:46.000000,34.0000000,A,1977-02-15 19:56:27.000000,1984-02-09,1998-04-13 21:24:28.000000,M,G,K,1980-01-31 21:38:27.000000,B,G,O
35,1990-10-20 07:26:11.000000,35,35,1984-09-12 12:57:37.000000,35,S,S,35.0000000,35.0000000,35.00000000000000000000,1988-02-26 15:00:13.000000,35.0000000,M,1970-07-14 09:10:15.000000,1971-07-07,1976-09-03 04:23:27.000000,M,T,C,2022-09-16 12:56:31.000000,V,S,A
36,1979-09-23 22:18:29.000000,36,36,1996-04-07 21:27:11.000000,36,U,G,36.0000000,36.0000000,36.00000000000000000000,2015-07-29 14:34:09.000000,36.0000000,L,2020-11-20 01:38:28.000000,1984-09-18,2020-09-29 13:34:28.000000,P,V,B,2022-01-30 08:40:09.000000,V,C,S
37,2005-06-15 01:30:13.000000,37,37,2008-09-23 23:47:29.000000,37,T,F,37.0000000,37.0000000,37.00000000000000000000,1984-06-13 14:13:28.000000,37.0000000,D,2011-08-29 22:07:44.000000,1990-11-10,1975-11-24 17:17:49.000000,F,L,K,1990-12-15 17:55:42.000000,V,G,B
38,2017-12-07 09:29:53.000000,38,38,1972-01-13 18:06:51.000000,38,B,N,38.0000000,38.0000000,38.00000000000000000000,2007-06-12 17:24:39.000000,38.0000000,D,2001-11-13 16:25:56.000000,2016-10-28,1970-11-24 23:49:59.000000,N,U,F,1988-07-26 05:06:58.000000,B,C,L
39,1997-05-25 21:20:34.000000,39,39,1988-02-28 12:28:51.000000,39,A,V,39.0000000,39.0000000,39.00000000000000000000,2009-10-21 03:38:54.000000,39.0000000,I,1996-08-25 01:17:41.000000,2006-02-18,1992-05-27 00:23:00.000000,S,S,C,2000-07-09 11:13:55.000000,F,C,S
40,2019-09-23 14:05:38.000000,40,40,1991-01-02 06:22:59.000000,40,D,B,40.0000000,40.0000000,40.00000000000000000000,2008-10-05 08:23:19.000000,40.0000000,S,1994-12-14 23:41:52.000000,1978-12-08,1971-02-25 08:00:24.000000,E,C,I,1976-08-26 08:07:23.000000,F,E,C
41,2015-11-14 09:20:04.000000,41,41,1975-06-28 21:03:31.000000,41,H,Z,41.0000000,41.0000000,41.00000000000000000000,1989-04-10 17:19:31.000000,41.0000000,S,2006-08-13 15:35:40.000000,2001-03-05,2000-12-04 15:18:55.000000,M,B,T,2008-10-21 00:05:58.000000,A,Z,B
42,2010-01-15 13:15:00.000000,42,42,1973-06-14 15:50:54.000000,42,D,V,42.0000000,42.0000000,42.00000000000000000000,1985-11-24 20:45:08.000000,42.0000000,C,1979-12-02 06:00:50.000000,1971-07-03,2011-09-20 20:18:37.000000,T,C,M,2013-11-26 03:43:55.000000,K,W,K
43,1992-02-02 18:22:21.000000,43,43,1979-05-30 17:21:10.000000,43,M,B,43.0000000,43.0000000,43.00000000000000000000,2011-03-02 13:44:00.000000,43.0000000,T,2000-03-15 07:28:28.000000,2014-02-13,1988-07-19 04:59:56.000000,S,M,K,2010-06-12 03:17:02.000000,Z,M,S
44,1988-12-06 17:55:47.000000,44,44,1997-01-14 20:39:48.000000,44,M,M,44.0000000,44.0000000,44.00000000000000000000,1972-03-07 14:59:07.000000,44.0000000,P,2014-08-29 05:41:56.000000,1988-09-21,2004-10-08 18:45:51.000000,V,N,D,1985-01-12 16:57:31.000000,L,L,S
45,2021-03-24 12:25:52.000000,45,45,1978-09-09 13:53:23.000000,45,N,P,45.0000000,45.0000000,45.00000000000000000000,2017-02-11 01:54:37.000000,45.0000000,M,2022-01-31 10:01:04.000000,1975-05-23,2010-12-13 00:20:00.000000,M,M,K,2016-05-04 08:53:22.000000,C,I,O
46,1988-02-16 10:18:21.000000,46,46,1995-05-12 08:31:55.000000,46,L,I,46.0000000,46.0000000,46.00000000000000000000,1974-08-19 02:53:51.000000,46.0000000,J,1978-09-13 07:09:44.000000,2018-12-15,1985-07-08 00:00:05.000000,F,E,L,2018-07-08 08:52:57.000000,D,A,S
47,1988-10-20 02:14:06.000000,47,47,1990-12-22 21:06:36.000000,47,S,B,47.0000000,47.0000000,47.00000000000000000000,1996-03-20 22:17:28.000000,47.0000000,P,2003-06-30 18:00:02.000000,2007-02-01,1984-02-07 04:53:46.000000,M,C,G,1981-01-14 01:30:52.000000,E,G,B
48,1979-01-16 22:45:36.000000,48,48,2004-02-09 18:09:54.000000,48,I,N,48.0000000,48.0000000,48.00000000000000000000,1994-11-21 09:35:42.000000,48.0000000,M,1985-02-08 09:14:33.000000,2012-06-05,2006-10-04 21:04:53.000000,C,P,P,1984-12-30 20:51:43.000000,P,B,B
49,1995-08-05 00:42:13.000000,49,49,1994-06-27 18:39:37.000000,49,A,L,49.0000000,49.0000000,49.00000000000000000000,2001-07-04 16:06:03.000000,49.0000000,B,2018-11-13 07:17:55.000000,1974-04-08,1991-10-19 19:39:04.000000,F,P,G,1982-03-16 08:21:49.000000,N,B,S
50,1978-09-13 21:12:05.000000,50,50,1995-11-17 03:08:51.000000,50,U,D,50.0000000,50.0000000,50.00000000000000000000,1978-07-03 16:07:51.000000,50.0000000,G,2014-02-27 13:23:37.000000,1985-07-26,1998-08-17 15:59:22.000000,B,C,I,1999-01-31 09:00:13.000000,B,T,S
51,1999-02-03 14:08:16.000000,51,51,1990-05-29 12:43:19.000000,51,S,P,51.0000000,51.0000000,51.00000000000000000000,2020-08-07 19:41:42.000000,51.0000000,T,1984-07-22 15:25:46.000000,2005-02-10,2001-11-30 16:41:53.000000,C,L,I,1992-07-25 22:17:46.000000,S,S,A
52,1983-07-09 20:09:33.000000,52,52,2012-10-10 00:22:43.000000,52,L,B,52.0000000,52.0000000,52.00000000000000000000,1988-10-07 01:03:40.000000,52.0000000,C,2019-09-02 21:16:56.000000,2020-11-07,2010-03-20 18:40:58.000000,C,H,L,2011-04-23 06:59:04.000000,G,I,B
53,1996-03-10 09:30:33.000000,53,53,1994-04-19 01:42:21.000000,53,P,A,53.0000000,53.0000000,53.00000000000000000000,1989-09-23 09:49:50.000000,53.0000000,T,1995-07-26 11:20:20.000000,2012-08-21,2006-01-20 05:02:27.000000,K,A,C,2003-02-27 17:32:26.000000,C,P,B
54,2019-03-05 02:48:20.000000,54,54,1980-05-03 11:24:20.000000,54,T,C,54.0000000,54.0000000,54.00000000000000000000,1975-11-06 23:01:06.000000,54.0000000,N,1971-10-14 10:01:17.000000,2021-08-15,2011-08-28 23:16:31.000000,D,M,J,2022-11-25 15:37:57.000000,S,C,A
55,2000-07-22 04:49:15.000000,55,55,2015-05-12 03:17:07.000000,55,P,G,55.0000000,55.0000000,55.00000000000000000000,2011-06-12 07:04:39.000000,55.0000000,T,2006-04-17 02:45:57.000000,1996-02-22,2009-11-15 08:02:33.000000,E,S,R,1979-01-08 21:33:16.000000,S,T,B
56,1990-05-28 20:03:35.000000,56,56,1987-09-06 08:17:47.000000,56,S,G,56.0000000,56.0000000,56.00000000000000000000,1970-05-16 17:32:01.000000,56.0000000,D,2013-04-04 08:19:33.000000,1974-05-14,1974-09-28 04:45:23.000000,I,T,L,2002-12-02 00:47:10.000000,T,A,T
57,2001-03-11 00:41:13.000000,57,57,1987-03-12 09:25:31.000000,57,M,Z,57.0000000,57.0000000,57.00000000000000000000,1977-04-05 04:54:15.000000,57.0000000,N,2018-09-04 15:44:54.000000,1987-04-23,1979-09-26 00:54:32.000000,M,M,L,1979-12-31 23:05:32.000000,J,T,N
58,2009-06-19 15:35:23.000000,58,58,2001-10-26 15:47:11.000000,58,O,I,58.0000000,58.0000000,58.00000000000000000000,2008-07-08 19:44:54.000000,58.0000000,S,1972-07-29 06:33:15.000000,2017-12-28,1995-04-11 05:47:35.000000,T,C,B,2019-08-03 03:20:41.000000,B,H,I
59,1970-12-26 07:08:43.000000,59,59,2014-09-19 10:12:31.000000,59,R,P,59.0000000,59.0000000,59.00000000000000000000,1991-07-03 13:58:48.000000,59.0000000,N,1970-11-16 09:50:59.000000,2010-07-25,1974-01-30 06:36:29.000000,H,G,K,2003-10-20 23:48:34.000000,L,A,I
60,1970-04-07 05:59:27.000000,60,60,2001-03-23 06:04:32.000000,60,R,P,60.0000000,60.0000000,60.00000000000000000000,1993-02-18 19:57:13.000000,60.0000000,G,1972-05-30 19:46:23.000000,1979-08-26,1983-02-23 23:04:53.000000,N,C,C,2023-03-07 10:19:23.000000,T,M,M
61,1982-08-16 20:21:41.000000,61,61,2003-02-04 11:05:42.000000,61,B,K,61.0000000,61.0000000,61.00000000000000000000,2003-02-25 17:57:13.000000,61.0000000,G,1984-08-12 04:31:12.000000,2013-07-17,1972-07-13 18:31:53.000000,Z,N,D,1993-01-28 13:29:56.000000,C,M,B
62,1976-09-29 05:55:16.000000,62,62,2023-03-03 14:42:46.000000,62,G,G,62.0000000,62.0000000,62.00000000000000000000,2012-12-28 14:53:44.000000,62.0000000,B,1994-07-04 06:25:19.000000,2013-10-05,2022-10-09 03:08:17.000000,C,K,U,1978-02-16 00:46:44.000000,M,L,V
63,1972-05-20 13:50:04.000000,63,63,2015-07-07 23:16:42.000000,63,T,L,63.0000000,63.0000000,63.00000000000000000000,1985-11-23 20:26:11.000000,63.0000000,C,2002-04-19 03:52:51.000000,2012-03-16,2015-02-02 23:00:08.000000,K,B,B,1984-10-13 16:19:48.000000,P,P,S
64,2007-08-10 05:39:45.000000,64,64,1977-09-01 19:01:19.000000,64,E,B,64.0000000,64.0000000,64.00000000000000000000,1970-03-02 06:22:03.000000,64.0000000,A,2017-11-29 20:28:35.000000,2005-11-02,2016-12-14 09:46:37.000000,R,F,P,2004-03-31 16:09:37.000000,A,P,M
65,2012-02-06 00:24:41.000000,65,65,2000-03-01 22:35:15.000000,65,P,M,65.0000000,65.0000000,65.00000000000000000000,1973-07-22 18:02:59.000000,65.0000000,P,2001-07-17 18:31:45.000000,1980-10-24,1996-01-26 04:05:27.000000,B,T,B,1977-09-23 03:34:48.000000,A,G,M
66,2013-03-25 07:25:42.000000,66,66,2001-07-26 03:09:12.000000,66,E,V,66.0000000,66.0000000,66.00000000000000000000,1971-08-24 20:38:36.000000,66.0000000,A,1979-11-23 21:16:00.000000,2009-06-09,1985-10-02 03:05:56.000000,L,G,K,1980-02-04 18:27:16.000000,I,C,C
67,2011-09-12 22:13:25.000000,67,67,1976-12-15 02:21:22.000000,67,B,M,67.0000000,67.0000000,67.00000000000000000000,2023-01-16 02:57:24.000000,67.0000000,U,2000-04-26 15:14:26.000000,1978-11-19,1983-10-13 08:17:40.000000,M,M,K,2000-08-13 04:52:40.000000,E,I,K
68,2014-10-29 02:28:36.000000,68,68,2004-07-04 02:05:31.000000,68,D,M,68.0000000,68.0000000,68.00000000000000000000,2006-06-04 01:59:26.000000,68.0000000,C,2004-03-01 12:13:26.000000,2019-06-28,2014-12-15 18:20:03.000000,S,G,W,2011-03-20 14:24:32.000000,F,W,I
69,2007-08-16 21:22:48.000000,69,69,1986-02-07 16:00:03.000000,69,C,G,69.0000000,69.0000000,69.00000000000000000000,2012-09-24 20:11:52.000000,69.0000000,M,1988-12-27 06:03:32.000000,2009-09-12,1982-07-28 15:01:55.000000,O,S,M,2021-01-25 08:06:20.000000,F,H,J
70,1977-05-17 14:53:24.000000,70,70,1978-12-01 08:04:58.000000,70,L,O,70.0000000,70.0000000,70.00000000000000000000,1994-08-06 23:46:24.000000,70.0000000,B,2011-10-02 00:16:03.000000,2010-11-20,1988-10-11 11:25:22.000000,L,S,H,2006-11-14 20:55:48.000000,L,M,M
71,1986-02-22 09:27:05.000000,71,71,2011-01-21 14:58:27.000000,71,K,W,71.0000000,71.0000000,71.00000000000000000000,1976-12-31 01:48:38.000000,71.0000000,S,2014-05-18 03:34:31.000000,2007-02-08,1999-04-22 07:23:26.000000,P,K,J,2005-05-18 12:35:28.000000,N,G,G
72,1995-12-10 20:08:35.000000,72,72,1975-08-03 22:03:58.000000,72,M,T,72.0000000,72.0000000,72.00000000000000000000,1982-07-22 16:50:30.000000,72.0000000,N,2005-05-02 04:36:53.000000,1977-10-23,2006-10-10 01:01:07.000000,V,S,U,1988-07-03 03:46:37.000000,S,F,H
73,1994-08-26 00:36:50.000000,73,73,2021-03-20 06:31:21.000000,73,C,N,73.0000000,73.0000000,73.00000000000000000000,1975-02-27 22:24:34.000000,73.0000000,I,2019-08-28 07:08:54.000000,1979-06-07,2019-01-05 23:16:57.000000,M,A,C,2021-11-17 10:55:06.000000,L,Z,G
74,1994-12-30 01:36:31.000000,74,74,1979-06-29 10:22:25.000000,74,S,B,74.0000000,74.0000000,74.00000000000000000000,1970-05-08 07:18:08.000000,74.0000000,N,1996-10-29 22:04:46.000000,1997-11-13,1995-11-12 06:16:39.000000,M,K,W,2008-10-05 03:53:55.000000,E,J,S
75,2008-12-27 13:21:24.000000,75,75,1999-11-14 09:56:27.000000,75,S,M,75.0000000,75.0000000,75.00000000000000000000,1972-02-16 23:52:42.000000,75.0000000,N,1975-11-08 10:12:52.000000,2008-08-18,2008-09-04 17:52:19.000000,B,C,C,2008-01-17 18:40:15.000000,I,V,A
76,1999-10-27 19:01:26.000000,76,76,1993-07-24 17:58:57.000000,76,C,B,76.0000000,76.0000000,76.00000000000000000000,1980-08-18 12:09:20.000000,76.0000000,U,1971-10-31 06:37:03.000000,2006-10-09,2014-07-25 17:21:00.000000,M,C,N,1984-10-20 13:00:27.000000,M,S,G
77,2007-03-21 00:45:45.000000,77,77,2000-08-01 06:54:49.000000,77,M,O,77.0000000,77.0000000,77.00000000000000000000,1983-02-03 23:44:14.000000,77.0000000,V,1982-08-02 16:26:57.000000,1984-11-12,2009-08-17 22:44:26.000000,S,K,V,2007-08-22 09:50:46.000000,J,S,B
78,1984-06-24 09:17:53.000000,78,78,2008-08-13 10:13:35.000000,78,K,K,78.0000000,78.0000000,78.00000000000000000000,1982-12-18 09:46:12.000000,78.0000000,V,1995-10-19 03:47:36.000000,1978-07-03,1993-08-30 16:54:36.000000,R,M,G,1996-05-01 05:59:49.000000,D,M,T
79,2017-08-11 11:41:30.000000,79,79,1983-02-18 01:46:29.000000,79,P,D,79.0000000,79.0000000,79.00000000000000000000,2019-07-21 03:57:00.000000,79.0000000,A,1970-10-23 09:43:07.000000,1974-06-03,1993-02-15 05:14:17.000000,S,S,M,1987-11-09 07:02:59.000000,S,B,K
80,1980-06-05 15:48:22.000000,80,80,1976-11-05 03:56:57.000000,80,H,R,80.0000000,80.0000000,80.00000000000000000000,2007-10-25 09:23:40.000000,80.0000000,B,1981-05-14 21:21:29.000000,1972-08-02,1984-10-23 13:58:34.000000,R,I,T,2022-09-05 13:28:18.000000,B,T,M
81,2006-12-25 16:16:53.000000,81,81,1990-09-19 06:14:28.000000,81,M,J,81.0000000,81.0000000,81.00000000000000000000,2001-03-10 06:24:15.000000,81.0000000,L,1987-02-01 06:05:33.000000,2006-01-16,2017-05-02 17:18:57.000000,N,L,Y,2002-06-16 10:44:26.000000,L,S,A
82,1979-09-28 17:29:45.000000,82,82,2010-01-24 22:36:19.000000,82,S,T,82.0000000,82.0000000,82.00000000000000000000,2010-02-25 21:25:55.000000,82.0000000,M,1984-01-06 13:27:55.000000,2003-03-20,2002-03-05 22:18:40.000000,E,L,M,1982-05-29 01:09:30.000000,G,L,E
83,2000-11-20 12:18:17.000000,83,83,1990-06-07 07:49:17.000000,83,K,T,83.0000000,83.0000000,83.00000000000000000000,2021-07-18 16:50:30.000000,83.0000000,T,2021-01-29 16:10:20.000000,1998-01-27,1992-03-30 18:04:59.000000,F,T,F,1997-05-31 04:18:15.000000,P,D,U
84,1986-05-29 07:38:38.000000,84,84,2006-10-24 10:21:05.000000,84,M,P,84.0000000,84.0000000,84.00000000000000000000,2022-02-07 22:51:03.000000,84.0000000,G,2018-11-25 12:06:37.000000,2020-08-07,1977-04-15 18:25:44.000000,L,V,F,2002-10-12 07:14:21.000000,M,K,V
85,1973-09-16 04:37:05.000000,85,85,2003-01-19 22:41:49.000000,85,M,A,85.0000000,85.0000000,85.00000000000000000000,2015-07-19 23:34:14.000000,85.0000000,M,1976-02-02 08:23:58.000000,2020-01-06,1992-09-14 20:48:20.000000,I,B,T,2009-01-14 02:54:42.000000,P,P,K
86,1996-01-24 00:06:29.000000,86,86,2006-01-17 04:21:11.000000,86,N,R,86.0000000,86.0000000,86.00000000000000000000,1972-03-04 15:42:59.000000,86.0000000,K,1981-07-18 07:52:25.000000,1992-10-28,2018-10-29 14:27:26.000000,C,M,M,2021-05-27 20:03:00.000000,S,A,G
