uuid_query,date_stamp,asset_id,asset_isin,pos_curry,asset_name,maa_lvl_01_sort,maa_lvl_01_hobs_tag,maa_lvl_01_sort_alpha,maa_lvl_01_name,maa_lvl_01_intl_id,maa_lvl_02_sort,maa_lvl_02_hobs_tag,maa_lvl_02_sort_alpha,maa_lvl_02_name,maa_lvl_02_intl_id,maa_lvl_03_sort,maa_lvl_03_hobs_tag,maa_lvl_03_sort_alpha,maa_lvl_03_name,maa_lvl_03_intl_id,sp_rating,moody_rating,fitch_rating,asset_ccy,msci_industry_name,msci_industry_grp_name,msci_sector_name,msci_region_name
64,2006-10-24,C,N,T,E,N,64,C,G,T,L,64,P,C,K,R,64,G,S,G,C,V,I,B,G,L,O,E
65,2005-01-10,B,J,S,B,M,65,E,M,G,C,65,T,D,P,A,65,M,K,T,M,M,S,F,C,M,K,V
66,1987-07-30,P,B,B,S,H,66,N,O,L,H,66,Y,P,J,N,66,G,T,S,L,V,Y,B,U,C,A,F
67,2011-05-31,B,G,B,M,O,67,E,C,M,G,67,N,C,G,C,67,T,P,R,C,D,S,G,V,I,F,B
68,1992-06-21,O,G,T,D,K,68,S,F,P,M,68,T,P,B,E,68,K,S,C,R,B,C,T,N,S,K,S
69,1974-09-11,P,M,R,T,M,69,G,I,C,V,69,C,A,M,G,69,M,T,R,P,T,S,M,T,E,E,B
70,2014-06-27,T,S,B,R,Z,70,V,C,B,C,70,W,M,K,F,70,K,D,P,S,M,T,S,D,T,T,C
71,1979-09-03,G,K,C,F,K,71,L,G,G,C,71,S,L,P,K,71,S,Y,M,M,P,B,R,C,U,G,G
72,2007-05-07,O,M,M,M,V,72,L,D,B,U,72,T,B,K,N,72,R,G,V,B,M,U,T,N,A,C,L
73,1981-06-27,O,L,K,W,M,73,G,T,C,L,73,G,P,J,B,73,L,M,K,Y,S,T,K,K,H,K,P
74,2021-05-07,F,P,N,P,M,74,C,B,S,B,74,H,U,N,B,74,S,A,U,K,R,V,G,L,G,A,N
75,2018-12-23,T,A,N,C,N,75,R,E,I,P,75,F,S,I,L,75,D,C,G,V,D,S,K,V,M,C,I
76,2003-12-09,P,J,A,I,I,76,L,M,E,P,76,A,C,D,M,76,S,L,P,O,P,L,V,S,M,V,N
77,2022-08-21,R,N,K,B,M,77,U,B,S,K,77,C,J,B,V,77,C,P,A,N,M,B,C,M,Y,C,E
78,2005-10-21,E,R,C,W,U,78,A,B,J,C,78,M,T,T,G,78,B,H,M,C,U,B,P,D,N,L,G
79,2020-09-30,T,G,T,J,H,79,B,N,T,B,79,V,A,E,U,79,C,I,N,C,C,B,M,P,L,A,L
80,1979-08-05,B,N,L,E,R,80,K,T,V,V,80,G,H,C,A,80,U,U,U,S,C,M,M,B,T,E,S
81,1972-07-26,U,C,D,V,E,81,R,M,G,F,81,S,K,B,B,81,S,I,S,D,C,L,K,I,U,B,U
82,2008-05-30,G,M,H,T,Z,82,P,S,R,L,82,D,S,C,N,82,B,P,Z,S,B,S,E,C,V,M,L
83,2018-11-21,A,K,D,K,B,83,A,K,M,T,83,A,M,G,K,83,B,J,T,S,T,C,R,G,J,R,S
84,1981-04-30,W,T,C,N,N,84,N,A,B,H,84,A,D,U,C,84,U,N,T,M,L,L,S,V,V,P,S
85,1980-12-29,T,U,S,C,V,85,K,S,V,L,85,G,M,M,P,85,T,D,N,Z,H,I,H,F,Z,A,H
86,1974-09-17,E,D,P,F,P,86,S,Y,K,G,86,G,H,C,P,86,H,K,V,S,C,C,S,I,B,B,S
87,2011-05-10,A,K,H,Q,K,87,V,K,E,L,87,S,G,B,V,87,S,C,E,A,M,R,V,K,H,B,F
88,1973-05-03,B,P,A,D,A,88,U,B,H,C,88,V,F,L,T,88,C,D,F,G,R,P,B,N,M,P,I
89,1970-12-04,M,V,J,H,S,89,C,G,M,R,89,D,V,B,G,89,U,S,T,B,I,C,Z,H,M,Z,T
90,2012-07-08,I,M,P,G,L,90,G,P,S,A,90,B,N,S,S,90,D,S,P,C,B,I,G,G,Z,A,L
91,2000-10-02,G,A,S,S,M,91,I,K,R,A,91,B,C,Z,L,91,G,P,U,E,R,S,F,C,B,O,A
92,2001-08-10,A,I,C,B,S,92,B,I,B,C,92,F,N,A,C,92,H,C,B,I,C,B,C,B,A,V,T
93,2013-04-29,S,C,V,A,C,93,U,C,A,C,93,T,D,T,W,93,K,M,Z,B,B,M,D,P,M,M,G
94,2015-11-06,D,B,P,N,A,94,D,I,T,C,94,R,U,B,K,94,V,S,F,V,V,M,B,G,L,T,P
95,1984-09-23,L,Z,T,C,O,95,S,M,S,S,95,U,S,B,R,95,M,B,A,H,V,B,T,B,V,E,K
96,2003-07-05,I,N,S,M,Z,96,K,V,L,L,96,B,M,V,D,96,C,J,C,B,Z,N,S,G,T,A,G
97,1983-02-25,B,S,V,G,N,97,E,L,N,S,97,M,C,S,L,97,B,E,E,R,H,K,P,N,L,S,F
98,2011-01-17,V,C,I,E,M,98,G,C,G,V,98,B,M,T,E,98,B,U,P,T,A,S,B,A,L,B,N
99,1996-04-26,K,S,M,M,T,99,B,F,G,C,99,M,H,S,H,99,D,C,M,I,G,C,A,J,K,C,F
8553962342771400483,1997-12-08,"Hope name maintain physical. Apply able evening population station. Once very service speak. Window music would partner statement surface.
Top economy so yeah.",Early new we west system religious heavy. During age man exa,Situation different arm stuff finish miss. Lead end travel r,"Well candidate quickly safe kitchen. Four within decade you. Something then kitchen rule.
Inside within voice. Soldier case your anyone. Claim fact sister.
Until piece anything.","Laugh report piece cut majority. Agreement friend too campaign.
Compare positive standard beyond capital peace. Listen sport green agency know poor. Hard begin final dream talk news.",-1747489084,"Admit should run truth article field start. When such century too same nice.
Deep individual score same her ability already. Force with color left available ago design increase.",None past budget worry. Continue claim TV bar carry ask. With federal ball either father address myself.,Which teacher believe reduce opportunity seven. Street democratic article within specific listen. Leave again box under company believe thousand.,"Report number today reality other themselves. Trouble else war.
Science every cut court. Decide everyone goal opportunity run product now.",826176732,"Run operation movement might term no.
Free make nothing property answer national day particular. Race book act.
Necessary speech black wish civil herself four. Thank figure party blue such effort.",Term smile one challenge party south technology. Bad help difference true recent fill subject continue. Yes worry happen we step.,Remember research grow once agent factor. Top old role response inside sign Democrat. Executive your well author represent. Weight pressure movie modern wall.,"Cold American area mouth boy degree know. Ahead space real firm him.
Assume side site environment practice employee black. Enter myself statement price wait. Mr happy lay far.",-1040508945,"Region fill be.
Around last through brother.
Never western something food operation treatment. Try available pay relationship the culture lot. Enjoy back interest road material buy.","Car exactly never tell. Standard senior have development color should. Page all laugh idea.
President build occur determine process. Measure help argue person. Option pressure bag staff art.",Father meeting likely reality forward adult certain. Environmental class beautiful bit. Born benefit even model first anyone could. Pm economic far relationship town.,"Car one research.
Develop fund everybody southern. Seek born card nor year word ","Ground writer series church put hear. Yeah short week computer current.
Area qui",Happen according teach seem. Sea agree per factor major interesting hand. First ,"Behind fine weight fear class before sister.
Second step may","Sometimes wonder yet hospital eight goal stock.
Look idea everyone big doctor ev","Mouth I year check moment edge. Stand debate hold left computer beat.
Example fo",Factor none answer picture effect fish Mr. Whole defense we young be site here t,Ready moment address suffer project information. Beautiful case treat what work.
-1635194475173349523,1970-09-03,However however activity themselves speak. Entire dark detail PM effort break cultural.,According big listen agent tonight section. Various agree dr,"Change say evening history hard. Rich loss throw whatever.
L","Language research daughter something summer. View available candidate bank.
Method little trial deep. Former sound success stage modern. Available reason follow audience painting.",Bag page officer draw institution. Relationship itself least yes woman human. Suggest possible pay available far difference.,1990201596,"Discussion successful spring Mr large whom. Education long but agent.
Than media reason rate drug.
Big free rule cold.",Set enjoy region change college affect top. Already store probably. Number box enjoy create manager we.,"Employee show collection establish. Nearly five clearly.
Always understand weight source only painting method. Relate but ten cause school car television.","Military accept food should whose. Radio heavy condition smile already every customer.
Father could standard win. Face strategy vote research upon force chance.
Owner then research factor.",1418156679,"Organization act fast major staff difference keep. Knowledge cover sign. Nothing campaign those simply.
Sometimes item test. Job very these capital that theory. Person soon year anything.","Son draw bar pass.
Adult edge condition against term source.
Hope their television design. Return project tell run last. Only sound concern now human great TV.",Test hear others person young business. Force seat weight window race be. Wish himself project light physical financial here charge. Music author sister sort future minute radio.,Much democratic so dream small. Walk eight draw customer sort building behind. Local will green tell suggest interview. Build someone story fear song end.,-1159110969,Land reflect hear western radio. Make close newspaper hard campaign ever federal.,Unit large certain site possible dog one. Them bit central leader husband edge late mission. Food employee chair focus.,"Less wish wonder anything blood strategy lead. Small when of no happy president.
Season break shoulder in. Commercial blood style college support town. Federal control pattern well year.",Hair dinner manage fear. Nature realize Congress. Figure win she trip party four,"See else personal whole politics though. Medical spend wife enough.
Ready new st","Career year source little table.
Say partner program. Sound eight final soon ite",Treat test thus hear mind. Development second head country c,Raise much behavior strategy. Give send pay customer feel might. Security player,Use tend market various significant. House dinner probably world.,Partner box follow reality ten since fight. Small serious near risk direction tr,"More simple with improve.
Within arm claim impact nature all. Dream none movie. "
-3298483918740719217,2009-12-01,"May particular effort. Medical different body occur individual actually. Enough reveal speech per list.
Career road degree new. Film tough campaign energy.",White start five challenge. Consumer phone mind trade resear,Rest beat notice skin. Down vote effect their. Today if trou,Name success hundred condition near. Feeling beautiful forward decision. Raise budget so year table pull. Player page finally.,"Later light water rate third. Option charge gun week special nice how career. Light administration article happen.
Guess view worry radio. Imagine catch on process.",913595497,Clearly chair son son health newspaper peace. Tend lawyer prevent say. Election become ahead.,"Machine space we thus. Employee walk anyone head how tough less.
Image mind possible occur happen wife.","Ready on role single fear free effect stage. Give bring music official art last day.
Court often close reduce. Hard answer issue month play. Write never above vote teach.",On often travel stuff letter go school dinner. Today successful expect. Pm lose once operation everyone raise bed then.,1204938085,Exist across wrong center southern brother. Receive political city democratic. Inside president day range travel my. Rise also direction page.,View after move them speech but tell. Center better avoid different analysis. Be consumer high teacher candidate reality value.,"Wind lay increase. According we best. Rock heart free major.
Work high wide shake wind effect light. Hour itself outside me. Military knowledge those important push improve.",Television garden avoid share. Rich season several near seek. Financial never science door conference evening and.,447660959,Back concern man per look. Play sort town before name cover behavior culture. Force morning land choice management.,"Ok special particular room walk final. Least us hard break.
Some traditional line enter. Test feel total air road rule they. Evening end message ahead water.","Option performance kitchen product. Term rest song attack should.
Effort sure game pass become moment. Nice turn care majority production economic perhaps. Receive trade open standard yet.","Let oil tree campaign. Day firm key.
Perform role tell support major expect figh","Couple but parent long. Officer above live exactly parent stop first.
Edge then ",Painting admit show future. Half news operation have short suggest never. Glass ,"Interesting doctor knowledge industry spring price other.
Bu",Office receive future fight paper tough trade. Culture amount firm whose out app,Until land night. Skill term view growth age. Increase position tend miss choice,Run provide but couple. Seek outside step seven top fire even lot.,"Before fear ground may budget. Necessary expert eye boy peace run.
Increase need"
-5095829992387677391,1972-03-29,Box affect myself these theory through talk charge. Thing here tax major. Oil to be subject role. Week score admit magazine field less region.,"Dream network manage blue country. Like charge well need.
Sh",Protect serious turn piece. Shake none party human gun what ,"Wait spring technology section anyone. Child national parent lawyer someone thousand.
Thousand evening also hard story up. International again talk every eight blue.",Meet including place hard. Position foot simply. International huge church career difference cup herself.,-483294814,"Bank bill run draw.
Seem Mrs especially news because factor. Discuss either gun. Throw during end piece also travel yes mission.",Special skin yet sound American right list. Kind myself need agreement. Republican simple traditional structure watch plan discuss. Employee talk for generation.,"Artist catch public open present or. Industry them leave finish step.
Weight model sea. Mention visit item cup threat difference here. Top for pay recently policy.",Political such whose conference magazine share just compare. Prove evidence blue notice. Into they remain change.,-786353375,"Couple know leg increase they wonder. Success stop white sometimes quite bank. Fire their may a pretty thank.
Whom everybody first common director late. Discussion trip relationship message.","Great board take attack. Kitchen federal mind top into box.
Investment society sea me. Despite home account paper resource office system. Large visit large civil peace wait you.","Keep different actually imagine. Vote agree nor development sure summer.
Fight national stop instead charge candidate. Good staff allow base sense behavior score model.","Tell behind how hospital. Indeed behind or challenge course effect rock. Huge move wide never.
Stay plan indeed simple happen owner. Language reflect such yes west. Perhaps economy cup baby.",-431113207,"These ability event democratic TV region current. Worry argue interesting generation present note.
Today authority amount senior Republican reach.","Stuff goal already response traditional air. My need them crime meet in dream. Across light sort point exist now who.
Level bad choice. Foreign time you stock. Thought standard yet.",Serve central game nothing. Instead candidate down tend market.,"Hard look adult maintain door continue.
Deep test worry trip option commercial g","Value subject minute source on cup media.
Control chance stop hair phone plant t",Election item arm practice huge decade. Really interesting later once friend TV.,Pm thousand new nation study. Claim focus force tend off spo,Door stage also any cover live question explain. Front suddenly change worker ne,Them ball exactly note. Believe television college task boy sister eat. Report r,Home employee good under whatever serve. Thing hair source either. Land network ,Claim child parent wind stock force compare. Guy special reason next condition. 
43308664493198642,1989-12-30,"Point change more. Security range plant fact everyone machine.
Administration animal fly provide research explain add. Behavior history century question believe relate common. Until follow seem.",Consider hotel film month before experience recognize. Hundr,Knowledge production so number PM either man. Moment history,"Guy figure realize future art spring possible. Trip ability owner finally. Argue general role senior.
Remember point recent yourself but risk.","Audience hear themselves share second. Site subject when degree artist quality remain determine.
Pm few somebody. Front long enjoy several catch into. Station eight every seat goal.",648575543,"Explain mother look should statement open around join. Majority effort impact between might this also dog. Line commercial scene middle.
Itself police ever fear year true hear. And main go resource.","Enjoy everything perhaps difficult idea song. Pay college evidence three. During ok south audience.
Bar goal amount. Gas board day wide option evidence summer. Raise other foot.","Build less various. Left wear structure.
Blue firm well yeah arm option. Become throw hundred start. Recently magazine including rise. Field common center weight really.","Artist give organization mouth life. North but white than.
Mouth career your compare point throw race. Culture reality condition.",-445913057,"Ok whole year soldier once time before film. Soldier each food each choose. Someone rich if wonder fund particularly cultural short.
List civil compare current still.",Whether pull take agent red. Sit writer PM answer training ahead deal. Concern cover industry call very home.,"Situation why American threat onto discover report. Southern entire education want inside democratic. Until he begin than.
Rock option admit far choice.",Less model practice task fine property. Result us yeah force set. Site southern sister stock light.,-697806332,"Spring protect free recent program.
Never nothing nor. Student administration put southern.
High hot forget run seek material. Trial former very issue product cold article. Her including system lot.","Beautiful above ahead option example. Man however act. Budget commercial commercial with political eat.
Your significant nature west strong performance. Unit strong become first deep call.",Think purpose so. Key single laugh issue deep hear moment everything. Assume ball true five true it inside. Him purpose north spring receive stock owner fact.,Short account show several then church speak big. Office happen star seem turn t,Star economic rule expect past. Door attack cost whose that sea service. Place o,Character soldier issue nothing day building chair. Control various build networ,Chance knowledge music what. Fact knowledge expert like feel,"Paper modern mouth out officer financial.
Responsibility art idea example party ",There life computer. Response education safe policy significant effort certainly,"Of represent hair day surface several. Result exist model theory fill around.
Co",Law federal prepare detail field teach. With remain beat matter return project s
5690616450727359177,1977-05-11,Bring participant property school to sport institution. Government Republican spring compare better draw. Collection hundred memory method name act. Throughout question particularly both while.,"Answer happy yourself yet. Look at individual art skin.
Beha",Local soon around building third. Author you painting wind p,"Reality sure her see. Worker film agency sometimes gun drop mouth hear.
Drop role nearly detail remember continue police. Voice seem apply contain party answer friend. Even particular focus.","More number before.
Fund religious college debate trade property. Mean peace include on stay practice.
Model administration several science feel doctor draw general. Know office network.",-1027892022,"Exactly store piece between. Recently back she anything science food.
Set will its enough energy born. Shake control accept understand win. Head rule sometimes computer test.","Firm western quite manager student mother. Contain sea soldier church evening wide throughout face.
When thing six. Office TV mouth.",Watch dark upon. Have else company herself technology yard place laugh. Research matter fear guy marriage knowledge.,"Best start health girl. Red old concern yard color. This by forget everyone.
Condition near attorney. Discover that TV. Standard size agreement rule together.",1319692809,"Almost both into reveal customer morning national American. Opportunity garden measure decade would growth give. Sense single affect issue whom.
Attorney rock what yet tell.","Enjoy difference technology specific both art. Cell street himself mission memory. Company term once stand. Election production report cost.
Know language American heart.","Central however with especially about. Range response future season. Ask simply throw.
Realize green my. Than common believe.
Every since by mention.","Successful you help body keep here. Enter child quality speech.
Give top year determine today relate international. Occur win fear gas deep few seem.
The growth term.",113800636,"Attack war benefit street table hotel option. Represent gun building actually.
Step computer production his others floor. Degree hospital new pay.
Food clearly investment. Woman serious common.","Suggest business mission a chance morning fill.
Imagine data now push weight. Style upon term fact.","Those stop seek little. Catch college glass allow project. Agree up another really church.
General coach skill building skin memory. Big both song may according cold.",Cost where program mention. Thought individual tax task since officer score. Sco,Experience answer relate of. Scientist catch story customer both. Their within o,"Task turn hit our maybe. Specific truth scene late.
Woman ok join day. Voice cus","Majority rule oil. Rather chair need federal perform.
Consum","Mr these form if Congress keep. Training other space wind.
Design certainly youn","Next building create two form. Produce imagine marriage lay buy.
Center thousand","Friend fund week receive. Ground school same may. Soldier worker man like.
Offic","Through rise long happen garden wish glass. Goal subject network.
Despite accoun"
6836189577263831970,2018-08-05,"Top success pattern pull month.
Control western off outside present catch live.
Place draw draw question offer forget age. Organization in building stage.",I many debate join size. Future indeed fast appear everyone ,Process population practice exist some toward common.,"Because these stuff week whether decade. Group city sense think. Become magazine very free popular.
Technology society at range site pattern year. Stage return civil.","Camera notice interest specific actually.
Hair during activity mention. Nothing current hour home hundred. Ground dog admit official represent material.",1780316509,"Article bank simply animal enter. Skin guess majority begin this better foreign.
Care born position. Candidate investment meeting pressure later. Nor marriage smile land out common produce.","Care party answer risk. Audience several change something.
Prevent admit sure everyone citizen. Others our economic the.","Get husband TV avoid end around road cell. Work question try subject plan to news.
Have nearly spring. Baby author brother bed.",Majority involve north smile business answer. Thought style election good. Member over base ball.,-439023055,"Activity prove mission world. Little environmental hospital major become computer foot.
Mother improve should food. Spring law business medical far only itself compare.","Offer board race training spend concern. Wide sing develop nice structure. Step drop unit mean.
Everyone stuff pass mind field could. Picture should alone fish day support teach.",Guess realize never teacher structure specific each. Also theory three send.,"Serve foot open certainly.
Office behind technology fill keep physical admit. Believe course easy among town system reason church. Society relate interesting.",-1147415251,"We improve good sure follow room they. Agree make blue top first scientist raise.
In land debate detail. State break wind beautiful big. Already class very boy market.","Assume southern rate want easy. Process thought service minute some value.
Major movie sure next business. Black tonight article leave improve process. See its indicate shoulder.","Pass Mr election rule cut population. Environmental seven practice step thing.
Top prove major hard cover us method. Today hand drug leg to early.","Through make benefit community. Like nor focus for beyond.
Already through frien",Lead easy pressure responsibility two. While police mission second address gun b,Magazine choose but alone face mother land. Chance catch building nice trip pass,Direction ground impact ok choice up. Old simply provide lon,Leader life south suddenly away while protect. Professional customer others conf,Media meeting impact read road follow. Land see evidence consider feel job opera,"I admit discussion those Mr. Pull home be agency brother. A brother brother.
Tow",Note mission five role network. Action raise test trial good. Attack perhaps saf
