id_dsf_bsm_xrate_eom,dh_sys,id_ds_vrs,cd_evn,dh_evn,curry_id,curry_name,description,termin,unit,xrate_factor,xrate_factor_yly_avg,xrate_date,factor,time_id,ref_date,dt_run,dh_uti_cre,lb_uti_cre,lb_wkf_cre,lb_ses_cre,dh_uti_upd,lb_uti_upd,lb_wkf_upd,lb_ses_upd
57,1997-07-26 23:45:16.000000,57,57,2015-11-15 13:16:32.000000,57,D,C,57.0000000,57.0000000,57.00000000000000000000,57.00000000000000000000,1988-09-18 21:26:30.000000,57.0000000,B,2001-02-06 07:54:09.000000,1976-01-21,1980-03-13 06:16:35.000000,C,A,B,1987-03-07 01:45:02.000000,W,E,B
58,1985-08-07 20:46:08.000000,58,58,1987-04-13 23:56:26.000000,58,C,S,58.0000000,58.0000000,58.00000000000000000000,58.00000000000000000000,1975-08-07 19:36:38.000000,58.0000000,N,2019-08-28 02:50:50.000000,1971-03-15,2012-12-31 04:59:01.000000,N,P,P,2016-02-24 02:46:47.000000,M,M,D
59,2006-02-16 16:27:29.000000,59,59,2014-11-15 16:38:06.000000,59,G,B,59.0000000,59.0000000,59.00000000000000000000,59.00000000000000000000,2013-02-06 00:47:08.000000,59.0000000,M,1977-02-20 08:57:03.000000,1976-05-26,1996-04-06 02:40:06.000000,B,M,C,2019-04-19 17:47:16.000000,T,G,H
60,1991-05-15 18:41:27.000000,60,60,1975-03-13 13:00:08.000000,60,J,G,60.0000000,60.0000000,60.00000000000000000000,60.00000000000000000000,2019-07-09 12:02:29.000000,60.0000000,R,1972-12-29 10:08:22.000000,1998-11-06,1978-10-18 08:13:39.000000,L,L,C,2001-08-01 13:03:29.000000,U,G,C
61,2012-06-22 17:14:59.000000,61,61,2001-03-15 05:17:32.000000,61,L,M,61.0000000,61.0000000,61.00000000000000000000,61.00000000000000000000,1970-01-04 12:35:30.000000,61.0000000,K,2003-06-12 10:46:58.000000,2009-04-25,1985-10-25 02:50:55.000000,S,A,R,1986-12-14 10:10:13.000000,T,I,E
62,1976-04-10 10:30:43.000000,62,62,1985-09-17 03:11:44.000000,62,A,B,62.0000000,62.0000000,62.00000000000000000000,62.00000000000000000000,1979-08-24 03:08:23.000000,62.0000000,G,2018-09-24 18:14:35.000000,1992-01-13,1983-04-28 14:38:45.000000,G,D,C,1988-06-08 07:15:31.000000,B,N,J
63,2010-04-10 17:07:24.000000,63,63,2004-04-09 03:46:26.000000,63,T,W,63.0000000,63.0000000,63.00000000000000000000,63.00000000000000000000,2009-12-12 14:43:03.000000,63.0000000,L,2021-04-05 01:29:25.000000,1997-04-16,1996-03-19 16:52:35.000000,B,A,T,2020-10-01 08:58:01.000000,S,P,L
64,2000-01-30 04:18:22.000000,64,64,1990-09-13 20:01:45.000000,64,C,A,64.0000000,64.0000000,64.00000000000000000000,64.00000000000000000000,2021-12-16 02:04:25.000000,64.0000000,K,1978-05-21 17:36:59.000000,1987-12-27,1973-08-10 18:52:27.000000,B,I,M,1995-10-20 05:53:35.000000,P,Q,Y
65,2018-07-09 23:18:41.000000,65,65,2021-10-10 11:29:19.000000,65,D,K,65.0000000,65.0000000,65.00000000000000000000,65.00000000000000000000,2018-09-15 00:49:52.000000,65.0000000,B,1988-11-05 09:31:05.000000,1980-11-27,1993-05-02 12:11:57.000000,P,B,S,1980-12-05 23:57:53.000000,H,B,T
66,1995-07-26 10:05:53.000000,66,66,2021-12-12 05:55:15.000000,66,L,M,66.0000000,66.0000000,66.00000000000000000000,66.00000000000000000000,2001-05-19 18:59:54.000000,66.0000000,I,1981-07-24 22:43:57.000000,1973-09-30,2019-12-26 18:24:49.000000,I,R,C,2013-04-05 05:08:26.000000,S,C,A
67,2022-05-18 15:04:11.000000,67,67,2012-06-30 12:57:42.000000,67,V,A,67.0000000,67.0000000,67.00000000000000000000,67.00000000000000000000,2011-09-30 13:27:20.000000,67.0000000,T,2020-05-22 03:45:37.000000,1998-05-08,1987-07-09 08:33:51.000000,V,N,M,1988-04-29 02:38:21.000000,N,S,T
68,2010-12-05 23:30:29.000000,68,68,2004-09-22 23:20:53.000000,68,I,P,68.0000000,68.0000000,68.00000000000000000000,68.00000000000000000000,1975-07-24 07:05:26.000000,68.0000000,I,1998-04-15 05:04:19.000000,1985-02-16,1977-01-31 21:29:39.000000,L,B,N,2018-01-18 19:12:09.000000,M,C,D
69,2008-11-10 22:00:02.000000,69,69,2010-12-06 07:35:21.000000,69,S,R,69.0000000,69.0000000,69.00000000000000000000,69.00000000000000000000,1982-08-18 14:14:01.000000,69.0000000,A,1989-12-14 20:34:14.000000,2018-01-27,1982-02-05 05:30:16.000000,M,G,Z,1980-01-12 17:39:43.000000,S,L,A
70,2005-01-03 07:08:48.000000,70,70,2021-01-07 19:31:57.000000,70,I,M,70.0000000,70.0000000,70.00000000000000000000,70.00000000000000000000,2020-03-26 21:41:04.000000,70.0000000,D,2016-09-02 10:54:09.000000,2021-02-16,1981-09-23 15:39:58.000000,P,E,N,2014-11-29 04:50:11.000000,B,T,M
71,2013-10-22 18:48:09.000000,71,71,1988-09-30 02:21:27.000000,71,J,C,71.0000000,71.0000000,71.00000000000000000000,71.00000000000000000000,1993-07-09 04:41:04.000000,71.0000000,N,2002-12-13 16:27:49.000000,1994-05-06,2017-09-01 05:05:21.000000,I,S,N,2009-04-29 01:36:26.000000,P,N,B
72,1971-02-14 09:16:55.000000,72,72,2004-02-09 09:06:54.000000,72,M,M,72.0000000,72.0000000,72.00000000000000000000,72.00000000000000000000,1987-09-12 13:43:54.000000,72.0000000,B,2022-09-25 21:05:17.000000,2017-01-01,2006-02-05 18:41:16.000000,E,G,D,1980-10-12 06:50:47.000000,L,A,E
73,1970-06-19 19:05:49.000000,73,73,2015-03-12 20:36:04.000000,73,B,E,73.0000000,73.0000000,73.00000000000000000000,73.00000000000000000000,2023-02-03 02:11:33.000000,73.0000000,S,1995-01-09 09:30:01.000000,1979-01-20,1982-05-28 20:14:08.000000,F,M,C,1983-10-12 23:26:28.000000,B,D,D
74,1997-03-14 16:53:48.000000,74,74,1998-10-14 11:35:34.000000,74,V,F,74.0000000,74.0000000,74.00000000000000000000,74.00000000000000000000,2003-11-17 19:53:57.000000,74.0000000,S,2006-11-11 19:30:02.000000,1973-05-26,1981-02-20 08:16:49.000000,G,M,J,2000-03-10 15:24:32.000000,M,L,U
75,1976-03-09 11:06:06.000000,75,75,2001-02-08 19:16:34.000000,75,U,N,75.0000000,75.0000000,75.00000000000000000000,75.00000000000000000000,2007-12-24 00:23:58.000000,75.0000000,B,1982-01-02 04:43:33.000000,1989-03-03,1997-12-08 21:43:56.000000,B,V,S,2015-04-01 17:08:24.000000,A,H,P
76,2022-11-04 11:40:09.000000,76,76,1990-09-29 01:27:53.000000,76,M,I,76.0000000,76.0000000,76.00000000000000000000,76.00000000000000000000,1978-07-18 11:50:42.000000,76.0000000,M,2007-01-01 14:02:53.000000,1976-12-10,1977-04-27 20:15:37.000000,G,A,N,1973-10-01 22:55:13.000000,V,R,A
77,2006-07-14 10:27:19.000000,77,77,2006-08-03 12:51:40.000000,77,G,C,77.0000000,77.0000000,77.00000000000000000000,77.00000000000000000000,1976-09-16 14:52:29.000000,77.0000000,N,2010-01-09 07:49:30.000000,2018-01-26,2002-12-03 04:39:57.000000,T,M,M,2022-01-30 23:10:09.000000,A,C,J
78,2009-03-05 22:21:21.000000,78,78,2020-12-17 12:12:31.000000,78,M,C,78.0000000,78.0000000,78.00000000000000000000,78.00000000000000000000,1979-03-12 15:31:28.000000,78.0000000,G,2000-04-30 14:02:14.000000,1986-04-25,1978-11-04 14:51:43.000000,U,T,Z,2001-08-18 09:06:00.000000,T,C,N
79,2004-11-19 16:45:00.000000,79,79,1977-01-20 11:45:11.000000,79,R,D,79.0000000,79.0000000,79.00000000000000000000,79.00000000000000000000,2020-04-09 00:42:52.000000,79.0000000,M,2010-04-12 15:11:22.000000,2011-11-29,1971-04-06 18:19:08.000000,U,B,R,1996-10-16 18:30:23.000000,N,B,P
80,1977-02-21 18:16:18.000000,80,80,2003-01-10 06:07:36.000000,80,F,T,80.0000000,80.0000000,80.00000000000000000000,80.00000000000000000000,1992-07-05 14:07:01.000000,80.0000000,K,1984-04-12 21:34:34.000000,1994-09-09,1994-11-30 01:02:20.000000,C,E,D,2015-11-22 14:43:56.000000,T,P,P
