dh_sys,id_ds_vrs,cd_evn,dh_evn,curry_id,curry_name,description,termin,unit,xrate_factor,xrate_date,factor,time_id,ref_date,dh_uti_cre,lb_uti_cre,lb_wkf_cre,lb_ses_cre,dh_uti_upd,lb_uti_upd,lb_wkf_upd,lb_ses_upd
2000-12-04 21:33:36.000000,24,24,2005-09-07 18:30:21.000000,24,M,L,24.0000000,24.0000000,24.00000000000000000000,2000-11-24 00:30:24.000000,24.0000000,T,2012-04-27 07:20:17.000000,2013-01-07 03:09:19.000000,M,T,S,2001-06-18 07:37:05.000000,V,K,S
2015-09-24 20:11:06.000000,25,25,1976-03-11 10:20:50.000000,25,K,V,25.0000000,25.0000000,25.00000000000000000000,1996-07-30 14:01:22.000000,25.0000000,D,1995-06-10 06:41:36.000000,1995-06-11 19:10:55.000000,Q,M,G,2010-05-18 02:07:15.000000,I,I,L
2019-12-01 05:31:22.000000,26,26,1990-03-27 10:56:31.000000,26,C,C,26.0000000,26.0000000,26.00000000000000000000,1977-09-25 17:01:18.000000,26.0000000,J,1990-01-17 19:20:35.000000,1997-04-17 10:00:40.000000,U,M,H,1993-10-10 13:57:47.000000,M,V,N
2020-01-28 11:42:47.000000,27,27,1975-08-26 10:55:57.000000,27,Z,L,27.0000000,27.0000000,27.00000000000000000000,2006-06-24 04:45:28.000000,27.0000000,K,2010-06-28 15:32:30.000000,2019-09-01 00:52:58.000000,A,C,E,1973-06-15 15:01:45.000000,B,S,C
1978-01-08 03:12:51.000000,28,28,1983-08-19 09:14:38.000000,28,L,K,28.0000000,28.0000000,28.00000000000000000000,1997-09-20 04:14:55.000000,28.0000000,M,2009-04-15 08:45:33.000000,2017-09-01 09:07:06.000000,Z,K,C,1974-12-22 16:32:04.000000,A,B,B
1987-03-13 02:27:17.000000,29,29,1996-08-06 11:12:25.000000,29,B,V,29.0000000,29.0000000,29.00000000000000000000,1983-02-12 15:23:59.000000,29.0000000,P,2014-07-23 19:09:59.000000,1974-04-20 11:27:10.000000,S,P,M,2023-01-26 06:17:29.000000,K,H,D
1981-04-01 14:38:10.000000,30,30,2022-07-27 21:58:24.000000,30,K,C,30.0000000,30.0000000,30.00000000000000000000,1971-06-25 15:51:20.000000,30.0000000,B,1981-11-05 21:08:54.000000,1979-08-31 19:06:39.000000,G,A,V,1997-03-31 02:14:12.000000,B,K,P
2004-01-09 01:54:32.000000,31,31,1992-09-25 23:16:06.000000,31,C,K,31.0000000,31.0000000,31.00000000000000000000,1977-07-31 15:58:32.000000,31.0000000,B,2002-05-28 19:14:58.000000,2019-12-18 07:41:54.000000,K,M,M,2007-03-16 06:14:33.000000,E,S,M
1977-12-15 17:28:37.000000,32,32,2013-09-19 08:40:54.000000,32,M,E,32.0000000,32.0000000,32.00000000000000000000,2022-11-14 13:34:46.000000,32.0000000,A,2008-04-14 07:30:32.000000,2006-09-07 08:38:33.000000,D,C,N,1987-08-08 16:41:50.000000,D,T,G
2005-06-08 05:22:05.000000,33,33,1985-04-30 12:11:47.000000,33,C,P,33.0000000,33.0000000,33.00000000000000000000,2019-12-22 01:28:47.000000,33.0000000,J,2016-07-07 11:38:45.000000,1991-09-03 12:31:37.000000,N,U,K,1979-12-28 12:56:49.000000,A,S,N
2000-08-16 08:18:50.000000,34,34,1997-06-23 08:47:00.000000,34,C,C,34.0000000,34.0000000,34.00000000000000000000,2011-07-10 05:55:10.000000,34.0000000,B,2000-04-05 17:18:29.000000,2016-10-31 12:14:27.000000,A,P,K,1981-01-28 20:41:55.000000,J,Z,I
1985-05-29 05:22:37.000000,35,35,2001-05-22 10:13:24.000000,35,A,M,35.0000000,35.0000000,35.00000000000000000000,1985-03-07 21:34:22.000000,35.0000000,U,1982-04-12 21:42:40.000000,1991-11-24 20:37:05.000000,C,F,N,1986-02-14 22:14:37.000000,K,F,K
2012-02-26 04:35:12.000000,36,36,1976-05-01 05:20:48.000000,36,T,I,36.0000000,36.0000000,36.00000000000000000000,1998-10-20 20:16:24.000000,36.0000000,B,2008-08-20 08:32:31.000000,2002-11-20 22:08:56.000000,S,C,B,1993-08-04 04:36:59.000000,N,E,S
1973-12-22 22:52:31.000000,37,37,1975-08-15 01:47:05.000000,37,M,U,37.0000000,37.0000000,37.00000000000000000000,1988-10-03 03:08:26.000000,37.0000000,J,2002-10-28 03:31:35.000000,1980-02-05 00:22:33.000000,P,N,W,2003-06-19 03:25:57.000000,T,K,G
2015-12-23 05:54:50.000000,38,38,1973-05-17 11:42:11.000000,38,B,C,38.0000000,38.0000000,38.00000000000000000000,1978-10-15 03:09:33.000000,38.0000000,B,1998-01-08 09:47:35.000000,1986-02-02 01:50:29.000000,M,M,C,1992-01-30 21:02:24.000000,G,H,G
1971-09-13 12:51:39.000000,39,39,1970-01-19 02:02:04.000000,39,C,M,39.0000000,39.0000000,39.00000000000000000000,1989-11-29 19:17:07.000000,39.0000000,J,1995-08-17 09:39:53.000000,2008-12-31 06:13:30.000000,B,G,E,2002-02-25 19:48:36.000000,M,B,F
2001-11-16 16:27:58.000000,40,40,1980-04-05 20:33:41.000000,40,C,B,40.0000000,40.0000000,40.00000000000000000000,2001-06-23 00:33:27.000000,40.0000000,M,2003-07-30 07:05:55.000000,2012-07-07 13:51:48.000000,S,B,L,2006-07-28 13:31:57.000000,S,S,J
2002-04-08 04:21:48.000000,41,41,2015-06-11 21:56:42.000000,41,R,S,41.0000000,41.0000000,41.00000000000000000000,1971-01-21 17:55:12.000000,41.0000000,C,2004-10-09 15:10:52.000000,2020-12-28 19:14:46.000000,S,B,E,1993-01-28 15:24:40.000000,C,F,T
2014-10-07 02:54:59.000000,42,42,2009-09-27 13:19:15.000000,42,M,J,42.0000000,42.0000000,42.00000000000000000000,1982-07-30 17:37:25.000000,42.0000000,B,2006-12-23 18:12:53.000000,2007-05-18 09:26:15.000000,S,S,A,1994-06-18 03:33:24.000000,M,P,S
2009-10-24 06:08:58.000000,43,43,1995-06-28 01:24:00.000000,43,S,N,43.0000000,43.0000000,43.00000000000000000000,2003-12-11 03:04:08.000000,43.0000000,T,2020-01-31 09:52:50.000000,1980-12-14 23:33:57.000000,C,A,T,2016-06-10 20:33:07.000000,D,S,N
1973-03-01 15:49:51.000000,44,44,1982-03-02 07:28:17.000000,44,S,B,44.0000000,44.0000000,44.00000000000000000000,2006-01-22 02:12:40.000000,44.0000000,G,2004-09-03 17:55:39.000000,2022-08-24 12:43:15.000000,C,L,A,1998-06-08 16:49:14.000000,T,L,K
2014-07-30 01:02:36.000000,45,45,2008-06-02 18:29:41.000000,45,M,B,45.0000000,45.0000000,45.00000000000000000000,1995-04-16 18:41:41.000000,45.0000000,B,1989-07-10 02:51:43.000000,2021-03-16 10:21:36.000000,E,W,T,1970-03-30 23:29:33.000000,C,Z,T
2014-04-04 05:48:18.000000,46,46,1976-05-26 00:05:47.000000,46,F,T,46.0000000,46.0000000,46.00000000000000000000,1973-07-10 06:10:24.000000,46.0000000,V,2004-03-01 04:11:40.000000,1981-06-04 15:05:12.000000,L,C,B,1993-05-06 17:33:23.000000,C,B,M
2006-10-28 13:39:58.000000,47,47,1982-10-12 03:27:59.000000,47,C,D,47.0000000,47.0000000,47.00000000000000000000,1985-06-25 14:02:46.000000,47.0000000,M,2001-08-07 12:48:00.000000,1999-11-21 16:53:43.000000,R,M,I,1985-10-05 18:20:26.000000,B,A,M
1977-08-04 12:22:42.000000,48,48,1996-02-17 18:24:36.000000,48,C,S,48.0000000,48.0000000,48.00000000000000000000,1989-04-20 16:25:07.000000,48.0000000,H,2007-03-01 09:21:59.000000,1986-12-05 02:11:31.000000,C,S,P,1984-12-16 10:19:42.000000,A,A,D
2018-03-18 01:48:53.000000,49,49,2001-12-28 17:55:52.000000,49,A,D,49.0000000,49.0000000,49.00000000000000000000,2021-07-25 04:15:07.000000,49.0000000,M,2000-01-04 00:33:09.000000,1978-02-09 02:38:59.000000,K,S,P,1976-04-07 04:47:23.000000,M,K,B
2021-07-28 15:30:06.000000,50,50,1994-11-13 03:41:45.000000,50,F,S,50.0000000,50.0000000,50.00000000000000000000,1975-04-11 22:46:15.000000,50.0000000,C,2005-06-25 05:45:00.000000,1989-02-12 19:06:11.000000,Z,A,T,2007-11-10 00:55:33.000000,P,S,J
2020-05-22 14:08:16.000000,51,51,1973-04-30 08:40:48.000000,51,U,C,51.0000000,51.0000000,51.00000000000000000000,2008-10-24 15:54:49.000000,51.0000000,S,1996-09-28 12:42:45.000000,1978-01-14 17:08:34.000000,E,A,Z,1990-10-21 10:35:38.000000,L,S,C
1982-08-20 22:20:47.000000,52,52,1987-01-15 23:55:15.000000,52,H,A,52.0000000,52.0000000,52.00000000000000000000,2006-03-13 20:43:57.000000,52.0000000,I,1984-04-21 19:40:40.000000,2010-10-13 15:16:32.000000,U,V,A,2008-03-03 22:26:48.000000,B,T,M
2014-03-21 13:35:19.000000,53,53,2009-03-29 14:29:26.000000,53,G,M,53.0000000,53.0000000,53.00000000000000000000,1987-10-05 11:15:55.000000,53.0000000,M,1994-12-23 15:05:26.000000,2020-06-28 17:05:45.000000,H,S,T,1982-04-03 12:08:31.000000,M,G,E
2014-08-19 09:50:00.000000,54,54,2001-12-15 06:15:13.000000,54,L,T,54.0000000,54.0000000,54.00000000000000000000,1987-11-29 20:44:07.000000,54.0000000,E,1999-09-10 10:47:51.000000,1992-02-27 06:53:49.000000,B,C,S,2002-03-09 16:18:15.000000,C,C,G
1971-04-19 18:10:41.000000,55,55,2002-03-30 14:59:06.000000,55,A,I,55.0000000,55.0000000,55.00000000000000000000,2002-05-22 00:32:26.000000,55.0000000,L,2020-08-11 00:01:12.000000,1985-10-03 18:10:41.000000,C,I,S,1982-07-21 10:25:06.000000,G,H,V
2020-09-03 18:29:10.000000,56,56,1973-12-27 16:08:06.000000,56,R,I,56.0000000,56.0000000,56.00000000000000000000,1979-06-17 02:56:03.000000,56.0000000,T,1972-06-16 07:55:06.000000,1976-06-08 09:34:14.000000,A,S,Q,1981-08-12 03:48:04.000000,K,S,N
2000-04-27 11:13:36.000000,57,57,2011-04-15 19:07:09.000000,57,Z,C,57.0000000,57.0000000,57.00000000000000000000,2000-07-23 03:28:05.000000,57.0000000,F,2006-01-17 16:21:39.000000,1989-09-12 14:23:22.000000,P,T,M,1974-11-12 21:10:44.000000,C,N,H
2011-05-29 22:15:10.000000,58,58,2013-04-25 01:45:39.000000,58,C,M,58.0000000,58.0000000,58.00000000000000000000,1994-05-12 22:39:21.000000,58.0000000,N,1986-05-14 07:48:18.000000,1999-03-01 16:51:58.000000,B,N,L,1976-08-24 07:18:27.000000,U,S,S
2007-09-01 04:57:39.000000,59,59,2005-02-21 00:27:31.000000,59,C,T,59.0000000,59.0000000,59.00000000000000000000,2000-11-26 05:58:32.000000,59.0000000,D,1977-11-30 02:53:25.000000,1988-03-03 15:51:12.000000,I,N,I,1982-09-28 18:45:01.000000,L,G,S
1973-06-23 16:59:52.000000,60,60,2012-08-25 02:34:16.000000,60,B,T,60.0000000,60.0000000,60.00000000000000000000,2014-02-13 02:57:43.000000,60.0000000,C,1996-01-22 18:53:43.000000,2003-01-22 02:18:27.000000,U,T,Z,2000-02-03 08:27:53.000000,G,H,B
2004-05-21 11:33:52.000000,61,61,2018-01-15 15:10:19.000000,61,M,N,61.0000000,61.0000000,61.00000000000000000000,2003-10-19 19:42:39.000000,61.0000000,G,2004-08-15 19:06:55.000000,1986-01-19 05:12:00.000000,G,M,N,1986-02-18 11:22:32.000000,C,G,D
1989-01-18 16:30:51.000000,62,62,2014-09-20 18:20:48.000000,62,L,C,62.0000000,62.0000000,62.00000000000000000000,1990-11-30 05:30:10.000000,62.0000000,M,2009-05-31 11:20:55.000000,2001-03-16 01:07:17.000000,V,W,M,2022-04-14 23:00:57.000000,A,Z,M
2008-01-26 16:53:03.000000,63,63,1978-02-25 07:53:34.000000,63,U,P,63.0000000,63.0000000,63.00000000000000000000,1972-08-22 19:48:47.000000,63.0000000,A,1989-03-12 03:40:30.000000,1988-08-23 23:22:40.000000,B,A,M,1991-05-25 00:37:59.000000,S,B,B
1974-01-12 14:07:55.000000,64,64,1984-04-07 23:21:54.000000,64,A,C,64.0000000,64.0000000,64.00000000000000000000,1984-07-08 17:28:30.000000,64.0000000,C,1977-03-11 03:44:02.000000,1979-10-20 05:22:43.000000,Z,L,B,1982-04-18 23:17:20.000000,K,B,S
1970-03-25 02:40:32.000000,65,65,1974-10-08 02:57:05.000000,65,H,M,65.0000000,65.0000000,65.00000000000000000000,2001-02-11 23:41:37.000000,65.0000000,S,1992-07-31 21:59:32.000000,1984-05-31 00:59:59.000000,A,G,T,2015-11-10 22:40:32.000000,Y,H,M
1971-03-26 12:23:05.000000,66,66,1987-06-29 12:30:42.000000,66,B,T,66.0000000,66.0000000,66.00000000000000000000,2005-01-24 19:45:35.000000,66.0000000,E,1982-10-14 13:25:25.000000,1991-03-20 02:05:37.000000,D,Z,E,1972-04-07 11:08:55.000000,S,V,K
2012-06-06 17:07:28.000000,67,67,2016-09-23 05:51:32.000000,67,V,F,67.0000000,67.0000000,67.00000000000000000000,1976-09-11 06:24:33.000000,67.0000000,C,2006-02-14 13:26:44.000000,2013-08-19 21:50:18.000000,L,M,A,1985-11-30 08:21:58.000000,F,B,B
1981-06-28 05:53:13.000000,68,68,2011-08-26 15:58:23.000000,68,E,M,68.0000000,68.0000000,68.00000000000000000000,1995-10-24 02:51:13.000000,68.0000000,N,1990-06-04 08:36:22.000000,2004-09-16 22:27:52.000000,S,G,T,2003-08-02 04:57:06.000000,Z,T,P
1993-12-11 08:01:10.000000,69,69,1984-07-09 21:30:43.000000,69,P,D,69.0000000,69.0000000,69.00000000000000000000,2017-05-17 11:52:46.000000,69.0000000,L,2005-09-13 04:39:53.000000,1989-04-13 14:57:02.000000,R,D,O,1972-09-02 08:18:39.000000,M,M,A
2007-08-31 23:36:24.000000,70,70,1997-08-15 13:43:52.000000,70,I,B,70.0000000,70.0000000,70.00000000000000000000,1970-03-03 22:18:03.000000,70.0000000,M,2018-11-07 10:39:23.000000,1993-03-06 17:09:48.000000,T,L,V,1970-10-02 03:16:30.000000,M,P,T
1982-01-31 04:17:22.000000,71,71,1998-05-04 19:41:24.000000,71,I,A,71.0000000,71.0000000,71.00000000000000000000,2018-10-21 18:36:04.000000,71.0000000,I,2001-04-25 08:24:45.000000,1993-02-18 17:09:06.000000,M,H,T,2005-01-01 03:31:29.000000,M,E,C
1986-03-28 22:54:47.000000,72,72,1989-11-06 15:42:49.000000,72,M,K,72.0000000,72.0000000,72.00000000000000000000,1974-04-07 17:24:02.000000,72.0000000,R,2021-01-26 12:21:05.000000,1984-07-22 09:41:56.000000,P,E,P,2016-06-01 05:17:44.000000,N,P,T
2021-09-03 18:28:28.000000,73,73,1992-05-01 19:16:12.000000,73,D,G,73.0000000,73.0000000,73.00000000000000000000,1990-04-22 23:02:22.000000,73.0000000,G,2004-04-28 05:25:47.000000,1984-03-31 13:03:04.000000,P,B,M,1977-02-09 12:36:49.000000,C,I,M
1982-01-02 18:57:20.000000,74,74,2020-07-17 13:44:56.000000,74,A,Z,74.0000000,74.0000000,74.00000000000000000000,1970-06-21 17:21:34.000000,74.0000000,K,1971-10-16 10:19:10.000000,1990-05-06 23:26:04.000000,C,P,T,1971-04-21 12:44:37.000000,Q,L,E
2015-01-01 04:28:56.000000,75,75,1976-12-08 05:41:21.000000,75,U,B,75.0000000,75.0000000,75.00000000000000000000,1983-07-16 18:54:43.000000,75.0000000,B,2018-12-12 01:26:12.000000,1996-12-11 05:13:14.000000,S,K,P,1981-03-04 19:47:36.000000,V,R,I
2017-02-16 16:20:05.000000,76,76,2015-04-10 08:47:21.000000,76,C,T,76.0000000,76.0000000,76.00000000000000000000,2009-04-09 08:41:39.000000,76.0000000,U,1971-05-12 16:00:06.000000,1986-01-31 03:57:49.000000,U,D,G,2015-07-17 19:34:38.000000,L,P,P
1971-01-19 11:29:07.000000,77,77,1983-12-06 03:03:55.000000,77,U,Z,77.0000000,77.0000000,77.00000000000000000000,1988-12-26 18:39:33.000000,77.0000000,K,1996-12-19 01:27:32.000000,2003-01-09 16:53:25.000000,R,T,H,1999-04-28 09:24:23.000000,K,A,S
2008-11-03 02:01:29.000000,78,78,2000-02-23 15:55:33.000000,78,H,H,78.0000000,78.0000000,78.00000000000000000000,1976-11-27 15:33:44.000000,78.0000000,Z,2010-08-05 15:00:05.000000,1997-09-16 19:50:21.000000,S,S,M,1995-12-19 10:54:17.000000,K,G,B
2018-02-01 16:24:48.000000,79,79,1980-04-20 01:30:00.000000,79,L,P,79.0000000,79.0000000,79.00000000000000000000,2010-12-26 00:34:25.000000,79.0000000,Z,1975-12-31 16:21:48.000000,2018-02-26 03:53:32.000000,I,C,C,2011-05-25 08:16:34.000000,M,T,F
2006-11-19 01:58:34.000000,80,80,1994-07-26 20:16:17.000000,80,V,C,80.0000000,80.0000000,80.00000000000000000000,1992-10-24 05:25:12.000000,80.0000000,E,2001-02-01 14:31:59.000000,1971-04-26 09:47:30.000000,I,S,L,2019-02-22 14:32:50.000000,D,S,V
2013-12-12 21:32:53.000000,81,81,1971-03-14 17:26:01.000000,81,G,C,81.0000000,81.0000000,81.00000000000000000000,1981-03-18 17:48:24.000000,81.0000000,P,2009-12-27 22:46:00.000000,2004-02-16 10:58:59.000000,S,B,R,2009-03-03 05:58:46.000000,D,B,U
1984-07-21 15:18:47.000000,82,82,2013-08-13 02:12:53.000000,82,C,B,82.0000000,82.0000000,82.00000000000000000000,1995-10-29 20:21:54.000000,82.0000000,C,1981-08-28 09:44:43.000000,2000-11-10 06:32:01.000000,P,L,N,1988-04-07 22:35:12.000000,P,T,A
2007-04-16 21:50:49.000000,83,83,1979-08-21 19:22:12.000000,83,T,A,83.0000000,83.0000000,83.00000000000000000000,1974-08-26 09:26:14.000000,83.0000000,M,2006-08-24 02:30:50.000000,2008-01-22 01:16:53.000000,L,A,F,2022-10-09 02:23:35.000000,P,L,S
2005-02-03 11:22:13.000000,84,84,1974-05-14 22:49:59.000000,84,S,C,84.0000000,84.0000000,84.00000000000000000000,1974-09-21 02:22:48.000000,84.0000000,A,1988-05-23 04:32:28.000000,1996-02-22 11:07:39.000000,M,C,E,2006-09-28 02:51:53.000000,E,Z,I
1978-12-21 04:35:32.000000,85,85,1982-01-03 19:22:26.000000,85,M,P,85.0000000,85.0000000,85.00000000000000000000,2001-06-17 14:49:13.000000,85.0000000,L,1989-12-31 02:51:47.000000,2012-11-15 19:58:54.000000,A,G,A,1993-11-14 21:52:33.000000,C,T,T
1982-11-28 13:42:27.000000,86,86,1997-03-06 15:35:29.000000,86,A,K,86.0000000,86.0000000,86.00000000000000000000,1970-02-15 07:30:48.000000,86.0000000,N,1981-03-04 11:16:30.000000,1975-01-12 07:41:22.000000,M,H,B,1973-10-14 00:44:35.000000,A,U,G
1999-01-17 05:27:08.000000,87,87,1991-06-10 11:09:54.000000,87,C,U,87.0000000,87.0000000,87.00000000000000000000,1998-03-19 11:27:41.000000,87.0000000,T,1981-12-18 15:19:51.000000,1985-05-16 17:19:04.000000,S,U,N,2001-04-13 20:55:51.000000,S,E,S
1976-05-24 10:28:24.000000,88,88,1999-01-14 21:21:40.000000,88,M,N,88.0000000,88.0000000,88.00000000000000000000,1984-05-08 10:34:20.000000,88.0000000,G,2008-02-15 08:14:53.000000,1982-09-10 19:49:37.000000,S,T,A,2005-05-17 11:25:55.000000,P,A,K
1975-05-27 00:14:22.000000,89,89,1971-08-05 20:00:19.000000,89,B,B,89.0000000,89.0000000,89.00000000000000000000,1978-02-19 00:19:38.000000,89.0000000,D,2015-08-04 09:03:47.000000,1977-12-09 01:51:47.000000,D,M,M,2017-10-17 03:37:33.000000,T,P,N
2007-11-16 04:04:06.000000,90,90,1972-05-26 07:25:13.000000,90,B,N,90.0000000,90.0000000,90.00000000000000000000,2015-08-15 04:53:14.000000,90.0000000,C,1977-03-31 12:56:25.000000,1986-05-28 22:51:33.000000,M,I,A,1975-07-17 10:58:44.000000,B,U,K
2009-01-26 08:55:42.000000,91,91,2016-11-03 08:33:57.000000,91,B,L,91.0000000,91.0000000,91.00000000000000000000,1987-06-15 13:44:00.000000,91.0000000,Z,1971-08-25 15:50:41.000000,2014-07-01 23:33:36.000000,T,C,U,2017-01-23 21:10:08.000000,P,N,B
