uuid_query,date_stamp,row_id,ref_date,bu_id,bu_ccy,bp_nr,cont_nr,cont_ccy,asset_id,asset_name,asset_group,asset_isin,maturity_date,ass_mifid_risclass_val,pos_id,pos_ccy,adj_pos_ccy,qty,net_mkt_val_cont,net_mkt_val_pos,net_mkt_val_bu,maa_lvl_1_sort_name,maa_lvl_2_sort_name,maa_lvl_3_sort_name,price_date,pos_wgt,root_pos_id,pos_type_id,pos_split_category,pos_split_id,bp_id,bp_ccy,cont_id,curr_price,pos_cont_ccy,gross_mkt_val_cont,gross_mkt_val_pos,gross_mkt_val_bu,is_split_view,is_non_split_view,pos_type_name,pos_split_name,mkt_exp
10,1983-06-03,10,J,10,D  ,Z,B,L  ,10,N,S,M,G,10,10,I  ,L  ,10.0000000,10.0000000,10.0000000,10.0000000,B,Y,N,1970-11-16,10.00000000000000000000,10,10,10,10,10,P  ,10,10.000000000000,P      ,10.0000000,10.0000000,10.0000000,10,10,S,B,10.0000000
11,1992-11-16,11,H,11,G  ,H,T,T  ,11,T,S,M,A,11,11,M  ,B  ,11.0000000,11.0000000,11.0000000,11.0000000,J,M,G,1991-12-31,11.00000000000000000000,11,11,11,11,11,V  ,11,11.000000000000,T      ,11.0000000,11.0000000,11.0000000,11,11,D,L,11.0000000
12,1998-12-22,12,G,12,M  ,A,D,L  ,12,T,C,V,P,12,12,M  ,A  ,12.0000000,12.0000000,12.0000000,12.0000000,D,C,G,2018-10-13,12.00000000000000000000,12,12,12,12,12,V  ,12,12.000000000000,M      ,12.0000000,12.0000000,12.0000000,12,12,K,L,12.0000000
13,2016-12-18,13,S,13,L  ,I,E,A  ,13,S,T,C,S,13,13,T  ,N  ,13.0000000,13.0000000,13.0000000,13.0000000,R,P,J,2001-09-14,13.00000000000000000000,13,13,13,13,13,R  ,13,13.000000000000,M      ,13.0000000,13.0000000,13.0000000,13,13,M,L,13.0000000
14,1973-01-06,14,L,14,K  ,I,B,L  ,14,U,E,G,P,14,14,G  ,P  ,14.0000000,14.0000000,14.0000000,14.0000000,T,T,P,2005-10-07,14.00000000000000000000,14,14,14,14,14,U  ,14,14.000000000000,K      ,14.0000000,14.0000000,14.0000000,14,14,P,G,14.0000000
15,2001-04-15,15,P,15,G  ,B,S,T  ,15,I,N,S,T,15,15,B  ,T  ,15.0000000,15.0000000,15.0000000,15.0000000,C,C,N,2020-10-24,15.00000000000000000000,15,15,15,15,15,Z  ,15,15.000000000000,L      ,15.0000000,15.0000000,15.0000000,15,15,D,B,15.0000000
16,2019-10-09,16,S,16,R  ,M,P,T  ,16,N,M,A,K,16,16,F  ,B  ,16.0000000,16.0000000,16.0000000,16.0000000,R,C,H,1977-11-01,16.00000000000000000000,16,16,16,16,16,W  ,16,16.000000000000,K      ,16.0000000,16.0000000,16.0000000,16,16,M,S,16.0000000
17,1984-09-30,17,G,17,U  ,C,L,T  ,17,I,S,G,M,17,17,U  ,M  ,17.0000000,17.0000000,17.0000000,17.0000000,S,G,E,2018-12-01,17.00000000000000000000,17,17,17,17,17,M  ,17,17.000000000000,T      ,17.0000000,17.0000000,17.0000000,17,17,A,C,17.0000000
18,1999-03-23,18,B,18,L  ,S,K,N  ,18,B,C,W,D,18,18,G  ,C  ,18.0000000,18.0000000,18.0000000,18.0000000,M,N,J,1974-03-08,18.00000000000000000000,18,18,18,18,18,N  ,18,18.000000000000,M      ,18.0000000,18.0000000,18.0000000,18,18,G,P,18.0000000
19,1979-05-10,19,S,19,H  ,C,M,E  ,19,H,L,G,K,19,19,B  ,M  ,19.0000000,19.0000000,19.0000000,19.0000000,I,I,U,2015-07-10,19.00000000000000000000,19,19,19,19,19,Z  ,19,19.000000000000,G      ,19.0000000,19.0000000,19.0000000,19,19,Y,G,19.0000000
20,1988-11-09,20,I,20,P  ,F,L,S  ,20,C,F,S,T,20,20,E  ,L  ,20.0000000,20.0000000,20.0000000,20.0000000,C,T,P,1991-11-07,20.00000000000000000000,20,20,20,20,20,U  ,20,20.000000000000,G      ,20.0000000,20.0000000,20.0000000,20,20,M,M,20.0000000
21,1987-11-15,21,P,21,Z  ,E,A,T  ,21,B,F,N,B,21,21,C  ,T  ,21.0000000,21.0000000,21.0000000,21.0000000,T,V,M,1976-08-05,21.00000000000000000000,21,21,21,21,21,L  ,21,21.000000000000,A      ,21.0000000,21.0000000,21.0000000,21,21,C,I,21.0000000
22,2005-01-25,22,S,22,A  ,K,D,G  ,22,V,K,K,T,22,22,B  ,B  ,22.0000000,22.0000000,22.0000000,22.0000000,A,P,M,1996-06-20,22.00000000000000000000,22,22,22,22,22,T  ,22,22.000000000000,B      ,22.0000000,22.0000000,22.0000000,22,22,F,U,22.0000000
23,2005-08-14,23,S,23,R  ,P,P,A  ,23,M,T,K,B,23,23,T  ,B  ,23.0000000,23.0000000,23.0000000,23.0000000,P,M,M,1999-06-05,23.00000000000000000000,23,23,23,23,23,C  ,23,23.000000000000,P      ,23.0000000,23.0000000,23.0000000,23,23,D,C,23.0000000
24,2000-06-09,24,H,24,Y  ,S,L,B  ,24,P,C,M,K,24,24,U  ,C  ,24.0000000,24.0000000,24.0000000,24.0000000,L,G,M,1974-01-23,24.00000000000000000000,24,24,24,24,24,C  ,24,24.000000000000,M      ,24.0000000,24.0000000,24.0000000,24,24,Y,I,24.0000000
25,1975-05-17,25,I,25,B  ,Y,Z,T  ,25,S,N,S,H,25,25,T  ,N  ,25.0000000,25.0000000,25.0000000,25.0000000,C,M,L,2002-08-26,25.00000000000000000000,25,25,25,25,25,M  ,25,25.000000000000,K      ,25.0000000,25.0000000,25.0000000,25,25,T,A,25.0000000
26,1991-03-30,26,R,26,E  ,N,D,S  ,26,S,G,P,V,26,26,P  ,C  ,26.0000000,26.0000000,26.0000000,26.0000000,I,G,M,2003-10-13,26.00000000000000000000,26,26,26,26,26,M  ,26,26.000000000000,S      ,26.0000000,26.0000000,26.0000000,26,26,C,T,26.0000000
27,2007-10-02,27,I,27,U  ,M,L,N  ,27,E,S,M,N,27,27,S  ,P  ,27.0000000,27.0000000,27.0000000,27.0000000,I,M,M,2007-07-13,27.00000000000000000000,27,27,27,27,27,S  ,27,27.000000000000,S      ,27.0000000,27.0000000,27.0000000,27,27,G,M,27.0000000
28,1997-08-06,28,N,28,D  ,L,P,M  ,28,L,B,T,C,28,28,M  ,H  ,28.0000000,28.0000000,28.0000000,28.0000000,I,T,O,2015-12-04,28.00000000000000000000,28,28,28,28,28,C  ,28,28.000000000000,K      ,28.0000000,28.0000000,28.0000000,28,28,C,C,28.0000000
29,2014-01-23,29,N,29,H  ,T,N,S  ,29,N,E,M,K,29,29,P  ,E  ,29.0000000,29.0000000,29.0000000,29.0000000,F,D,K,1989-11-18,29.00000000000000000000,29,29,29,29,29,F  ,29,29.000000000000,A      ,29.0000000,29.0000000,29.0000000,29,29,C,E,29.0000000
30,2022-03-12,30,I,30,S  ,J,I,A  ,30,B,B,K,B,30,30,D  ,R  ,30.0000000,30.0000000,30.0000000,30.0000000,A,V,H,2008-08-24,30.00000000000000000000,30,30,30,30,30,R  ,30,30.000000000000,L      ,30.0000000,30.0000000,30.0000000,30,30,B,K,30.0000000
31,1996-12-23,31,H,31,T  ,H,M,Z  ,31,F,Q,S,S,31,31,M  ,C  ,31.0000000,31.0000000,31.0000000,31.0000000,P,F,D,2002-07-28,31.00000000000000000000,31,31,31,31,31,A  ,31,31.000000000000,B      ,31.0000000,31.0000000,31.0000000,31,31,N,I,31.0000000
32,1982-12-30,32,U,32,A  ,I,G,U  ,32,T,K,N,S,32,32,P  ,A  ,32.0000000,32.0000000,32.0000000,32.0000000,R,S,B,1976-04-26,32.00000000000000000000,32,32,32,32,32,E  ,32,32.000000000000,F      ,32.0000000,32.0000000,32.0000000,32,32,S,L,32.0000000
33,1983-08-10,33,R,33,K  ,A,I,B  ,33,Z,H,S,G,33,33,E  ,G  ,33.0000000,33.0000000,33.0000000,33.0000000,S,A,P,1981-02-04,33.00000000000000000000,33,33,33,33,33,M  ,33,33.000000000000,C      ,33.0000000,33.0000000,33.0000000,33,33,I,E,33.0000000
34,1997-07-16,34,G,34,C  ,R,K,C  ,34,P,C,C,G,34,34,C  ,L  ,34.0000000,34.0000000,34.0000000,34.0000000,G,B,S,1990-01-07,34.00000000000000000000,34,34,34,34,34,B  ,34,34.000000000000,M      ,34.0000000,34.0000000,34.0000000,34,34,N,U,34.0000000
35,2010-03-14,35,G,35,C  ,M,C,N  ,35,L,P,U,B,35,35,C  ,N  ,35.0000000,35.0000000,35.0000000,35.0000000,C,B,D,2001-12-30,35.00000000000000000000,35,35,35,35,35,A  ,35,35.000000000000,M      ,35.0000000,35.0000000,35.0000000,35,35,L,Z,35.0000000
36,2008-06-21,36,L,36,B  ,T,C,I  ,36,S,V,E,A,36,36,W  ,G  ,36.0000000,36.0000000,36.0000000,36.0000000,P,N,D,1984-12-28,36.00000000000000000000,36,36,36,36,36,B  ,36,36.000000000000,I      ,36.0000000,36.0000000,36.0000000,36,36,T,C,36.0000000
37,2016-04-20,37,S,37,A  ,P,Z,I  ,37,S,M,A,S,37,37,L  ,S  ,37.0000000,37.0000000,37.0000000,37.0000000,S,G,P,2012-11-25,37.00000000000000000000,37,37,37,37,37,K  ,37,37.000000000000,P      ,37.0000000,37.0000000,37.0000000,37,37,T,A,37.0000000
38,2014-06-22,38,M,38,K  ,H,S,G  ,38,M,Z,G,C,38,38,A  ,S  ,38.0000000,38.0000000,38.0000000,38.0000000,J,L,C,1988-09-21,38.00000000000000000000,38,38,38,38,38,G  ,38,38.000000000000,L      ,38.0000000,38.0000000,38.0000000,38,38,L,P,38.0000000
39,1999-07-29,39,P,39,B  ,P,M,S  ,39,Q,T,V,M,39,39,Q  ,S  ,39.0000000,39.0000000,39.0000000,39.0000000,S,A,L,1980-07-10,39.00000000000000000000,39,39,39,39,39,E  ,39,39.000000000000,N      ,39.0000000,39.0000000,39.0000000,39,39,A,A,39.0000000
40,1995-09-18,40,S,40,M  ,M,J,G  ,40,E,U,S,B,40,40,N  ,A  ,40.0000000,40.0000000,40.0000000,40.0000000,F,S,E,1997-04-21,40.00000000000000000000,40,40,40,40,40,S  ,40,40.000000000000,M      ,40.0000000,40.0000000,40.0000000,40,40,K,C,40.0000000
41,1991-12-30,41,D,41,J  ,G,M,C  ,41,S,I,P,S,41,41,C  ,K  ,41.0000000,41.0000000,41.0000000,41.0000000,K,I,C,2018-03-02,41.00000000000000000000,41,41,41,41,41,D  ,41,41.000000000000,G      ,41.0000000,41.0000000,41.0000000,41,41,E,M,41.0000000
42,2020-10-25,42,K,42,M  ,K,M,G  ,42,S,L,F,C,42,42,N  ,I  ,42.0000000,42.0000000,42.0000000,42.0000000,Z,K,D,1987-05-04,42.00000000000000000000,42,42,42,42,42,S  ,42,42.000000000000,M      ,42.0000000,42.0000000,42.0000000,42,42,C,A,42.0000000
43,2007-03-22,43,B,43,M  ,Q,P,A  ,43,U,S,A,L,43,43,B  ,L  ,43.0000000,43.0000000,43.0000000,43.0000000,P,K,K,1992-04-24,43.00000000000000000000,43,43,43,43,43,G  ,43,43.000000000000,N      ,43.0000000,43.0000000,43.0000000,43,43,S,I,43.0000000
44,1998-08-07,44,B,44,H  ,S,I,G  ,44,S,B,E,C,44,44,K  ,M  ,44.0000000,44.0000000,44.0000000,44.0000000,A,C,T,1979-10-26,44.00000000000000000000,44,44,44,44,44,E  ,44,44.000000000000,V      ,44.0000000,44.0000000,44.0000000,44,44,T,T,44.0000000
45,1995-12-06,45,M,45,S  ,H,B,G  ,45,Z,S,M,B,45,45,K  ,L  ,45.0000000,45.0000000,45.0000000,45.0000000,M,K,I,1985-12-18,45.00000000000000000000,45,45,45,45,45,E  ,45,45.000000000000,G      ,45.0000000,45.0000000,45.0000000,45,45,D,H,45.0000000
46,1977-10-05,46,H,46,J  ,S,Z,U  ,46,L,I,G,J,46,46,M  ,E  ,46.0000000,46.0000000,46.0000000,46.0000000,L,T,C,1976-07-21,46.00000000000000000000,46,46,46,46,46,B  ,46,46.000000000000,T      ,46.0000000,46.0000000,46.0000000,46,46,H,U,46.0000000
47,2016-01-22,47,A,47,T  ,D,G,B  ,47,S,M,I,L,47,47,B  ,S  ,47.0000000,47.0000000,47.0000000,47.0000000,E,P,E,2007-07-20,47.00000000000000000000,47,47,47,47,47,L  ,47,47.000000000000,M      ,47.0000000,47.0000000,47.0000000,47,47,T,M,47.0000000
48,2009-11-10,48,B,48,N  ,G,C,A  ,48,M,C,C,N,48,48,S  ,E  ,48.0000000,48.0000000,48.0000000,48.0000000,A,L,L,1993-05-15,48.00000000000000000000,48,48,48,48,48,K  ,48,48.000000000000,B      ,48.0000000,48.0000000,48.0000000,48,48,G,C,48.0000000
49,2007-04-08,49,V,49,L  ,P,H,D  ,49,O,S,S,M,49,49,E  ,L  ,49.0000000,49.0000000,49.0000000,49.0000000,C,N,G,1977-10-23,49.00000000000000000000,49,49,49,49,49,H  ,49,49.000000000000,A      ,49.0000000,49.0000000,49.0000000,49,49,S,A,49.0000000
50,2019-12-28,50,G,50,S  ,G,D,A  ,50,G,N,D,S,50,50,H  ,T  ,50.0000000,50.0000000,50.0000000,50.0000000,B,R,D,2020-09-07,50.00000000000000000000,50,50,50,50,50,B  ,50,50.000000000000,K      ,50.0000000,50.0000000,50.0000000,50,50,V,B,50.0000000
51,1995-07-30,51,B,51,C  ,M,U,A  ,51,K,M,P,G,51,51,V  ,P  ,51.0000000,51.0000000,51.0000000,51.0000000,I,G,F,2019-05-17,51.00000000000000000000,51,51,51,51,51,P  ,51,51.000000000000,I      ,51.0000000,51.0000000,51.0000000,51,51,B,S,51.0000000
52,1998-12-12,52,R,52,Q  ,T,E,T  ,52,L,T,M,N,52,52,S  ,B  ,52.0000000,52.0000000,52.0000000,52.0000000,Q,M,Z,2018-10-11,52.00000000000000000000,52,52,52,52,52,H  ,52,52.000000000000,S      ,52.0000000,52.0000000,52.0000000,52,52,C,K,52.0000000
53,2001-03-26,53,S,53,G  ,M,S,H  ,53,T,N,I,S,53,53,S  ,N  ,53.0000000,53.0000000,53.0000000,53.0000000,V,M,M,2015-04-27,53.00000000000000000000,53,53,53,53,53,J  ,53,53.000000000000,C      ,53.0000000,53.0000000,53.0000000,53,53,V,Q,53.0000000
54,2006-03-11,54,A,54,G  ,M,M,A  ,54,G,M,N,D,54,54,B  ,C  ,54.0000000,54.0000000,54.0000000,54.0000000,M,F,D,1996-03-16,54.00000000000000000000,54,54,54,54,54,A  ,54,54.000000000000,L      ,54.0000000,54.0000000,54.0000000,54,54,G,D,54.0000000
55,2004-10-26,55,M,55,R  ,I,M,E  ,55,T,E,N,Z,55,55,P  ,L  ,55.0000000,55.0000000,55.0000000,55.0000000,C,Q,G,2020-10-24,55.00000000000000000000,55,55,55,55,55,A  ,55,55.000000000000,I      ,55.0000000,55.0000000,55.0000000,55,55,W,C,55.0000000
56,1984-07-18,56,I,56,P  ,T,C,P  ,56,A,B,C,M,56,56,E  ,K  ,56.0000000,56.0000000,56.0000000,56.0000000,G,L,V,1978-01-10,56.00000000000000000000,56,56,56,56,56,C  ,56,56.000000000000,V      ,56.0000000,56.0000000,56.0000000,56,56,I,E,56.0000000
57,1992-12-24,57,R,57,C  ,A,G,K  ,57,S,M,S,L,57,57,D  ,M  ,57.0000000,57.0000000,57.0000000,57.0000000,T,P,L,2011-10-22,57.00000000000000000000,57,57,57,57,57,G  ,57,57.000000000000,M      ,57.0000000,57.0000000,57.0000000,57,57,S,T,57.0000000
58,1989-10-06,58,V,58,A  ,V,S,K  ,58,V,P,B,F,58,58,U  ,B  ,58.0000000,58.0000000,58.0000000,58.0000000,S,G,A,1983-01-28,58.00000000000000000000,58,58,58,58,58,T  ,58,58.000000000000,M      ,58.0000000,58.0000000,58.0000000,58,58,L,P,58.0000000
59,2013-09-27,59,G,59,L  ,P,C,K  ,59,D,S,I,A,59,59,P  ,N  ,59.0000000,59.0000000,59.0000000,59.0000000,R,P,B,2012-05-06,59.00000000000000000000,59,59,59,59,59,M  ,59,59.000000000000,B      ,59.0000000,59.0000000,59.0000000,59,59,V,L,59.0000000
60,1976-03-08,60,Z,60,L  ,S,V,T  ,60,F,N,M,M,60,60,S  ,N  ,60.0000000,60.0000000,60.0000000,60.0000000,C,T,A,1983-09-15,60.00000000000000000000,60,60,60,60,60,G  ,60,60.000000000000,H      ,60.0000000,60.0000000,60.0000000,60,60,T,P,60.0000000
61,2016-10-20,61,B,61,K  ,I,J,F  ,61,A,P,I,A,61,61,R  ,T  ,61.0000000,61.0000000,61.0000000,61.0000000,C,M,S,2000-04-28,61.00000000000000000000,61,61,61,61,61,C  ,61,61.000000000000,K      ,61.0000000,61.0000000,61.0000000,61,61,M,G,61.0000000
62,1978-08-05,62,B,62,C  ,P,T,I  ,62,D,L,B,T,62,62,P  ,P  ,62.0000000,62.0000000,62.0000000,62.0000000,T,S,A,2018-05-26,62.00000000000000000000,62,62,62,62,62,K  ,62,62.000000000000,E      ,62.0000000,62.0000000,62.0000000,62,62,A,N,62.0000000
63,2019-01-12,63,D,63,S  ,B,S,H  ,63,F,N,H,M,63,63,B  ,V  ,63.0000000,63.0000000,63.0000000,63.0000000,B,M,J,1990-01-09,63.00000000000000000000,63,63,63,63,63,J  ,63,63.000000000000,P      ,63.0000000,63.0000000,63.0000000,63,63,N,T,63.0000000
64,2011-05-01,64,H,64,T  ,T,S,S  ,64,I,G,R,T,64,64,T  ,U  ,64.0000000,64.0000000,64.0000000,64.0000000,L,S,N,2004-02-08,64.00000000000000000000,64,64,64,64,64,L  ,64,64.000000000000,E      ,64.0000000,64.0000000,64.0000000,64,64,A,E,64.0000000
65,1971-05-06,65,M,65,M  ,L,S,M  ,65,K,C,W,R,65,65,K  ,N  ,65.0000000,65.0000000,65.0000000,65.0000000,M,S,U,2007-03-20,65.00000000000000000000,65,65,65,65,65,Z  ,65,65.000000000000,C      ,65.0000000,65.0000000,65.0000000,65,65,R,T,65.0000000
66,1986-07-27,66,R,66,C  ,S,S,C  ,66,B,C,D,E,66,66,I  ,L  ,66.0000000,66.0000000,66.0000000,66.0000000,T,A,M,2001-09-20,66.00000000000000000000,66,66,66,66,66,B  ,66,66.000000000000,T      ,66.0000000,66.0000000,66.0000000,66,66,T,M,66.0000000
67,1995-01-23,67,S,67,I  ,U,T,E  ,67,T,S,S,P,67,67,A  ,M  ,67.0000000,67.0000000,67.0000000,67.0000000,L,S,I,1989-09-04,67.00000000000000000000,67,67,67,67,67,S  ,67,67.000000000000,R      ,67.0000000,67.0000000,67.0000000,67,67,T,I,67.0000000
68,1979-10-20,68,A,68,B  ,D,C,H  ,68,M,O,H,V,68,68,D  ,M  ,68.0000000,68.0000000,68.0000000,68.0000000,M,E,S,1992-04-09,68.00000000000000000000,68,68,68,68,68,S  ,68,68.000000000000,K      ,68.0000000,68.0000000,68.0000000,68,68,P,I,68.0000000
69,2017-10-03,69,N,69,P  ,L,P,D  ,69,W,S,P,B,69,69,B  ,S  ,69.0000000,69.0000000,69.0000000,69.0000000,P,K,S,1981-09-16,69.00000000000000000000,69,69,69,69,69,K  ,69,69.000000000000,L      ,69.0000000,69.0000000,69.0000000,69,69,H,B,69.0000000
70,1989-06-29,70,L,70,K  ,K,S,L  ,70,M,I,D,G,70,70,A  ,M  ,70.0000000,70.0000000,70.0000000,70.0000000,V,A,G,1991-05-22,70.00000000000000000000,70,70,70,70,70,P  ,70,70.000000000000,V      ,70.0000000,70.0000000,70.0000000,70,70,F,M,70.0000000
71,2010-02-01,71,G,71,K  ,S,C,W  ,71,I,F,C,R,71,71,N  ,K  ,71.0000000,71.0000000,71.0000000,71.0000000,U,C,S,2006-01-30,71.00000000000000000000,71,71,71,71,71,B  ,71,71.000000000000,K      ,71.0000000,71.0000000,71.0000000,71,71,H,B,71.0000000
72,1975-01-16,72,K,72,C  ,A,K,B  ,72,S,C,B,W,72,72,K  ,A  ,72.0000000,72.0000000,72.0000000,72.0000000,V,D,E,2021-01-13,72.00000000000000000000,72,72,72,72,72,K  ,72,72.000000000000,T      ,72.0000000,72.0000000,72.0000000,72,72,M,S,72.0000000
73,1994-08-02,73,G,73,I  ,B,G,Z  ,73,L,M,C,T,73,73,K  ,P  ,73.0000000,73.0000000,73.0000000,73.0000000,M,T,I,2015-11-05,73.00000000000000000000,73,73,73,73,73,G  ,73,73.000000000000,V      ,73.0000000,73.0000000,73.0000000,73,73,J,V,73.0000000
74,2005-09-04,74,B,74,V  ,T,H,C  ,74,L,A,B,S,74,74,K  ,K  ,74.0000000,74.0000000,74.0000000,74.0000000,M,B,B,1986-12-01,74.00000000000000000000,74,74,74,74,74,E  ,74,74.000000000000,H      ,74.0000000,74.0000000,74.0000000,74,74,T,M,74.0000000
75,1984-05-30,75,M,75,K  ,C,B,B  ,75,M,E,N,V,75,75,J  ,C  ,75.0000000,75.0000000,75.0000000,75.0000000,J,G,B,1993-11-19,75.00000000000000000000,75,75,75,75,75,L  ,75,75.000000000000,T      ,75.0000000,75.0000000,75.0000000,75,75,E,C,75.0000000
76,2013-07-07,76,I,76,I  ,D,I,K  ,76,M,G,A,M,76,76,A  ,F  ,76.0000000,76.0000000,76.0000000,76.0000000,I,H,M,2015-01-12,76.00000000000000000000,76,76,76,76,76,A  ,76,76.000000000000,M      ,76.0000000,76.0000000,76.0000000,76,76,S,S,76.0000000
77,2017-11-08,77,T,77,C  ,N,A,L  ,77,T,L,P,T,77,77,S  ,M  ,77.0000000,77.0000000,77.0000000,77.0000000,K,H,L,1997-07-06,77.00000000000000000000,77,77,77,77,77,H  ,77,77.000000000000,M      ,77.0000000,77.0000000,77.0000000,77,77,S,F,77.0000000
78,1997-12-09,78,P,78,D  ,S,L,K  ,78,M,S,M,L,78,78,E  ,M  ,78.0000000,78.0000000,78.0000000,78.0000000,S,I,S,2018-06-30,78.00000000000000000000,78,78,78,78,78,T  ,78,78.000000000000,N      ,78.0000000,78.0000000,78.0000000,78,78,H,N,78.0000000
79,1976-04-03,79,S,79,S  ,B,L,M  ,79,S,A,S,K,79,79,S  ,Z  ,79.0000000,79.0000000,79.0000000,79.0000000,C,B,V,2017-07-07,79.00000000000000000000,79,79,79,79,79,H  ,79,79.000000000000,B      ,79.0000000,79.0000000,79.0000000,79,79,K,G,79.0000000
80,1973-07-01,80,M,80,E  ,B,G,P  ,80,T,B,H,B,80,80,M  ,G  ,80.0000000,80.0000000,80.0000000,80.0000000,K,S,T,1983-03-03,80.00000000000000000000,80,80,80,80,80,N  ,80,80.000000000000,D      ,80.0000000,80.0000000,80.0000000,80,80,E,L,80.0000000
81,1973-04-13,81,M,81,G  ,B,S,A  ,81,S,S,S,E,81,81,N  ,A  ,81.0000000,81.0000000,81.0000000,81.0000000,V,T,U,2020-01-20,81.00000000000000000000,81,81,81,81,81,V  ,81,81.000000000000,V      ,81.0000000,81.0000000,81.0000000,81,81,T,N,81.0000000
82,2022-08-06,82,K,82,S  ,E,T,V  ,82,M,D,T,R,82,82,T  ,T  ,82.0000000,82.0000000,82.0000000,82.0000000,E,C,U,2007-12-23,82.00000000000000000000,82,82,82,82,82,M  ,82,82.000000000000,I      ,82.0000000,82.0000000,82.0000000,82,82,G,I,82.0000000
83,2009-06-27,83,B,83,R  ,S,A,S  ,83,J,A,F,I,83,83,P  ,M  ,83.0000000,83.0000000,83.0000000,83.0000000,Y,L,S,1972-12-31,83.00000000000000000000,83,83,83,83,83,H  ,83,83.000000000000,E      ,83.0000000,83.0000000,83.0000000,83,83,S,G,83.0000000
84,2005-03-02,84,S,84,M  ,S,R,M  ,84,M,A,M,S,84,84,C  ,C  ,84.0000000,84.0000000,84.0000000,84.0000000,M,C,G,2008-10-29,84.00000000000000000000,84,84,84,84,84,G  ,84,84.000000000000,K      ,84.0000000,84.0000000,84.0000000,84,84,C,G,84.0000000
